"duplicate_size_count","bytes","name","source_path"
"3","116761162","DOD_111689167 (1).mp4","I:\My Drive\UFO\DOD_111689167 (1).mp4"
"3","116761162","DOD_111689167 (2).mp4","I:\My Drive\UFO\DOD_111689167 (2).mp4"
"3","116761162","DOD_111689167.mp4","I:\My Drive\UFO\DOD_111689167.mp4"
"2","1324277","dow-uap-d23-mission-report-united-arab-emirates-october-2023 (1).pdf","I:\My Drive\UFO\dow-uap-d23-mission-report-united-arab-emirates-october-2023 (1).pdf"
"2","1324277","dow-uap-d23-mission-report-united-arab-emirates-october-2023.pdf","I:\My Drive\UFO\dow-uap-d23-mission-report-united-arab-emirates-october-2023.pdf"
"2","14908599","DOD_111689123 (1).mp4","I:\My Drive\UFO\DOD_111689123 (1).mp4"
"2","14908599","DOD_111689123.mp4","I:\My Drive\UFO\DOD_111689123.mp4"
"2","1598931","59_214434_sp_16_[7.18.1963].pdf","I:\My Drive\UFO\59_214434_sp_16_[7.18.1963].pdf"
"2","1598931","59_214434_sp_16_7.18.1963.pdf","I:\My Drive\UFO\59_214434_sp_16_7.18.1963.pdf"
"2","274712045","DOD_111689090 (1).mp4","I:\My Drive\UFO\DOD_111689090 (1).mp4"
"2","274712045","DOD_111689090.mp4","I:\My Drive\UFO\DOD_111689090.mp4"
"2","27493716","DOD_111688816 (1).mp4","I:\My Drive\UFO\DOD_111688816 (1).mp4"
"2","27493716","DOD_111688816.mp4","I:\My Drive\UFO\DOD_111688816.mp4"
"2","3005135","DOD_111689133 (1).mp4","I:\My Drive\UFO\DOD_111689133 (1).mp4"
"2","3005135","DOD_111689133.mp4","I:\My Drive\UFO\DOD_111689133.mp4"
"2","30707537","DOD_111689051 (1).mp4","I:\My Drive\UFO\DOD_111689051 (1).mp4"
"2","30707537","DOD_111689051.mp4","I:\My Drive\UFO\DOD_111689051.mp4"
"2","644525","DOD_111688970 (1).mp4","I:\My Drive\UFO\DOD_111688970 (1).mp4"
"2","644525","DOD_111688970.mp4","I:\My Drive\UFO\DOD_111688970.mp4"
"3","6625380","DOD_111689022-1920x1080-9000k (1).mp4","I:\My Drive\UFO\DOD_111689022-1920x1080-9000k (1).mp4"
"3","6625380","DOD_111689022-1920x1080-9000k (2).mp4","I:\My Drive\UFO\DOD_111689022-1920x1080-9000k (2).mp4"
"3","6625380","DOD_111689022-1920x1080-9000k.mp4","I:\My Drive\UFO\DOD_111689022-1920x1080-9000k.mp4"
"2","8543893","DOD_111689044 (1).mp4","I:\My Drive\UFO\DOD_111689044 (1).mp4"
"2","8543893","DOD_111689044.mp4","I:\My Drive\UFO\DOD_111689044.mp4"
"2","86775527","DOD_111689115 (1).mp4","I:\My Drive\UFO\DOD_111689115 (1).mp4"
"2","86775527","DOD_111689115.mp4","I:\My Drive\UFO\DOD_111689115.mp4"
"2","9089058","DOD_111689759 (1).mp4","I:\My Drive\UFO\DOD_111689759 (1).mp4"
"2","9089058","DOD_111689759.mp4","I:\My Drive\UFO\DOD_111689759.mp4"

