"local_manifest_name","official_record","official_url","source_family","event_date","location","official_type","triage_class","key_observation","analysis_limit"
"fbi-photo-a1.png","FBI Photo A1","https://www.war.gov/medialink/ufo/release_1/fbi-photo-a1.png","A-series government-system still","Late 2025","N/A","IMG","single_still_low_context","Small dark irregular object below and right of the reticle center.","Single redacted still; no mission report, platform data, calibration, range, or kinematics."
"fbi-photo-a2.png","FBI Photo A2","https://www.war.gov/medialink/ufo/release_1/fbi-photo-a2.png","A-series government-system still","Late 2025","N/A","IMG","single_still_low_context","Dark circular object centered on reticle over mottled background.","Single redacted still; no mission report, platform data, calibration, range, or kinematics."
"fbi-photo-a3.png","FBI Photo A3","https://www.war.gov/medialink/ufo/release_1/fbi-photo-a3.png","A-series government-system still","Late 2025","N/A","IMG","single_still_low_context","Dark circular object centered on reticle over textured background.","Single redacted still; no mission report, platform data, calibration, range, or kinematics."
"fbi-photo-a4.png","FBI Photo A4","https://www.war.gov/medialink/ufo/release_1/fbi-photo-a4.png","A-series government-system still","Late 2025","N/A","IMG","single_still_low_context","Dark circular object below and right of reticle center.","Single redacted still; no mission report, platform data, calibration, range, or kinematics."
"fbi-photo-a5.jpg","FBI Photo A5","https://www.war.gov/medialink/ufo/release_1/fbi-photo-a5.png","A-series government-system still","Late 2025","N/A","IMG","single_still_low_context","Dark circular object in lower/right quadrant relative to reticle; official file is PNG while local copy is JPG.","Single redacted still; no mission report, platform data, calibration, range, or kinematics."
"fbi-photo-a6.jpg","FBI Photo A6","https://www.war.gov/medialink/ufo/release_1/fbi-photo-a6.png","A-series government-system still","Late 2025","N/A","IMG","single_still_low_context","Dark circular object centered on reticle; official file is PNG while local copy is JPG.","Single redacted still; no mission report, platform data, calibration, range, or kinematics."
"fbi-photo-a7.jpg","FBI Photo A7","https://www.war.gov/medialink/ufo/release_1/fbi-photo-a7.png","A-series government-system still","Late 2025","N/A","IMG","single_still_low_context","Light circular object with highlight below reticle center; official file is PNG while local copy is JPG.","Single redacted still; no mission report, platform data, calibration, range, or kinematics."
"fbi-photo-a8.jpg","FBI Photo A8","https://www.war.gov/medialink/ufo/release_1/fbi-photo-a8.png","A-series government-system still","Late 2025","N/A","IMG","single_still_low_context","Small dark irregular object below and right of reticle center; official file is PNG while local copy is JPG.","Single redacted still; no mission report, platform data, calibration, range, or kinematics."
"fbi-photo-b1.jpg","FBI Photo B1","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b1.pdf","B-series military-system still","Late 2025","Western United States","PDF","single_still_low_context","Small dark circular object in upper-right quadrant near frame center; indistinct mountain/cloud background.","Single redacted still; no mission report, platform data, calibration, range, or kinematics; image timestamp is not reliable."
"fbi-photo-b2.jpg","FBI Photo B2","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b2.pdf","B-series military-system still","Late 2025","Western United States","PDF","single_still_low_context","Small dark circular object in upper-right quadrant; indistinct mountain/cloud background.","Single redacted still; no mission report, platform data, calibration, range, or kinematics; image timestamp is not reliable."
"fbi-photo-b3.jpg","FBI Photo B3","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b3.pdf","B-series military-system still","Late 2025","Western United States","PDF","single_still_low_context","Small dark circular object just right of reticle center; indistinct mountain/cloud background.","Single redacted still; no mission report, platform data, calibration, range, or kinematics; image timestamp is not reliable."
