candidate_id,record_id,release_tag,video_name,dvids_id,dvids_url,source_basis,source_status,approx_second,frame_index,label_text_observed,label_family,candidate_class,classification_status,alteration_status,fresh_clone_reproducible,local_source_path,crop_path,evidence_detail,ambiguity_notes,next_action
DOW-UAP-PR19-METADATA-001,DOW-UAP-PR19,release-01,DOD_111688723.mp4,1006056,https://www.dvidshub.net/video/1006056,official manifest/DVIDS description text,metadata-only scan target,,,,unknown pending frame scan,overlay/measurement scan target,no explicit frame-level label confirmed in repo,no,yes: derived from committed manifest text,source-files-not-included/DOD_111688723.mp4,,Matched terms: field-of-view,Manifest text indicates display/reticle/zoom/alteration context but does not itself prove a measurement label is visible.,Run local-media frame scan and manual crop review if the source MP4 is available.
DOW-UAP-PR21-METADATA-001,DOW-UAP-PR21,release-01,DOD_111688762.mp4,1006059,https://www.dvidshub.net/video/1006059,official manifest/DVIDS description text,metadata-only scan target,,,,unknown pending frame scan,overlay/measurement scan target,no explicit frame-level label confirmed in repo,no,yes: derived from committed manifest text,source-files-not-included/DOD_111688762.mp4,,Matched terms: field-of-view,Manifest text indicates display/reticle/zoom/alteration context but does not itself prove a measurement label is visible.,Run local-media frame scan and manual crop review if the source MP4 is available.
DOW-UAP-PR22-METADATA-001,DOW-UAP-PR22,release-01,DOD_111688775.mp4,1006060,https://www.dvidshub.net/video/1006060,official manifest/DVIDS description text,metadata-only scan target,,,,unknown pending frame scan,overlay/measurement scan target,no explicit frame-level label confirmed in repo,no,yes: derived from committed manifest text,source-files-not-included/DOD_111688775.mp4,,Matched terms: field-of-view,Manifest text indicates display/reticle/zoom/alteration context but does not itself prove a measurement label is visible.,Run local-media frame scan and manual crop review if the source MP4 is available.
DOW-UAP-PR23-METADATA-001,DOW-UAP-PR23,release-01,DOD_111688809.mp4,1006062,https://www.dvidshub.net/video/1006062,official manifest/DVIDS description text,metadata-only scan target,,,,unknown pending frame scan,overlay/measurement scan target,no explicit frame-level label confirmed in repo,no,yes: derived from committed manifest text,source-files-not-included/DOD_111688809.mp4,,Matched terms: field-of-view,Manifest text indicates display/reticle/zoom/alteration context but does not itself prove a measurement label is visible.,Run local-media frame scan and manual crop review if the source MP4 is available.
DOW-UAP-PR26-METADATA-001,DOW-UAP-PR26,release-01,DOD_111688816.mp4,1006063,https://www.dvidshub.net/video/1006063,official manifest/DVIDS description text,metadata-only scan target,,,,unknown pending frame scan,overlay/measurement scan target,no explicit frame-level label confirmed in repo,no,yes: derived from committed manifest text,source-files-not-included/DOD_111688816.mp4,,Matched terms: field-of-view,Manifest text indicates display/reticle/zoom/alteration context but does not itself prove a measurement label is visible.,Run local-media frame scan and manual crop review if the source MP4 is available.
DOW-UAP-PR27-METADATA-001,DOW-UAP-PR27,release-01,DOD_111688825.mp4,1006067,https://www.dvidshub.net/video/1006067,official manifest/DVIDS description text,metadata-only scan target,,,,unknown pending frame scan,overlay/measurement scan target,no explicit frame-level label confirmed in repo,no,yes: derived from committed manifest text,source-files-not-included/DOD_111688825.mp4,,"Matched terms: field-of-view, zoom",Manifest text indicates display/reticle/zoom/alteration context but does not itself prove a measurement label is visible.,Run local-media frame scan and manual crop review if the source MP4 is available.
DOW-UAP-PR28-METADATA-001,DOW-UAP-PR28,release-01,DOD_111688954.mp4,1006073,https://www.dvidshub.net/video/1006073,official manifest/DVIDS description text,metadata-only scan target,,,,unknown pending frame scan,overlay/measurement scan target,no explicit frame-level label confirmed in repo,no,yes: derived from committed manifest text,source-files-not-included/DOD_111688954.mp4,,"Matched terms: 434 knots, field-of-view",Manifest text indicates display/reticle/zoom/alteration context but does not itself prove a measurement label is visible.,Run local-media frame scan and manual crop review if the source MP4 is available.
DOW-UAP-PR29-METADATA-001,DOW-UAP-PR29,release-01,DOD_111688964.mp4,1006074,https://www.dvidshub.net/video/1006074,official manifest/DVIDS description text,metadata-only scan target,,,,unknown pending frame scan,overlay/measurement scan target,no explicit frame-level label confirmed in repo,no,yes: derived from committed manifest text,source-files-not-included/DOD_111688964.mp4,,Matched terms: field-of-view,Manifest text indicates display/reticle/zoom/alteration context but does not itself prove a measurement label is visible.,Run local-media frame scan and manual crop review if the source MP4 is available.
DOW-UAP-PR31-METADATA-001,DOW-UAP-PR31,release-01,DOD_111688970.mp4,1006076,https://www.dvidshub.net/video/1006076,official manifest/DVIDS description text,metadata-only scan target,,,,unknown pending frame scan,overlay/measurement scan target,no explicit frame-level label confirmed in repo,no,yes: derived from committed manifest text,source-files-not-included/DOD_111688970.mp4,,Matched terms: sensor display,Manifest text indicates display/reticle/zoom/alteration context but does not itself prove a measurement label is visible.,Run local-media frame scan and manual crop review if the source MP4 is available.
DOW-UAP-PR32-METADATA-001,DOW-UAP-PR32,release-01,DOD_111688997.mp4,1006078,https://www.dvidshub.net/video/1006078,official manifest/DVIDS description text,metadata-only scan target,,,,unknown pending frame scan,overlay/measurement scan target,no explicit frame-level label confirmed in repo,no,yes: derived from committed manifest text,source-files-not-included/DOD_111688997.mp4,,Matched terms: sensor display,Manifest text indicates display/reticle/zoom/alteration context but does not itself prove a measurement label is visible.,Run local-media frame scan and manual crop review if the source MP4 is available.
