case,record_id,video,second,frame_index,manual_overlay_review_status,notes
PR052,DOW-UAP-PR052,DOD_111719718.mp4,0,0,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,1,24,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,2,48,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,3,72,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,4,96,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,5,120,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,6,144,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,7,168,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,8,192,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,9,216,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,10,240,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,11,264,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,12,288,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,13,312,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,14,336,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,15,360,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,16,384,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,17,408,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,18,432,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,19,456,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,20,480,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,21,504,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,22,528,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
PR052,DOW-UAP-PR052,DOD_111719718.mp4,23,552,sampled_for_manual_sheet_review,One-frame-per-second quicklook sample; manual conclusions are recorded separately; source media not redistributed.
