case,record_id,video,second,frame_index,crop_strategy,manual_label_review_status,notes
PR059,DOW-UAP-PR059,DOD_111719809.mp4,0,0,source_resolution_right_center_track_box_and_label_region,pending_interval_review,Source media retained outside Git; crop sheets under ignored research/ufo-derived/.
PR059,DOW-UAP-PR059,DOD_111719809.mp4,1,30,source_resolution_right_center_track_box_and_label_region,pending_interval_review,Source media retained outside Git; crop sheets under ignored research/ufo-derived/.
PR059,DOW-UAP-PR059,DOD_111719809.mp4,2,60,source_resolution_right_center_track_box_and_label_region,pending_interval_review,Source media retained outside Git; crop sheets under ignored research/ufo-derived/.
PR059,DOW-UAP-PR059,DOD_111719809.mp4,3,90,source_resolution_right_center_track_box_and_label_region,pending_interval_review,Source media retained outside Git; crop sheets under ignored research/ufo-derived/.
PR059,DOW-UAP-PR059,DOD_111719809.mp4,4,120,source_resolution_right_center_track_box_and_label_region,pending_interval_review,Source media retained outside Git; crop sheets under ignored research/ufo-derived/.
PR059,DOW-UAP-PR059,DOD_111719809.mp4,5,150,source_resolution_right_center_track_box_and_label_region,pending_interval_review,Source media retained outside Git; crop sheets under ignored research/ufo-derived/.
PR059,DOW-UAP-PR059,DOD_111719809.mp4,6,180,source_resolution_right_center_track_box_and_label_region,pending_interval_review,Source media retained outside Git; crop sheets under ignored research/ufo-derived/.
PR059,DOW-UAP-PR059,DOD_111719809.mp4,7,210,source_resolution_right_center_track_box_and_label_region,pending_interval_review,Source media retained outside Git; crop sheets under ignored research/ufo-derived/.
PR059,DOW-UAP-PR059,DOD_111719809.mp4,8,240,source_resolution_right_center_track_box_and_label_region,pending_interval_review,Source media retained outside Git; crop sheets under ignored research/ufo-derived/.
PR059,DOW-UAP-PR059,DOD_111719809.mp4,9,270,source_resolution_right_center_track_box_and_label_region,pending_interval_review,Source media retained outside Git; crop sheets under ignored research/ufo-derived/.
PR059,DOW-UAP-PR059,DOD_111719809.mp4,10,300,source_resolution_right_center_track_box_and_label_region,pending_interval_review,Source media retained outside Git; crop sheets under ignored research/ufo-derived/.
PR059,DOW-UAP-PR059,DOD_111719809.mp4,11,330,source_resolution_right_center_track_box_and_label_region,pending_interval_review,Source media retained outside Git; crop sheets under ignored research/ufo-derived/.
PR059,DOW-UAP-PR059,DOD_111719809.mp4,12,360,source_resolution_right_center_track_box_and_label_region,pending_interval_review,Source media retained outside Git; crop sheets under ignored research/ufo-derived/.
PR059,DOW-UAP-PR059,DOD_111719809.mp4,13,390,source_resolution_right_center_track_box_and_label_region,pending_interval_review,Source media retained outside Git; crop sheets under ignored research/ufo-derived/.
PR059,DOW-UAP-PR059,DOD_111719809.mp4,14,420,source_resolution_right_center_track_box_and_label_region,pending_interval_review,Source media retained outside Git; crop sheets under ignored research/ufo-derived/.
PR059,DOW-UAP-PR059,DOD_111719809.mp4,15,450,source_resolution_right_center_track_box_and_label_region,pending_interval_review,Source media retained outside Git; crop sheets under ignored research/ufo-derived/.
