case,video,record_id,second,label_text_observed,reticle_box_visible,label_position,manual_read_confidence,semantics_status,crop_artifact,notes
PR44,DOD_111689115.mp4,DOW-UAP-PR44,230,11M,yes,right of reticle/track box,medium,unresolved,research/ufo-derived/overlay-measurement-audit/DOD_111689115/DOD_111689115_t00230_overlay_candidate.jpg,Manual read from local-media scan crop; label appears measurement-like but not physically interpreted.
PR44,DOD_111689115.mp4,DOW-UAP-PR44,231,11M,yes,right of reticle/track box,medium,unresolved,research/ufo-derived/overlay-measurement-audit/DOD_111689115/DOD_111689115_t00231_overlay_candidate.jpg,Manual read from local-media scan crop; label appears measurement-like but not physically interpreted.
PR44,DOD_111689115.mp4,DOW-UAP-PR44,232,11M,yes,right of reticle/track box,medium,unresolved,research/ufo-derived/overlay-measurement-audit/DOD_111689115/DOD_111689115_t00232_overlay_candidate.jpg,Manual read from local-media scan crop; label appears measurement-like but not physically interpreted.
PR44,DOD_111689115.mp4,DOW-UAP-PR44,233,11M,yes,right of reticle/track box,medium,unresolved,research/ufo-derived/overlay-measurement-audit/DOD_111689115/DOD_111689115_t00233_overlay_candidate.jpg,Manual read from local-media scan crop; label appears measurement-like but not physically interpreted.
PR44,DOD_111689115.mp4,DOW-UAP-PR44,234,10M,yes,right of reticle/track box,high,unresolved,research/ufo-derived/overlay-measurement-audit/DOD_111689115/DOD_111689115_t00234_overlay_candidate.jpg,Manual read from local-media scan crop; label appears measurement-like but not physically interpreted.
PR44,DOD_111689115.mp4,DOW-UAP-PR44,235,10M,yes,right of reticle/track box,high,unresolved,research/ufo-derived/overlay-measurement-audit/DOD_111689115/DOD_111689115_t00235_overlay_candidate.jpg,Manual read from local-media scan crop; label appears measurement-like but not physically interpreted.
PR44,DOD_111689115.mp4,DOW-UAP-PR44,236,10M,yes,right of reticle/track box,high,unresolved,research/ufo-derived/overlay-measurement-audit/DOD_111689115/DOD_111689115_t00236_overlay_candidate.jpg,Manual read from local-media scan crop; label appears measurement-like but not physically interpreted.
PR44,DOD_111689115.mp4,DOW-UAP-PR44,237,10M,yes,right of reticle/track box,high,unresolved,research/ufo-derived/overlay-measurement-audit/DOD_111689115/DOD_111689115_t00237_overlay_candidate.jpg,Manual read from local-media scan crop; label appears measurement-like but not physically interpreted.
PR44,DOD_111689115.mp4,DOW-UAP-PR44,238,10M,yes,right of reticle/track box,high,unresolved,research/ufo-derived/overlay-measurement-audit/DOD_111689115/DOD_111689115_t00238_overlay_candidate.jpg,Manual read from local-media scan crop; label appears measurement-like but not physically interpreted.
PR44,DOD_111689115.mp4,DOW-UAP-PR44,239,10M,yes,right of reticle/track box,high,unresolved,research/ufo-derived/overlay-measurement-audit/DOD_111689115/DOD_111689115_t00239_overlay_candidate.jpg,Manual read from local-media scan crop; label appears measurement-like but not physically interpreted.
PR44,DOD_111689115.mp4,DOW-UAP-PR44,240,10M,yes,right of reticle/track box,high,unresolved,research/ufo-derived/overlay-measurement-audit/DOD_111689115/DOD_111689115_t00240_overlay_candidate.jpg,Manual read from local-media scan crop; label appears measurement-like but not physically interpreted.
PR44,DOD_111689115.mp4,DOW-UAP-PR44,241,10M,yes,right of reticle/track box,high,unresolved,research/ufo-derived/overlay-measurement-audit/DOD_111689115/DOD_111689115_t00241_overlay_candidate.jpg,Manual read from local-media scan crop; label appears measurement-like but not physically interpreted.
PR44,DOD_111689115.mp4,DOW-UAP-PR44,242,10M,yes,right of reticle/track box,high,unresolved,research/ufo-derived/overlay-measurement-audit/DOD_111689115/DOD_111689115_t00242_overlay_candidate.jpg,Manual read from local-media scan crop; label appears measurement-like but not physically interpreted.
PR44,DOD_111689115.mp4,DOW-UAP-PR44,243,10M,yes,right of reticle/track box,high,unresolved,research/ufo-derived/overlay-measurement-audit/DOD_111689115/DOD_111689115_t00243_overlay_candidate.jpg,Manual read from local-media scan crop; label appears measurement-like but not physically interpreted.
PR44,DOD_111689115.mp4,DOW-UAP-PR44,244,10M,yes,right of reticle/track box,high,unresolved,research/ufo-derived/overlay-measurement-audit/DOD_111689115/DOD_111689115_t00244_overlay_candidate.jpg,Manual read from local-media scan crop; label appears measurement-like but not physically interpreted.
PR44,DOD_111689115.mp4,DOW-UAP-PR44,245,10M,yes,right of reticle/track box,high,unresolved,research/ufo-derived/overlay-measurement-audit/DOD_111689115/DOD_111689115_t00245_overlay_candidate.jpg,Manual read from local-media scan crop; label appears measurement-like but not physically interpreted.
PR44,DOD_111689115.mp4,DOW-UAP-PR44,246,10M,yes,right of reticle/track box,high,unresolved,research/ufo-derived/overlay-measurement-audit/DOD_111689115/DOD_111689115_t00246_overlay_candidate.jpg,Manual read from local-media scan crop; label appears measurement-like but not physically interpreted.
PR44,DOD_111689115.mp4,DOW-UAP-PR44,247,10M,yes,right of reticle/track box,high,unresolved,research/ufo-derived/overlay-measurement-audit/DOD_111689115/DOD_111689115_t00247_overlay_candidate.jpg,Manual read from local-media scan crop; label appears measurement-like but not physically interpreted.
PR44,DOD_111689115.mp4,DOW-UAP-PR44,248,10M,yes,right of reticle/track box,high,unresolved,research/ufo-derived/overlay-measurement-audit/DOD_111689115/DOD_111689115_t00248_overlay_candidate.jpg,Manual read from local-media scan crop; label appears measurement-like but not physically interpreted.
PR44,DOD_111689115.mp4,DOW-UAP-PR44,249,10M,yes,right of reticle/track box,high,unresolved,research/ufo-derived/overlay-measurement-audit/DOD_111689115/DOD_111689115_t00249_overlay_candidate.jpg,Manual read from local-media scan crop; label appears measurement-like but not physically interpreted.
