case,video,record_id,sample_index,second,frame_index,sample_rate_hz,crop_artifact,manual_label_text,manual_read_confidence,semantics_status,notes
PR44,DOD_111689115.mp4,DOW-UAP-PR44,0,232.000,6960,5,research/ufo-derived/overlay-measurement-audit/DOD_111689115-transition/DOD_111689115_t0232.000_f006960_overlay_transition.jpg,11M,medium,unresolved,Manual read from high-rate contact sheet; label semantics unresolved.
PR44,DOD_111689115.mp4,DOW-UAP-PR44,1,232.200,6966,5,research/ufo-derived/overlay-measurement-audit/DOD_111689115-transition/DOD_111689115_t0232.200_f006966_overlay_transition.jpg,11M,medium,unresolved,Manual read from high-rate contact sheet; label semantics unresolved.
PR44,DOD_111689115.mp4,DOW-UAP-PR44,2,232.400,6972,5,research/ufo-derived/overlay-measurement-audit/DOD_111689115-transition/DOD_111689115_t0232.400_f006972_overlay_transition.jpg,11M,medium,unresolved,Manual read from high-rate contact sheet; label semantics unresolved.
PR44,DOD_111689115.mp4,DOW-UAP-PR44,3,232.600,6978,5,research/ufo-derived/overlay-measurement-audit/DOD_111689115-transition/DOD_111689115_t0232.600_f006978_overlay_transition.jpg,11M,medium,unresolved,Manual read from high-rate contact sheet; label semantics unresolved.
PR44,DOD_111689115.mp4,DOW-UAP-PR44,4,232.800,6984,5,research/ufo-derived/overlay-measurement-audit/DOD_111689115-transition/DOD_111689115_t0232.800_f006984_overlay_transition.jpg,11M,medium,unresolved,Manual read from high-rate contact sheet; label semantics unresolved.
PR44,DOD_111689115.mp4,DOW-UAP-PR44,5,233.000,6990,5,research/ufo-derived/overlay-measurement-audit/DOD_111689115-transition/DOD_111689115_t0233.000_f006990_overlay_transition.jpg,11M,medium,unresolved,Manual read from high-rate contact sheet; label semantics unresolved.
PR44,DOD_111689115.mp4,DOW-UAP-PR44,6,233.200,6996,5,research/ufo-derived/overlay-measurement-audit/DOD_111689115-transition/DOD_111689115_t0233.200_f006996_overlay_transition.jpg,11M,medium,unresolved,Manual read from high-rate contact sheet; label semantics unresolved.
PR44,DOD_111689115.mp4,DOW-UAP-PR44,7,233.400,7002,5,research/ufo-derived/overlay-measurement-audit/DOD_111689115-transition/DOD_111689115_t0233.400_f007002_overlay_transition.jpg,10M,high,unresolved,First 5 Hz sample where label is manually read as 10M; transition occurs between 233.2s/frame 6996 and 233.4s/frame 7002.
PR44,DOD_111689115.mp4,DOW-UAP-PR44,8,233.600,7008,5,research/ufo-derived/overlay-measurement-audit/DOD_111689115-transition/DOD_111689115_t0233.600_f007008_overlay_transition.jpg,10M,high,unresolved,Manual read from high-rate contact sheet; label semantics unresolved.
PR44,DOD_111689115.mp4,DOW-UAP-PR44,9,233.800,7014,5,research/ufo-derived/overlay-measurement-audit/DOD_111689115-transition/DOD_111689115_t0233.800_f007014_overlay_transition.jpg,10M,high,unresolved,Manual read from high-rate contact sheet; label semantics unresolved.
PR44,DOD_111689115.mp4,DOW-UAP-PR44,10,234.000,7020,5,research/ufo-derived/overlay-measurement-audit/DOD_111689115-transition/DOD_111689115_t0234.000_f007020_overlay_transition.jpg,10M,high,unresolved,Manual read from high-rate contact sheet; label semantics unresolved.
PR44,DOD_111689115.mp4,DOW-UAP-PR44,11,234.200,7026,5,research/ufo-derived/overlay-measurement-audit/DOD_111689115-transition/DOD_111689115_t0234.200_f007026_overlay_transition.jpg,10M,high,unresolved,Manual read from high-rate contact sheet; label semantics unresolved.
PR44,DOD_111689115.mp4,DOW-UAP-PR44,12,234.400,7032,5,research/ufo-derived/overlay-measurement-audit/DOD_111689115-transition/DOD_111689115_t0234.400_f007032_overlay_transition.jpg,10M,high,unresolved,Manual read from high-rate contact sheet; label semantics unresolved.
PR44,DOD_111689115.mp4,DOW-UAP-PR44,13,234.600,7038,5,research/ufo-derived/overlay-measurement-audit/DOD_111689115-transition/DOD_111689115_t0234.600_f007038_overlay_transition.jpg,10M,high,unresolved,Manual read from high-rate contact sheet; label semantics unresolved.
PR44,DOD_111689115.mp4,DOW-UAP-PR44,14,234.800,7044,5,research/ufo-derived/overlay-measurement-audit/DOD_111689115-transition/DOD_111689115_t0234.800_f007044_overlay_transition.jpg,10M,high,unresolved,Manual read from high-rate contact sheet; label semantics unresolved.
PR44,DOD_111689115.mp4,DOW-UAP-PR44,15,235.000,7050,5,research/ufo-derived/overlay-measurement-audit/DOD_111689115-transition/DOD_111689115_t0235.000_f007050_overlay_transition.jpg,10M,high,unresolved,Manual read from high-rate contact sheet; label semantics unresolved.
