record_id,release_tag,source_video,review_basis,ocr_rows,ocr_meter_candidate_rows,visible_overlay_elements,meter_label_result,classification_effect,physical_claim_status,evidence_boundary,support_note
DOW-UAP-PR19,release-01,DOD_111688723.mp4,30_second_display_focused_ocr_probe,4,0,reticle/display crop with no promoted meter-label candidate,no explicit PR44/PR051/PR059-style meter-label candidate promoted in bounded residual-local OCR review,bounded_residual_local_ocr_no_meter_candidate,not_promoted,Bounded OCR triage only; not an exhaustive all-frame absence claim.,research/ufo-overlay-measurement-residual-local-ocr-probe.md
DOW-UAP-PR21,release-01,DOD_111688762.mp4,30_second_display_focused_ocr_probe_plus_manual_candidate_crop_review,4,1,reticle/display crop with direction marker and terrain texture,one OCR candidate at 0s was manually checked and rejected as direction-marker/texture OCR noise; not a visible meter label,bounded_residual_local_ocr_false_ocr_candidate,not_promoted,Bounded OCR triage plus manual candidate crop review only; not an exhaustive all-frame absence claim.,research/ufo-overlay-measurement-residual-local-ocr-probe.md
DOW-UAP-PR22,release-01,DOD_111688775.mp4,30_second_display_focused_ocr_probe,4,0,reticle/display crop with no promoted meter-label candidate,no explicit PR44/PR051/PR059-style meter-label candidate promoted in bounded residual-local OCR review,bounded_residual_local_ocr_no_meter_candidate,not_promoted,Bounded OCR triage only; not an exhaustive all-frame absence claim.,research/ufo-overlay-measurement-residual-local-ocr-probe.md
DOW-UAP-PR23,release-01,DOD_111688809.mp4,30_second_display_focused_ocr_probe,4,0,reticle/display crop with no promoted meter-label candidate,no explicit PR44/PR051/PR059-style meter-label candidate promoted in bounded residual-local OCR review,bounded_residual_local_ocr_no_meter_candidate,not_promoted,Bounded OCR triage only; not an exhaustive all-frame absence claim.,research/ufo-overlay-measurement-residual-local-ocr-probe.md
DOW-UAP-PR26,release-01,DOD_111688816.mp4,30_second_display_focused_ocr_probe,8,0,reticle/display crop with no promoted meter-label candidate,no explicit PR44/PR051/PR059-style meter-label candidate promoted in bounded residual-local OCR review,bounded_residual_local_ocr_no_meter_candidate,not_promoted,Bounded OCR triage only; not an exhaustive all-frame absence claim.,research/ufo-overlay-measurement-residual-local-ocr-probe.md
DOW-UAP-PR28,release-01,DOD_111688954.mp4,30_second_display_focused_ocr_probe_plus_manual_candidate_crop_review,12,1,reticle/display crop with direction marker and terrain texture,one OCR candidate at 60s was manually checked and rejected as direction-marker/texture OCR noise; not a visible meter label,bounded_residual_local_ocr_false_ocr_candidate,not_promoted,Bounded OCR triage plus manual candidate crop review only; not an exhaustive all-frame absence claim.,research/ufo-overlay-measurement-residual-local-ocr-probe.md
DOW-UAP-PR29,release-01,DOD_111688964.mp4,30_second_display_focused_ocr_probe,4,0,reticle/display crop with no promoted meter-label candidate,no explicit PR44/PR051/PR059-style meter-label candidate promoted in bounded residual-local OCR review,bounded_residual_local_ocr_no_meter_candidate,not_promoted,Bounded OCR triage only; not an exhaustive all-frame absence claim.,research/ufo-overlay-measurement-residual-local-ocr-probe.md
DOW-UAP-PR37,release-01,DOD_111689044.mp4,30_second_display_focused_ocr_probe,4,0,reticle/display crop with no promoted meter-label candidate,no explicit PR44/PR051/PR059-style meter-label candidate promoted in bounded residual-local OCR review,bounded_residual_local_ocr_no_meter_candidate,not_promoted,Bounded OCR triage only; not an exhaustive all-frame absence claim.,research/ufo-overlay-measurement-residual-local-ocr-probe.md
DOW-UAP-PR39,release-01,DOD_111689057.mp4,30_second_display_focused_ocr_probe,4,0,reticle/display crop with no promoted meter-label candidate,no explicit PR44/PR051/PR059-style meter-label candidate promoted in bounded residual-local OCR review,bounded_residual_local_ocr_no_meter_candidate,not_promoted,Bounded OCR triage only; not an exhaustive all-frame absence claim.,research/ufo-overlay-measurement-residual-local-ocr-probe.md
DOW-UAP-PR41,release-01,DOD_111689083.mp4,30_second_display_focused_ocr_probe,16,0,reticle/display crop with no promoted meter-label candidate,no explicit PR44/PR051/PR059-style meter-label candidate promoted in bounded residual-local OCR review,bounded_residual_local_ocr_no_meter_candidate,not_promoted,Bounded OCR triage only; not an exhaustive all-frame absence claim.,research/ufo-overlay-measurement-residual-local-ocr-probe.md
