record_id,release_tag,dvids_id,dvids_filename,source_url,expected_bytes,dvids_duration,sample_step_seconds,second,roi,frame_extract_status,frame_width,frame_height,ocr_text,normalized_text,meter_label_candidate,candidate_rule,candidate_image_not_redistributed,source_media_boundary
DOW-UAP-PR065,release-02,1007777,DOD_111720692,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111720692/DOD_111720692.mp4,1357057,00:00:38,30,0,center_reticle,ok,640,360,- ST 7) agi =r Lo - —»— ti at =,ST 7 AGI R LO TI AT,no,,,public source MP4 sampled remotely; source MP4 not retained or redistributed
DOW-UAP-PR065,release-02,1007777,DOD_111720692,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111720692/DOD_111720692.mp4,1357057,00:00:38,30,0,upper_display_strip,ok,640,360,,,no,,,public source MP4 sampled remotely; source MP4 not retained or redistributed
DOW-UAP-PR065,release-02,1007777,DOD_111720692,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111720692/DOD_111720692.mp4,1357057,00:00:38,30,0,lower_display_strip,ok,640,360,2S,2S,no,,,public source MP4 sampled remotely; source MP4 not retained or redistributed
DOW-UAP-PR065,release-02,1007777,DOD_111720692,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111720692/DOD_111720692.mp4,1357057,00:00:38,30,0,right_display_strip,ok,640,360,,,no,,,public source MP4 sampled remotely; source MP4 not retained or redistributed
DOW-UAP-PR065,release-02,1007777,DOD_111720692,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111720692/DOD_111720692.mp4,1357057,00:00:38,30,30,center_reticle,ok,640,360,= | an i bi mal - were a mt a he : ” — ei a1 mg,AN I BI MAL WERE A MT A HE EI A1 MG,no,,,public source MP4 sampled remotely; source MP4 not retained or redistributed
DOW-UAP-PR065,release-02,1007777,DOD_111720692,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111720692/DOD_111720692.mp4,1357057,00:00:38,30,30,upper_display_strip,ok,640,360,,,no,,,public source MP4 sampled remotely; source MP4 not retained or redistributed
DOW-UAP-PR065,release-02,1007777,DOD_111720692,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111720692/DOD_111720692.mp4,1357057,00:00:38,30,30,lower_display_strip,ok,640,360,tr,TR,no,,,public source MP4 sampled remotely; source MP4 not retained or redistributed
DOW-UAP-PR065,release-02,1007777,DOD_111720692,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111720692/DOD_111720692.mp4,1357057,00:00:38,30,30,right_display_strip,ok,640,360,,,no,,,public source MP4 sampled remotely; source MP4 not retained or redistributed
DOW-UAP-PR053,release-02,1007709,DOD_111719723,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111719723/DOD_111719723.mp4,2770399,00:00:21,30,0,center_reticle,ok,1920,1080,""" / es 4",ES 4,no,,,public source MP4 sampled remotely; source MP4 not retained or redistributed
DOW-UAP-PR053,release-02,1007709,DOD_111719723,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111719723/DOD_111719723.mp4,2770399,00:00:21,30,0,upper_display_strip,ok,1920,1080,"> 4 # , oo -",4 OO,no,,,public source MP4 sampled remotely; source MP4 not retained or redistributed
