residual_id,record_id,release_tag,dvids_id,dvids_url,matched_terms,priority_band,current_lane_status,page_fetch_status,resolved_page_url,dvids_title,dvids_filename,dvids_duration,embedded_public_mp4_url,mp4_head_status,mp4_content_length,mp4_content_length_mb,mp4_content_type,source_acquisition_status,recommended_next_action,accessed_utc
DOW-UAP-PR050-METADATA-001,DOW-UAP-PR050,release-02,1007706,https://www.dvidshub.net/video/1007706,field-of-view,P3,bounded_residual_remote_ocr_no_meter_candidate,http_200,https://www.dvidshub.net/video/1007706/dow-uap-pr050-4-uap-formation-iran-26-aug-2022-over-water-callsign,"DOW-UAP-PR050, ""4 UAP Formation Iran 26 Aug 2022 over water [CALLSIGN]""",DOD_111719709,00:00:20,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111719709/DOD_111719709.mp4,http_200,3103288,2.96,binary/octet-stream,embedded_public_mp4_found_not_downloaded,"If disk space permits, acquire source MP4 outside the repo, hash it, then run display-focused OCR/contact-sheet review before classification.",2026-05-26T06:30:50Z
DOW-UAP-PR053-METADATA-001,DOW-UAP-PR053,release-02,1007709,https://www.dvidshub.net/video/1007709,field-of-view,P3,bounded_residual_remote_ocr_no_meter_candidate,http_200,https://www.dvidshub.net/video/1007709/dow-uap-pr053-cigar-shaped-fast-sherical-uap-clip-15-oct-22,"DOW-UAP-PR053, ""Cigar Shaped or Fast Sherical UAP clip 15 OCT 22""",DOD_111719723,00:00:21,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111719723/DOD_111719723.mp4,http_200,2770399,2.64,binary/octet-stream,embedded_public_mp4_found_not_downloaded,"If disk space permits, acquire source MP4 outside the repo, hash it, then run display-focused OCR/contact-sheet review before classification.",2026-05-26T06:30:50Z
DOW-UAP-PR054-METADATA-001,DOW-UAP-PR054,release-02,1007711,https://www.dvidshub.net/video/1007711,"altered, contrast",P3,bounded_residual_remote_ocr_no_meter_candidate,http_200,https://www.dvidshub.net/video/1007711/dow-uap-pr054-spherical-uap-erratic-movement-callsign-mission-2022,"DOW-UAP-PR054, ""Spherical UAP Erratic movement [CALLSIGN] (Mission) 2022""",DOD_111719726,00:03:57,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111719726/DOD_111719726.mp4,http_200,61738864,58.88,binary/octet-stream,embedded_public_mp4_found_not_downloaded,"If disk space permits, acquire source MP4 outside the repo, hash it, then run display-focused OCR/contact-sheet review before classification.",2026-05-26T06:30:50Z
DOW-UAP-PR056-METADATA-001,DOW-UAP-PR056,release-02,1007718,https://www.dvidshub.net/video/1007718,"altered, contrast",P3,bounded_residual_remote_ocr_no_meter_candidate,http_200,https://www.dvidshub.net/video/1007718/dow-uap-pr056-spherical-uap-pulsing-over-water-callsign,"DOW-UAP-PR056, ""Spherical UAP pulsing over water [CALLSIGN]""",DOD_111719741,00:03:32,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111719741/DOD_111719741.mp4,http_200,154396345,147.24,binary/octet-stream,embedded_public_mp4_found_not_downloaded,"If disk space permits, acquire source MP4 outside the repo, hash it, then run display-focused OCR/contact-sheet review before classification.",2026-05-26T06:30:50Z
DOW-UAP-PR060-METADATA-001,DOW-UAP-PR060,release-02,1007734,https://www.dvidshub.net/video/1007734,field-of-view,P3,bounded_residual_remote_ocr_false_ocr_candidate,http_200,https://www.dvidshub.net/video/1007734/dow-uap-pr060-spherical-uap-callsign-2021-04-12-obj-2,"DOW-UAP-PR060, ""Spherical UAP [CALLSIGN] 2021/04/12 obj 2""",DOD_111719823,00:04:50,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111719823/DOD_111719823.mp4,http_200,232010970,221.26,video/mp4,embedded_public_mp4_found_not_downloaded,"If disk space permits, acquire source MP4 outside the repo, hash it, then run display-focused OCR/contact-sheet review before classification.",2026-05-26T06:30:50Z
DOW-UAP-PR061-METADATA-001,DOW-UAP-PR061,release-02,1007735,https://www.dvidshub.net/video/1007735,field-of-view,P3,bounded_residual_remote_ocr_false_ocr_candidate,http_200,https://www.dvidshub.net/video/1007735/dow-uap-pr061-spherical-uap-callsign-2021-04-12-vid-0,"DOW-UAP-PR061, ""Spherical UAP [CALLSIGN] 2021/04/12 vid 0""",DOD_111719828,00:04:46,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111719828/DOD_111719828.mp4,http_200,155095103,147.91,binary/octet-stream,embedded_public_mp4_found_not_downloaded,"If disk space permits, acquire source MP4 outside the repo, hash it, then run display-focused OCR/contact-sheet review before classification.",2026-05-26T06:30:50Z
DOW-UAP-PR063-METADATA-001,DOW-UAP-PR063,release-02,1007740,https://www.dvidshub.net/video/1007740,field-of-view,P3,bounded_residual_remote_ocr_no_meter_candidate,http_200,https://www.dvidshub.net/video/1007740/dow-uap-pr063-spherical-uap-callsign-2021-04-12-vid-2,"DOW-UAP-PR063, ""Spherical UAP [CALLSIGN] 2021/04/12 vid 2""",DOD_111719850,00:04:49,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111719850/DOD_111719850.mp4,http_200,217729901,207.64,video/mp4,embedded_public_mp4_found_not_downloaded,"If disk space permits, acquire source MP4 outside the repo, hash it, then run display-focused OCR/contact-sheet review before classification.",2026-05-26T06:30:50Z
DOW-UAP-PR064-METADATA-001,DOW-UAP-PR064,release-02,1007741,https://www.dvidshub.net/video/1007741,field-of-view,P3,bounded_residual_remote_ocr_no_meter_candidate,http_200,https://www.dvidshub.net/video/1007741/dow-uap-pr064-afsoc-kabul-uap-jul-2017,"DOW-UAP-PR064, ""AFSOC Kabul UAP Jul 2017""",DOD_111719852,00:00:17,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111719852/DOD_111719852.mp4,http_200,3233071,3.08,binary/octet-stream,embedded_public_mp4_found_not_downloaded,"If disk space permits, acquire source MP4 outside the repo, hash it, then run display-focused OCR/contact-sheet review before classification.",2026-05-26T06:30:50Z
DOW-UAP-PR065-METADATA-001,DOW-UAP-PR065,release-02,1007777,https://www.dvidshub.net/video/1007777,field-of-view,P3,bounded_residual_remote_ocr_no_meter_candidate,http_200,https://www.dvidshub.net/video/1007777/dow-uap-pr065-uscg-c-144-tyndall-uap-2-tic-tac-ir-hot-24-april-2024,"DOW-UAP-PR065, ""USCG C-144 Tyndall UAP 2 TIC TAC IR hot 24 April 2024""",DOD_111720692,00:00:38,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111720692/DOD_111720692.mp4,http_200,1357057,1.29,binary/octet-stream,embedded_public_mp4_found_not_downloaded,"If disk space permits, acquire source MP4 outside the repo, hash it, then run display-focused OCR/contact-sheet review before classification.",2026-05-26T06:30:50Z
DOW-UAP-PR066-METADATA-001,DOW-UAP-PR066,release-02,1007778,https://www.dvidshub.net/video/1007778,field-of-view,P3,bounded_residual_remote_ocr_no_meter_candidate,http_200,https://www.dvidshub.net/video/1007778/dow-uap-pr066-uscg-c-144-tyndall-uap-1-tic-tac-ir-hot-24-april-2024,"DOW-UAP-PR066, ""USCG C-144 Tyndall UAP 1 TIC TAC IR hot 24 April 2024""",DOD_111720693,00:00:48,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111720693/DOD_111720693.mp4,http_200,35508173,33.86,binary/octet-stream,embedded_public_mp4_found_not_downloaded,"If disk space permits, acquire source MP4 outside the repo, hash it, then run display-focused OCR/contact-sheet review before classification.",2026-05-26T06:30:50Z
