track,rate_metric,rate_label,pixel_rate_px_s,assumed_full_frame_hfov_deg,source_width_px,angular_rate_rad_s,implied_slant_range_for_140kt_m,implied_slant_range_for_140kt_nm
dense_5fps_audit_track,net_rate_px_s,net start-to-end rate,21.585,0.5,1920,9.811e-05,734121.5,396.394
dense_5fps_audit_track,net_rate_px_s,net start-to-end rate,21.585,1.0,1920,0.00019621,367060.8,198.197
dense_5fps_audit_track,net_rate_px_s,net start-to-end rate,21.585,2.0,1920,0.00039243,183530.4,99.098
dense_5fps_audit_track,net_rate_px_s,net start-to-end rate,21.585,4.0,1920,0.00078485,91765.2,49.549
dense_5fps_audit_track,net_rate_px_s,net start-to-end rate,21.585,8.0,1920,0.00156971,45882.6,24.775
dense_5fps_audit_track,net_rate_px_s,net start-to-end rate,21.585,10.0,1920,0.00196213,36706.1,19.82
dense_5fps_audit_track,net_rate_px_s,net start-to-end rate,21.585,20.0,1920,0.00392426,18353.0,9.91
dense_5fps_audit_track,path_average_rate_px_s,path-length average rate,159.161,0.5,1920,0.00072341,99559.6,53.758
dense_5fps_audit_track,path_average_rate_px_s,path-length average rate,159.161,1.0,1920,0.00144681,49779.8,26.879
dense_5fps_audit_track,path_average_rate_px_s,path-length average rate,159.161,2.0,1920,0.00289363,24889.9,13.439
dense_5fps_audit_track,path_average_rate_px_s,path-length average rate,159.161,4.0,1920,0.00578726,12445.0,6.72
dense_5fps_audit_track,path_average_rate_px_s,path-length average rate,159.161,8.0,1920,0.01157451,6222.5,3.36
dense_5fps_audit_track,path_average_rate_px_s,path-length average rate,159.161,10.0,1920,0.01446814,4978.0,2.688
dense_5fps_audit_track,path_average_rate_px_s,path-length average rate,159.161,20.0,1920,0.02893629,2489.0,1.344
dense_5fps_audit_track,step_rate_median_px_s,median consecutive-step rate,124.36,0.5,1920,0.00056523,127420.5,68.802
dense_5fps_audit_track,step_rate_median_px_s,median consecutive-step rate,124.36,1.0,1920,0.00113046,63710.2,34.401
dense_5fps_audit_track,step_rate_median_px_s,median consecutive-step rate,124.36,2.0,1920,0.00226093,31855.1,17.2
