track,rate_metric,rate_label,pixel_rate_px_s,target_speed_mph,target_speed_mps,assumed_full_frame_hfov_deg,source_width_px,angular_rate_rad_s,implied_slant_range_for_80mph_m,implied_slant_range_for_80mph_nm
manual_review_track_all_4_59,net_rate_px_s,net start-to-end rate,8.455,80.0,35.763,0.5,1920,3.8429e-05,930629.1,502.499
manual_review_track_all_4_59,net_rate_px_s,net start-to-end rate,8.455,80.0,35.763,1.0,1920,7.6858e-05,465314.5,251.25
manual_review_track_all_4_59,net_rate_px_s,net start-to-end rate,8.455,80.0,35.763,2.0,1920,0.000153716,232657.3,125.625
manual_review_track_all_4_59,net_rate_px_s,net start-to-end rate,8.455,80.0,35.763,4.0,1920,0.000307432,116328.6,62.812
manual_review_track_all_4_59,net_rate_px_s,net start-to-end rate,8.455,80.0,35.763,8.0,1920,0.000614865,58164.3,31.406
manual_review_track_all_4_59,net_rate_px_s,net start-to-end rate,8.455,80.0,35.763,10.0,1920,0.000768581,46531.5,25.125
manual_review_track_all_4_59,net_rate_px_s,net start-to-end rate,8.455,80.0,35.763,20.0,1920,0.001537162,23265.7,12.562
manual_review_track_all_4_59,path_average_rate_px_s,path-length average rate,118.837,80.0,35.763,0.5,1920,0.000540129,66212.3,35.752
manual_review_track_all_4_59,path_average_rate_px_s,path-length average rate,118.837,80.0,35.763,1.0,1920,0.001080259,33106.1,17.876
manual_review_track_all_4_59,path_average_rate_px_s,path-length average rate,118.837,80.0,35.763,2.0,1920,0.002160518,16553.1,8.938
manual_review_track_all_4_59,path_average_rate_px_s,path-length average rate,118.837,80.0,35.763,4.0,1920,0.004321035,8276.5,4.469
manual_review_track_all_4_59,path_average_rate_px_s,path-length average rate,118.837,80.0,35.763,8.0,1920,0.008642071,4138.3,2.234
manual_review_track_all_4_59,path_average_rate_px_s,path-length average rate,118.837,80.0,35.763,10.0,1920,0.010802588,3310.6,1.788
manual_review_track_all_4_59,path_average_rate_px_s,path-length average rate,118.837,80.0,35.763,20.0,1920,0.021605176,1655.3,0.894
manual_review_track_all_4_59,step_rate_median_px_s,median consecutive-step rate,84.039,80.0,35.763,0.5,1920,0.000381968,93628.8,50.555
manual_review_track_all_4_59,step_rate_median_px_s,median consecutive-step rate,84.039,80.0,35.763,1.0,1920,0.000763936,46814.4,25.278
manual_review_track_all_4_59,step_rate_median_px_s,median consecutive-step rate,84.039,80.0,35.763,2.0,1920,0.001527872,23407.2,12.639
manual_review_track_all_4_59,step_rate_median_px_s,median consecutive-step rate,84.039,80.0,35.763,4.0,1920,0.003055744,11703.6,6.319
manual_review_track_all_4_59,step_rate_median_px_s,median consecutive-step rate,84.039,80.0,35.763,8.0,1920,0.006111489,5851.8,3.16
manual_review_track_all_4_59,step_rate_median_px_s,median consecutive-step rate,84.039,80.0,35.763,10.0,1920,0.007639361,4681.4,2.528
manual_review_track_all_4_59,step_rate_median_px_s,median consecutive-step rate,84.039,80.0,35.763,20.0,1920,0.015278721,2340.7,1.264
manual_review_track_all_4_59,step_rate_p95_px_s,p95 consecutive-step rate,375.811,80.0,35.763,0.5,1920,0.001708109,20937.3,11.305
manual_review_track_all_4_59,step_rate_p95_px_s,p95 consecutive-step rate,375.811,80.0,35.763,1.0,1920,0.003416218,10468.7,5.653
manual_review_track_all_4_59,step_rate_p95_px_s,p95 consecutive-step rate,375.811,80.0,35.763,2.0,1920,0.006832437,5234.3,2.826
manual_review_track_all_4_59,step_rate_p95_px_s,p95 consecutive-step rate,375.811,80.0,35.763,4.0,1920,0.013664874,2617.2,1.413
manual_review_track_all_4_59,step_rate_p95_px_s,p95 consecutive-step rate,375.811,80.0,35.763,8.0,1920,0.027329747,1308.6,0.707
manual_review_track_all_4_59,step_rate_p95_px_s,p95 consecutive-step rate,375.811,80.0,35.763,10.0,1920,0.034162184,1046.9,0.565
manual_review_track_all_4_59,step_rate_p95_px_s,p95 consecutive-step rate,375.811,80.0,35.763,20.0,1920,0.068324368,523.4,0.283
manual_review_accepted_marks_only_4_59,net_rate_px_s,net start-to-end rate,8.455,80.0,35.763,0.5,1920,3.8429e-05,930629.1,502.499
manual_review_accepted_marks_only_4_59,net_rate_px_s,net start-to-end rate,8.455,80.0,35.763,1.0,1920,7.6858e-05,465314.5,251.25
manual_review_accepted_marks_only_4_59,net_rate_px_s,net start-to-end rate,8.455,80.0,35.763,2.0,1920,0.000153716,232657.3,125.625
manual_review_accepted_marks_only_4_59,net_rate_px_s,net start-to-end rate,8.455,80.0,35.763,4.0,1920,0.000307432,116328.6,62.812
manual_review_accepted_marks_only_4_59,net_rate_px_s,net start-to-end rate,8.455,80.0,35.763,8.0,1920,0.000614865,58164.3,31.406
manual_review_accepted_marks_only_4_59,net_rate_px_s,net start-to-end rate,8.455,80.0,35.763,10.0,1920,0.000768581,46531.5,25.125
manual_review_accepted_marks_only_4_59,net_rate_px_s,net start-to-end rate,8.455,80.0,35.763,20.0,1920,0.001537162,23265.7,12.562
manual_review_accepted_marks_only_4_59,path_average_rate_px_s,path-length average rate,118.837,80.0,35.763,0.5,1920,0.000540129,66212.3,35.752
manual_review_accepted_marks_only_4_59,path_average_rate_px_s,path-length average rate,118.837,80.0,35.763,1.0,1920,0.001080259,33106.1,17.876
manual_review_accepted_marks_only_4_59,path_average_rate_px_s,path-length average rate,118.837,80.0,35.763,2.0,1920,0.002160518,16553.1,8.938
manual_review_accepted_marks_only_4_59,path_average_rate_px_s,path-length average rate,118.837,80.0,35.763,4.0,1920,0.004321035,8276.5,4.469
manual_review_accepted_marks_only_4_59,path_average_rate_px_s,path-length average rate,118.837,80.0,35.763,8.0,1920,0.008642071,4138.3,2.234
manual_review_accepted_marks_only_4_59,path_average_rate_px_s,path-length average rate,118.837,80.0,35.763,10.0,1920,0.010802588,3310.6,1.788
manual_review_accepted_marks_only_4_59,path_average_rate_px_s,path-length average rate,118.837,80.0,35.763,20.0,1920,0.021605176,1655.3,0.894
