track,rate_metric,rate_label,pixel_rate_px_s,assumed_full_frame_hfov_deg,assumed_slant_range_nm,source_width_px,implied_speed_mps,implied_speed_mph,implied_speed_kts
manual_review_track_all_4_59,net_rate_px_s,net start-to-end rate,8.455,0.5,1.0,1920,0.071,0.159,0.138
manual_review_track_all_4_59,net_rate_px_s,net start-to-end rate,8.455,0.5,2.0,1920,0.142,0.318,0.277
manual_review_track_all_4_59,net_rate_px_s,net start-to-end rate,8.455,0.5,5.0,1920,0.356,0.796,0.692
manual_review_track_all_4_59,net_rate_px_s,net start-to-end rate,8.455,0.5,10.0,1920,0.712,1.592,1.383
manual_review_track_all_4_59,net_rate_px_s,net start-to-end rate,8.455,0.5,20.0,1920,1.423,3.184,2.767
manual_review_track_all_4_59,net_rate_px_s,net start-to-end rate,8.455,0.5,50.0,1920,3.559,7.96,6.917
manual_review_track_all_4_59,net_rate_px_s,net start-to-end rate,8.455,0.5,100.0,1920,7.117,15.92,13.834
manual_review_track_all_4_59,net_rate_px_s,net start-to-end rate,8.455,1.0,1.0,1920,0.142,0.318,0.277
manual_review_track_all_4_59,net_rate_px_s,net start-to-end rate,8.455,1.0,2.0,1920,0.285,0.637,0.553
manual_review_track_all_4_59,net_rate_px_s,net start-to-end rate,8.455,1.0,5.0,1920,0.712,1.592,1.383
manual_review_track_all_4_59,net_rate_px_s,net start-to-end rate,8.455,1.0,10.0,1920,1.423,3.184,2.767
manual_review_track_all_4_59,net_rate_px_s,net start-to-end rate,8.455,1.0,20.0,1920,2.847,6.368,5.534
manual_review_track_all_4_59,net_rate_px_s,net start-to-end rate,8.455,1.0,50.0,1920,7.117,15.92,13.834
manual_review_track_all_4_59,net_rate_px_s,net start-to-end rate,8.455,1.0,100.0,1920,14.234,31.841,27.669
manual_review_track_all_4_59,net_rate_px_s,net start-to-end rate,8.455,2.0,1.0,1920,0.285,0.637,0.553
manual_review_track_all_4_59,net_rate_px_s,net start-to-end rate,8.455,2.0,2.0,1920,0.569,1.274,1.107
manual_review_track_all_4_59,net_rate_px_s,net start-to-end rate,8.455,2.0,5.0,1920,1.423,3.184,2.767
manual_review_track_all_4_59,net_rate_px_s,net start-to-end rate,8.455,2.0,10.0,1920,2.847,6.368,5.534
manual_review_track_all_4_59,net_rate_px_s,net start-to-end rate,8.455,2.0,20.0,1920,5.694,12.736,11.068
manual_review_track_all_4_59,net_rate_px_s,net start-to-end rate,8.455,2.0,50.0,1920,14.234,31.841,27.669
manual_review_track_all_4_59,net_rate_px_s,net start-to-end rate,8.455,2.0,100.0,1920,28.468,63.682,55.338
manual_review_track_all_4_59,net_rate_px_s,net start-to-end rate,8.455,4.0,1.0,1920,0.569,1.274,1.107
manual_review_track_all_4_59,net_rate_px_s,net start-to-end rate,8.455,4.0,2.0,1920,1.139,2.547,2.214
manual_review_track_all_4_59,net_rate_px_s,net start-to-end rate,8.455,4.0,5.0,1920,2.847,6.368,5.534
manual_review_track_all_4_59,net_rate_px_s,net start-to-end rate,8.455,4.0,10.0,1920,5.694,12.736,11.068
manual_review_track_all_4_59,net_rate_px_s,net start-to-end rate,8.455,4.0,20.0,1920,11.387,25.473,22.135
manual_review_track_all_4_59,net_rate_px_s,net start-to-end rate,8.455,4.0,50.0,1920,28.468,63.682,55.338
manual_review_track_all_4_59,net_rate_px_s,net start-to-end rate,8.455,4.0,100.0,1920,56.936,127.363,110.676
manual_review_track_all_4_59,net_rate_px_s,net start-to-end rate,8.455,8.0,1.0,1920,1.139,2.547,2.214
manual_review_track_all_4_59,net_rate_px_s,net start-to-end rate,8.455,8.0,2.0,1920,2.277,5.095,4.427
manual_review_track_all_4_59,net_rate_px_s,net start-to-end rate,8.455,8.0,5.0,1920,5.694,12.736,11.068
manual_review_track_all_4_59,net_rate_px_s,net start-to-end rate,8.455,8.0,10.0,1920,11.387,25.473,22.135
manual_review_track_all_4_59,net_rate_px_s,net start-to-end rate,8.455,8.0,20.0,1920,22.775,50.945,44.27
manual_review_track_all_4_59,net_rate_px_s,net start-to-end rate,8.455,8.0,50.0,1920,56.936,127.363,110.676
manual_review_track_all_4_59,net_rate_px_s,net start-to-end rate,8.455,8.0,100.0,1920,113.873,254.727,221.351
