"item","official_source","checked_url","live_status","metadata_or_pairing_result","analytic_treatment"
"D44","War.gov PDF","https://www.war.gov/medialink/ufo/release_1/dow-uap-d44-range-fouler-arabian-sea-october-2020.pdf","direct PDF accessible","Body preserves 10/15/20 14:18:39, one contact, round cold IR object over Gulf of Aden, 4.06NM slant range, 4.78KM ground range; filename says Arabian Sea while narrative says Gulf of Aden","Document-only Gulf of Aden / Arabian Sea range-fouler geometry case; no hard video pairing"
"D56","War.gov PDF","https://www.war.gov/medialink/ufo/release_1/dow-uap-d56-range-fouler-debrief-arabian-sea-august-2020.pdf","direct PDF accessible","Body preserves 08/24/20 00:04:30, three contacts, negative ES/radar/IFF, North Arabian Sea narrative; PDF title metadata displays DoW-UAP-D33","Document-only North Arabian Sea three-contact ambiguity lane; do not merge with Greece D33"
"D57","War.gov PDF","https://www.war.gov/medialink/ufo/release_1/dow-uap-d57-mission-report-gulf-of-aden-september-2020.pdf","direct PDF accessible","Body preserves 09/04/20 21:09:00, one contact, 168/277 direction/speed, round cold IR object over Gulf of Aden, slant range about 6.1?NM, ground range 8.81KM; PDF title metadata displays DoW-UAP-D34","Document-only Gulf of Aden IR geometry case paired analytically with D44; no hard video pairing"
"D58","War.gov PDF","https://www.war.gov/medialink/ufo/release_1/dow-uap-d58-range-fouler-debrief-na-october-2020.pdf","direct PDF accessible","Body preserves 10/27/20 01:12:21, night DCA, stable trackfile Yes, two contacts, radar lock, target-pod video, 16.9NM, two IR-significant contacts, red strobes, noise jamming; PDF title metadata displays DoW-UAP-D35","Highest-value document-only radar/target-pod/EW source-request case; do not merge with Greece D35; no public PR pairing"
"PR36","DVIDS video page","https://www.dvidshub.net/video/1006083/dow-uap-pr36-unresolved-uap-report-middle-east-may-2020","official page accessible","DVIDS explicitly names accompanying Range Fouler report DoW-UAP-D38 and filename DOD_111689030","Confirms D38/PR36 remains range-fouler hard report/video anchor"
"PR42","DVIDS video page","https://www.dvidshub.net/video/1006097/dow-uap-pr42-unresolved-uap-report-middle-east-2020","official page accessible","DVIDS states no oral/written reporter description; filename DOD_111689090; no D56/D58 pairing named","Standalone PR42 only; not D56/D58 support"
"PR44","DVIDS video page","https://www.dvidshub.net/video/1006104/dow-uap-pr44-unresolved-uap-report-middle-east-2020","official page accessible","DVIDS states no oral/written reporter description; filename DOD_111689115; no D44/D57/D58 pairing named","Standalone PR44 compact-return lane; do not call it local D44"
"PR47","DVIDS video page","https://www.dvidshub.net/video/1006107/dow-uap-pr47-unresolved-uap-report-indopacom-2023","official page accessible","DVIDS states no oral/written reporter description; filename DOD_111689142; no D58 pairing named","Standalone INDOPACOM formation-like lane; not D58"
"Exact-anchor searches","DVIDS/search","Search terms included DoW-UAP-D58, DOW-UAP-D58, 16.9NM, noise jamming, KINGPIN","no official DVIDS pairing surfaced","Searches surfaced War.gov PDF and non-official mirrors/indexes, not an official PR/video pairing","Maintain no-hard-public-video-pairing status for D58"

