"phase2_parent_record_id","phase2_parent_title","phase1_source_row","phase1_title","phase1_type","phase1_asset_url","phase1_local_source_path","bundle_role","notes"
"ODNI-UAP-D001","ODNI-UAP-D001, USPER Narrative, Senior USIC Official","160","FBI Photo A001","IMG","https://www.war.gov/medialink/ufo/release_1/fbi-photo-a1.png","I:\My Drive\UFO\fbi-photo-a1.png","still_image_A","Release 01 still image linked by Release 02 ODNI row"
"ODNI-UAP-D001","ODNI-UAP-D001, USPER Narrative, Senior USIC Official","161","FBI Photo A002","IMG","https://www.war.gov/medialink/ufo/release_1/fbi-photo-a2.png","I:\My Drive\UFO\fbi-photo-a2.png","still_image_A","Release 01 still image linked by Release 02 ODNI row"
"ODNI-UAP-D001","ODNI-UAP-D001, USPER Narrative, Senior USIC Official","162","FBI Photo A003","IMG","https://www.war.gov/medialink/ufo/release_1/fbi-photo-a3.png","I:\My Drive\UFO\fbi-photo-a3.png","still_image_A","Release 01 still image linked by Release 02 ODNI row"
"ODNI-UAP-D001","ODNI-UAP-D001, USPER Narrative, Senior USIC Official","163","FBI Photo A004","IMG","https://www.war.gov/medialink/ufo/release_1/fbi-photo-a4.png","I:\My Drive\UFO\fbi-photo-a4.png","still_image_A","Release 01 still image linked by Release 02 ODNI row"
"ODNI-UAP-D001","ODNI-UAP-D001, USPER Narrative, Senior USIC Official","164","FBI Photo A005","IMG","https://www.war.gov/medialink/ufo/release_1/fbi-photo-a5.png","","still_image_A","Release 01 still image linked by Release 02 ODNI row"
"ODNI-UAP-D001","ODNI-UAP-D001, USPER Narrative, Senior USIC Official","165","FBI Photo A006","IMG","https://www.war.gov/medialink/ufo/release_1/fbi-photo-a6.png","","still_image_A","Release 01 still image linked by Release 02 ODNI row"
"ODNI-UAP-D001","ODNI-UAP-D001, USPER Narrative, Senior USIC Official","166","FBI Photo A007","IMG","https://www.war.gov/medialink/ufo/release_1/fbi-photo-a7.png","","still_image_A","Release 01 still image linked by Release 02 ODNI row"
"ODNI-UAP-D001","ODNI-UAP-D001, USPER Narrative, Senior USIC Official","167","FBI Photo A008","IMG","https://www.war.gov/medialink/ufo/release_1/fbi-photo-a8.png","","still_image_A","Release 01 still image linked by Release 02 ODNI row"
"ODNI-UAP-D001","ODNI-UAP-D001, USPER Narrative, Senior USIC Official","168","FBI Photo B001","PDF","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b1.pdf","","still_image_B","Release 01 still image linked by Release 02 ODNI row"
"ODNI-UAP-D001","ODNI-UAP-D001, USPER Narrative, Senior USIC Official","169","FBI Photo B002","PDF","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b2.pdf","","still_image_B","Release 01 still image linked by Release 02 ODNI row"
"ODNI-UAP-D001","ODNI-UAP-D001, USPER Narrative, Senior USIC Official","170","FBI Photo B003","PDF","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b3.pdf","","still_image_B","Release 01 still image linked by Release 02 ODNI row"
"ODNI-UAP-D001","ODNI-UAP-D001, USPER Narrative, Senior USIC Official","171","FBI Photo B004","PDF","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b4.pdf","","still_image_B","Release 01 still image linked by Release 02 ODNI row"
"ODNI-UAP-D001","ODNI-UAP-D001, USPER Narrative, Senior USIC Official","172","FBI Photo B005","PDF","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b5.pdf","","still_image_B","Release 01 still image linked by Release 02 ODNI row"
"ODNI-UAP-D001","ODNI-UAP-D001, USPER Narrative, Senior USIC Official","173","FBI Photo B006","PDF","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b6.pdf","I:\My Drive\UFO\fbi-photo-b6.pdf","still_image_B","Release 01 still image linked by Release 02 ODNI row"
"ODNI-UAP-D001","ODNI-UAP-D001, USPER Narrative, Senior USIC Official","174","FBI Photo B007","PDF","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b7.pdf","","still_image_B","Release 01 still image linked by Release 02 ODNI row"
"ODNI-UAP-D001","ODNI-UAP-D001, USPER Narrative, Senior USIC Official","175","FBI Photo B008","PDF","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b8.pdf","","still_image_B","Release 01 still image linked by Release 02 ODNI row"
"ODNI-UAP-D001","ODNI-UAP-D001, USPER Narrative, Senior USIC Official","176","FBI Photo B009","PDF","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b9.pdf","","still_image_B","Release 01 still image linked by Release 02 ODNI row"
"ODNI-UAP-D001","ODNI-UAP-D001, USPER Narrative, Senior USIC Official","177","FBI Photo B010","PDF","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b10.pdf","","still_image_B","Release 01 still image linked by Release 02 ODNI row"
"ODNI-UAP-D001","ODNI-UAP-D001, USPER Narrative, Senior USIC Official","178","FBI Photo B011","PDF","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b11.pdf","","still_image_B","Release 01 still image linked by Release 02 ODNI row"
"ODNI-UAP-D001","ODNI-UAP-D001, USPER Narrative, Senior USIC Official","179","FBI Photo B012","PDF","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b12.pdf","","still_image_B","Release 01 still image linked by Release 02 ODNI row"
"ODNI-UAP-D001","ODNI-UAP-D001, USPER Narrative, Senior USIC Official","180","FBI Photo B013","PDF","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b13.pdf","","still_image_B","Release 01 still image linked by Release 02 ODNI row"
"ODNI-UAP-D001","ODNI-UAP-D001, USPER Narrative, Senior USIC Official","181","FBI Photo B014","PDF","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b14.pdf","","still_image_B","Release 01 still image linked by Release 02 ODNI row"
"ODNI-UAP-D001","ODNI-UAP-D001, USPER Narrative, Senior USIC Official","182","FBI Photo B015","PDF","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b15.pdf","","still_image_B","Release 01 still image linked by Release 02 ODNI row"
"ODNI-UAP-D001","ODNI-UAP-D001, USPER Narrative, Senior USIC Official","183","FBI Photo B016","PDF","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b16.pdf","","still_image_B","Release 01 still image linked by Release 02 ODNI row"
"ODNI-UAP-D001","ODNI-UAP-D001, USPER Narrative, Senior USIC Official","184","FBI Photo B017","PDF","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b17.pdf","","still_image_B","Release 01 still image linked by Release 02 ODNI row"
"ODNI-UAP-D001","ODNI-UAP-D001, USPER Narrative, Senior USIC Official","185","FBI Photo B018","PDF","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b18.pdf","","still_image_B","Release 01 still image linked by Release 02 ODNI row"
"ODNI-UAP-D001","ODNI-UAP-D001, USPER Narrative, Senior USIC Official","186","FBI Photo B019","PDF","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b19.pdf","","still_image_B","Release 01 still image linked by Release 02 ODNI row"
"ODNI-UAP-D001","ODNI-UAP-D001, USPER Narrative, Senior USIC Official","187","FBI Photo B020","PDF","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b20.pdf","","still_image_B","Release 01 still image linked by Release 02 ODNI row"
"ODNI-UAP-D001","ODNI-UAP-D001, USPER Narrative, Senior USIC Official","188","FBI Photo B021","PDF","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b21.pdf","","still_image_B","Release 01 still image linked by Release 02 ODNI row"
