local_video,duration_seconds,bytes,dvids_release,official_title,official_url,dvids_filename_match,accompanying_report_stated,local_report_content_status,review_status,notes
DOD_111688723.mp4,5,6814452,DOW-UAP-PR19,"DOW-UAP-PR19, Unresolved UAP Report, Middle East, May 2022",https://www.dvidshub.net/video/1006056/dow-uap-pr19-unresolved-uap-report-middle-east-may-2022,exact DOD_111688723,DoW-UAP-D10,DVIDS report label verified; local D10 text reconciled as possible-missile first event plus possible-bird/dust control context,reviewed,Bottom-third left-to-right contrast review complete; 5/162 high-confidence dense frames across 2.500s-2.633s; public MP4 does not validate possible-missile characterization or physical speed/range.
DOD_111688762.mp4,10,12752210,DOW-UAP-PR21,"DOW-UAP-PR21, Unresolved UAP Report, Iraq, May 2022",https://www.dvidshub.net/video/1006059/dow-uap-pr21-unresolved-uap-report-iraq-may-2022,exact DOD_111688762,DoW-UAP-D14,D14 full text contains both a no-positive-ID UAP line and a separate probable SU-27/35 observation; DVIDS report label verified,reviewed,Central two-area proxy review complete; 9/11 high-or-medium one-fps rows across 0.0s-8.0s; terrain/texture confounds remain and public MP4 does not validate SU-27/35 identity or physical kinematics.
DOD_111688775.mp4,14,3982264,DOW-UAP-PR22,"DOW-UAP-PR22, Unresolved UAP Report, Syria, July 2022",https://www.dvidshub.net/video/1006060/dow-uap-pr22-unresolved-uap-report-syria-july-2022,exact DOD_111688775,DoW-UAP-D16,D16 text reports a UAP event at 310239ZJUL22 moving north to south; public UAP kinematic fields are blank or redacted,reviewed,"Upper-field dark elongated contrast review complete; 8/15 high one-fps rows across 1.0s-8.0s; selected candidate x-shift is +31.386 px, so public MP4 does not validate right-to-left or north-to-south motion."
DOD_111688809.mp4,10,5300653,DOW-UAP-PR23,"DOW-UAP-PR23, Unresolved UAP Report, Iraq, December 2022",https://www.dvidshub.net/video/1006062/dow-uap-pr23-unresolved-uap-report-iraq-december-2022,exact DOD_111688809,DoW-UAP-D18,D18 text reports initial contact at 011620ZDEC22; one possible UAP/UAV flying west to east; observer did not follow it; DVIDS report label verified,reviewed,"Diagonal/upper-right exit residual review complete; 3/22 medium half-second rows across 4.5s-5.5s; supported residual path net 3.025 px, so public MP4 does not recover a clean moving track or validate UAP/UAV identity/kinematics."
DOD_111688816.mp4,43,27493716,DOW-UAP-PR26,"DOW-UAP-PR26, Unresolved UAP Report, United Arab Emirates, October 2023",https://www.dvidshub.net/video/1006063/dow-uap-pr26-unresolved-uap-report-united-arab-emirates-october-2023,exact DOD_111688816,DoW-UAP-D12,D12 text confirms DVIDS north-to-northeast movement language; DVIDS title/date/location differs from D12 PDF title/date/location,reviewed,Elongated left-field contrast review complete; 27/44 high-or-medium rows across 0.0s-16.0s and 20.0s-29.0s; public MP4 does not validate physical direction/speed.
DOD_111688825.mp4,297,155885289,DOW-UAP-PR27,"DOW-UAP-PR27, Unresolved UAP Report, United Arab Emirates, October 2023",https://www.dvidshub.net/video/1006067/dow-uap-pr27-unresolved-uap-report-united-arab-emirates-october-2023,exact DOD_111688825,DoW-UAP-D23,Hard local/official report-video pair already reconciled,reviewed,One-fps PR27/D23 review complete; public MP4 cannot distinguish which D23 UAP line is represented.
DOD_111688954.mp4,66,15992674,DOW-UAP-PR28,"DOW-UAP-PR28, Unresolved UAP Report, Greece, January 2024",https://www.dvidshub.net/video/1006073/dow-uap-pr28-unresolved-uap-report-greece-january-2024,exact DOD_111688954,DoW-UAP-D7,"DVIDS says D7, but local/War.gov D25 is the Greece/SWIR/434-knot content match; local/War.gov D7 is Arabian Gulf 2020 balloon-like/wind-track content",source-label discrepancy; reviewed,Treat video identity as hard PR28; treat written-report content as D25 pending official correction or explanation. PR28/D25 visual pass found 47/67 supported one-fps rows and 217/231 supported dense SWIR rows.
DOD_111688964.mp4,21,15445575,DOW-UAP-PR29,"DOW-UAP-PR29, Unresolved UAP Report, United Arab Emirates, June 2024",https://www.dvidshub.net/video/1006074/dow-uap-pr29-unresolved-uap-report-united-arab-emirates-june-2024,exact DOD_111688964,DoW-UAP-D8,"DVIDS says D8, but local/War.gov D27 is the UAE pole/bar/reflection content match; local/War.gov D8 is a separate Djibouti 2025 case",source-label discrepancy; reviewed,Existing PR29 reconciliation and high-rate visual review remain current.
DOD_111688970.mp4,5,644525,DOW-UAP-PR31,"DOW-UAP-PR31, Unresolved UAP Report, Syria, October 2024",https://www.dvidshub.net/video/1006076/dow-uap-pr31-unresolved-uap-report-syria-october-2024,exact DOD_111688970,DoW-UAP-D32,D32 text reports light/glare crossing FMV and top-of-feed halo effects; benign/no mission impact control context; DVIDS report label verified,reviewed-control,"PR31/D32 glare-control review complete; 2/26 medium 5-fps rows at 0.6s and 1.0s; tiny first-second top-edge warm-color artifact support, not object evidence."
DOD_111688997.mp4,6,1834659,DOW-UAP-PR32,"DOW-UAP-PR32, Unresolved UAP Report, Syria, October 2024",https://www.dvidshub.net/video/1006078/dow-uap-pr32-unresolved-uap-report-syria-october-2024,exact DOD_111688997,DoW-UAP-D32,D32 text reports light/glare crossing FMV and top-of-feed halo effects; benign/no mission impact control context; DVIDS report label verified,reviewed-control,"PR32/D32 glare-control review complete; 6/34 medium 5-fps rows in/near the 2s-4s top-edge halo window; panning/glare residual support, not object evidence."
DOD_111689005.mp4,5,426911,DOW-UAP-PR33,"DOW-UAP-PR33, Unresolved UAP Report, Syria, October 2024",https://www.dvidshub.net/video/1006079/dow-uap-pr33-unresolved-uap-report-syria-october-2024,exact DOD_111689005,DoW-UAP-D32,D32 text reports light/glare crossing FMV and top-of-feed halo effects; benign/no mission impact control context; DVIDS report label verified,reviewed-control,"PR33/D32 glare-control review complete; 14/26 high 5-fps rows from 0.0s-2.6s; strong orange-overlay artifact support, not object evidence."
DOD_111689011.mp4,177,198248609,DOW-UAP-PR34,"DOW-UAP-PR34, Unresolved UAP Report, Greece, October 2023",https://www.dvidshub.net/video/1006080/dow-uap-pr34-unresolved-uap-report-greece-october-2023,exact DOD_111689011,DoW-UAP-D33,Hard local/official report-video pair already reconciled,reviewed,"Phase review, manual track, and geometry feasibility complete; public MP4 supports image-plane turns but not physical speed validation."
DOD_111689022-1920x1080-9000k.mp4,24,6625380,DOW-UAP-PR35,"DOW-UAP-PR35, Unresolved UAP Report, Greece, October 2023",https://www.dvidshub.net/video/1006082/dow-uap-pr35-unresolved-uap-report-greece-october-2023,stem match DOD_111689022; local file is suffixed export,DoW-UAP-D35,Hard local/official report-video pair with filename-suffix caveat,reviewed,Useful for release/report completeness and phase alignment; weak for kinematics because of cloud/shoreline/land-transition confounds.
DOD_111689030.mp4,137,142686223,DOW-UAP-PR36,"DOW-UAP-PR36, Unresolved UAP Report, Middle East, May 2020",https://www.dvidshub.net/video/1006083/dow-uap-pr36-unresolved-uap-report-middle-east-may-2020,exact DOD_111689030,DoW-UAP-D38,Hard local/official report-video pair already reconciled,reviewed,Current strongest report-video anchor; D38 anchor extraction and manual validation complete.
DOD_111689044.mp4,9,8543893,DOW-UAP-PR37,"DOW-UAP-PR37, Unresolved UAP Report, Middle East, 2020",https://www.dvidshub.net/video/1006087/dow-uap-pr37-unresolved-uap-report-middle-east-2020,exact DOD_111689044,none stated,No D-report pairing stated by DVIDS,reviewed,Bottom-to-top left-side event-lane review complete; 15/99 high rows and 15/21 high-or-medium event-window rows across 6.4s-7.8s; no local D report pairing or physical kinematic validation.
DOD_111689051.mp4,106,30707537,DOW-UAP-PR38,"DOW-UAP-PR38, Unresolved UAP Report, Middle East, 2013",https://www.dvidshub.net/video/1006088/dow-uap-pr38-unresolved-uap-report-middle-east-2013,exact DOD_111689051,none stated,No D-report pairing stated by DVIDS,reviewed,Star-like contrast / trail review complete; supports DVIDS visual description with 90/107 high-or-medium one-fps rows.
DOD_111689057.mp4,5,1708179,DOW-UAP-PR39,"DOW-UAP-PR39, Unresolved UAP Report, Middle East, 2020",https://www.dvidshub.net/video/1006089/dow-uap-pr39-unresolved-uap-report-middle-east-2020,exact DOD_111689057,none stated,No D-report pairing stated by DVIDS,reviewed,Faint lower-right corner / bottom-edge exit review complete; 10/60 high-or-medium full-clip rows and 10/21 event-window rows across 3.6s-4.5s; no local D report pairing or physical kinematic validation.
DOD_111689082.mp4,63,29392078,DOW-UAP-PR40,"DOW-UAP-PR40, Unresolved UAP Report, Middle East, 2020",https://www.dvidshub.net/video/1006093/dow-uap-pr40-unresolved-uap-report-middle-east-2020,exact DOD_111689082,none stated,No D-report pairing stated by DVIDS,reviewed,"Top-third small thermal signature review complete; 31/64 high-or-medium rows, including 5 annotation-guided rows and 19 post-resume top-third compact-contrast rows; later candidate path is intermittent/texture-confounded."
DOD_111689083.mp4,94,116787147,DOW-UAP-PR41,"DOW-UAP-PR41, Unresolved UAP Report, Middle East, 2020",https://www.dvidshub.net/video/1006094/dow-uap-pr41-unresolved-uap-report-middle-east-2020,exact DOD_111689083,none stated,No D-report pairing stated by DVIDS,reviewed,Intermittent one-fps compact-contrast review complete; terrain-background confounds remain.
DOD_111689090.mp4,293,274712045,DOW-UAP-PR42,"DOW-UAP-PR42, Unresolved UAP Report, Middle East, 2020",https://www.dvidshub.net/video/1006097/dow-uap-pr42-unresolved-uap-report-middle-east-2020,exact DOD_111689090,none stated,No D-report pairing stated by DVIDS,reviewed,High-rate/point-count review downgraded multi-contact interpretations; treat as standalone PR42.
