"release_tag","record_id","title","type","agency","asset_filename","asset_url","release_date","local_exact_filename_match","local_bytes","local_source_path","gap_reason"
"release-01","","255_413270_UFO's_and_Defense_What_Should_we_Prepare_For","PDF","NASA","255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf","https://www.war.gov/medialink/ufo/release_1/255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf","5/8/26","no","","","no exact local filename match"
"release-01","","38_143685_box7_Incident_Summaries_1-100","PDF","Department of War","38_143685_box7_incident_summaries_1-100.pdf","https://www.war.gov/medialink/ufo/release_1/38_143685_box7_incident_summaries_1-100.pdf","5/8/26","no","","","no exact local filename match"
"release-01","","59_64634_711.5612[7-2852","PDF","Department of State","59_64634_711.5612[7-2852.pdf","https://www.war.gov/medialink/ufo/release_1/59_64634_711.5612[7-2852.pdf","5/8/26","no","","","no exact local filename match"
"release-01","","65_HS1-834228961_62-HQ-83894_Serial_153","PDF","FBI","65_hs1-834228961_62-hq-83894_serial_153.pdf","https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_serial_153.pdf","5/8/26","no","","","no exact local filename match"
"release-01","","FBI Photo A005","IMG","FBI","fbi-photo-a5.png","https://www.war.gov/medialink/ufo/release_1/fbi-photo-a5.png","5/8/26","no","","","no exact local filename match"
"release-01","","FBI Photo A006","IMG","FBI","fbi-photo-a6.png","https://www.war.gov/medialink/ufo/release_1/fbi-photo-a6.png","5/8/26","no","","","no exact local filename match"
"release-01","","FBI Photo A007","IMG","FBI","fbi-photo-a7.png","https://www.war.gov/medialink/ufo/release_1/fbi-photo-a7.png","5/8/26","no","","","no exact local filename match"
"release-01","","FBI Photo A008","IMG","FBI","fbi-photo-a8.png","https://www.war.gov/medialink/ufo/release_1/fbi-photo-a8.png","5/8/26","no","","","no exact local filename match"
"release-01","","FBI Photo B001","PDF","FBI","fbi-photo-b1.pdf","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b1.pdf","5/8/26","no","","","no exact local filename match"
"release-01","","FBI Photo B010","PDF","FBI","fbi-photo-b10.pdf","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b10.pdf","5/8/26","no","","","no exact local filename match"
"release-01","","FBI Photo B011","PDF","FBI","fbi-photo-b11.pdf","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b11.pdf","5/8/26","no","","","no exact local filename match"
"release-01","","FBI Photo B012","PDF","FBI","fbi-photo-b12.pdf","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b12.pdf","5/8/26","no","","","no exact local filename match"
"release-01","","FBI Photo B013","PDF","FBI","fbi-photo-b13.pdf","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b13.pdf","5/8/26","no","","","no exact local filename match"
"release-01","","FBI Photo B014","PDF","FBI","fbi-photo-b14.pdf","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b14.pdf","5/8/26","no","","","no exact local filename match"
"release-01","","FBI Photo B015","PDF","FBI","fbi-photo-b15.pdf","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b15.pdf","5/8/26","no","","","no exact local filename match"
"release-01","","FBI Photo B016","PDF","FBI","fbi-photo-b16.pdf","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b16.pdf","5/8/26","no","","","no exact local filename match"
"release-01","","FBI Photo B017","PDF","FBI","fbi-photo-b17.pdf","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b17.pdf","5/8/26","no","","","no exact local filename match"
"release-01","","FBI Photo B018","PDF","FBI","fbi-photo-b18.pdf","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b18.pdf","5/8/26","no","","","no exact local filename match"
"release-01","","FBI Photo B019","PDF","FBI","fbi-photo-b19.pdf","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b19.pdf","5/8/26","no","","","no exact local filename match"
"release-01","","FBI Photo B002","PDF","FBI","fbi-photo-b2.pdf","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b2.pdf","5/8/26","no","","","no exact local filename match"
"release-01","","FBI Photo B020","PDF","FBI","fbi-photo-b20.pdf","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b20.pdf","5/8/26","no","","","no exact local filename match"
"release-01","","FBI Photo B021","PDF","FBI","fbi-photo-b21.pdf","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b21.pdf","5/8/26","no","","","no exact local filename match"
"release-01","","FBI Photo B022","PDF","FBI","fbi-photo-b22.pdf","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b22.pdf","5/8/26","no","","","no exact local filename match"
"release-01","","FBI Photo B023","PDF","FBI","fbi-photo-b23.pdf","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b23.pdf","5/8/26","no","","","no exact local filename match"
"release-01","","FBI Photo B024","PDF","FBI","fbi-photo-b24.pdf","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b24.pdf","5/8/26","no","","","no exact local filename match"
"release-01","","FBI Photo B003","PDF","FBI","fbi-photo-b3.pdf","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b3.pdf","5/8/26","no","","","no exact local filename match"
"release-01","","FBI Photo B004","PDF","FBI","fbi-photo-b4.pdf","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b4.pdf","5/8/26","no","","","no exact local filename match"
"release-01","","FBI Photo B005","PDF","FBI","fbi-photo-b5.pdf","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b5.pdf","5/8/26","no","","","no exact local filename match"
"release-01","","FBI Photo B007","PDF","FBI","fbi-photo-b7.pdf","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b7.pdf","5/8/26","no","","","no exact local filename match"
"release-01","","FBI Photo B008","PDF","FBI","fbi-photo-b8.pdf","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b8.pdf","5/8/26","no","","","no exact local filename match"
"release-01","","FBI Photo B009","PDF","FBI","fbi-photo-b9.pdf","https://www.war.gov/medialink/ufo/release_1/fbi-photo-b9.pdf","5/8/26","no","","","no exact local filename match"
"release-01","DOW-UAP-D020","DOW-UAP-D020, Mission Report, Iraq, 2023","PDF","Department of War","dow-uap-d20-mission-report-iraq-2023.pdf","https://www.war.gov/medialink/ufo/release_1/dow-uap-d20-mission-report-iraq-2023.pdf","5/8/26","no","","","no exact local filename match"
"release-02","CIA-UAP-D001","CIA-UAP-D001, Intelligence Information Report, USSR, 1973","PDF","Central Intelligence Agency","CIA-UAP-D001_Intelligence_Information_Report_USSR_1973.pdf","https://www.war.gov/medialink/ufo/052226/release_02/documents/CIA-UAP-D001_Intelligence_Information_Report_USSR_1973.pdf","5/22/26","no","","","no exact local filename match"
"release-02","DOE-UAP-D001","DOE-UAP-D001, Enhanced PANTEX Imagery","PDF","Department of Energy","DOE-UAP-D001_PANTEX_Image.pdf","https://www.war.gov/medialink/ufo/052226/release_02/documents/DOE-UAP-D001_PANTEX_Image.pdf","5/22/26","no","","","no exact local filename match"
"release-02","DOE-UAP-D002","DOE-UAP-D002, James Tuck Correspondence, 1970s","PDF","Department of Energy","DOE-UAP-D002_JamesTuck_Correspondence.pdf","https://www.war.gov/medialink/ufo/052226/release_02/documents/DOE-UAP-D002_JamesTuck_Correspondence.pdf","5/22/26","no","","","no exact local filename match"
"release-02","DOE-UAP-D003","DOE-UAP-D003, Pajarito Astronomers Invitation, 1986","PDF","Department of Energy","DOE-UAP-D003_Pajarito_Astronomers.pdf","https://www.war.gov/medialink/ufo/052226/release_02/documents/DOE-UAP-D003_Pajarito_Astronomers.pdf","5/22/26","no","","","no exact local filename match"
"release-02","DOW-UAP-D017","DOW-UAP-D017, UAP Reported at Sandia Base, 1948-1950","PDF","Department of War","DOW-UAP-D017_General_Correspondence_Of_Sandia.pdf","https://www.war.gov/medialink/ufo/052226/release_02/documents/DOW-UAP-D017_General_Correspondence_Of_Sandia.pdf","5/22/26","no","","","no exact local filename match"
"release-02","ODNI-UAP-D001","ODNI-UAP-D001, USPER Narrative, Senior USIC Official","PDF","Office of the Director of National Intelligence","ODNI-UAP-D001_USPER_Narrative_Senior_USIC.pdf","https://www.war.gov/medialink/ufo/052226/release_02/documents/ODNI-UAP-D001_USPER_Narrative_Senior_USIC.pdf","5/22/26","no","","","no exact local filename match"
