"duplicate_size_count","bytes","name","sha256","source_path"
"2","644525","DOD_111688970 (1).mp4","8F8B4857EF6E4F46F54A90F15877C793C6CDB0D94B0C4F5DE28868BE0004DFD0","source-files-not-included/DOD_111688970 (1).mp4"
"2","644525","DOD_111688970.mp4","8F8B4857EF6E4F46F54A90F15877C793C6CDB0D94B0C4F5DE28868BE0004DFD0","source-files-not-included/DOD_111688970.mp4"
"2","1324277","dow-uap-d23-mission-report-united-arab-emirates-october-2023 (1).pdf","EA1CD5296143F378DB533066B524C32C1ECFBFD43D74EC6BE7D832C20FA271BB","source-files-not-included/dow-uap-d23-mission-report-united-arab-emirates-october-2023 (1).pdf"
"2","1324277","dow-uap-d23-mission-report-united-arab-emirates-october-2023.pdf","EA1CD5296143F378DB533066B524C32C1ECFBFD43D74EC6BE7D832C20FA271BB","source-files-not-included/dow-uap-d23-mission-report-united-arab-emirates-october-2023.pdf"
"2","1598931","59_214434_sp_16_[7.18.1963].pdf","ABA3EC3B8EF0240364308CF046CCBFCD252C5A5D7EF470D696B72C1F41B2502D","source-files-not-included/59_214434_sp_16_[7.18.1963].pdf"
"2","1598931","59_214434_sp_16_7.18.1963.pdf","ABA3EC3B8EF0240364308CF046CCBFCD252C5A5D7EF470D696B72C1F41B2502D","source-files-not-included/59_214434_sp_16_7.18.1963.pdf"
"2","3005135","DOD_111689133 (1).mp4","34FFB5AE5FE4F85871D41579767E4E37BC5C8CBBA47FB63A40B8A4E4F39D613D","source-files-not-included/DOD_111689133 (1).mp4"
"2","3005135","DOD_111689133.mp4","34FFB5AE5FE4F85871D41579767E4E37BC5C8CBBA47FB63A40B8A4E4F39D613D","source-files-not-included/DOD_111689133.mp4"
"3","6625380","DOD_111689022-1920x1080-9000k (1).mp4","05FD161A5155DAF49E14E99C517CDB1B35E7491611F448DDB026D9FA0DF63D42","source-files-not-included/DOD_111689022-1920x1080-9000k (1).mp4"
"3","6625380","DOD_111689022-1920x1080-9000k (2).mp4","05FD161A5155DAF49E14E99C517CDB1B35E7491611F448DDB026D9FA0DF63D42","source-files-not-included/DOD_111689022-1920x1080-9000k (2).mp4"
"3","6625380","DOD_111689022-1920x1080-9000k.mp4","05FD161A5155DAF49E14E99C517CDB1B35E7491611F448DDB026D9FA0DF63D42","source-files-not-included/DOD_111689022-1920x1080-9000k.mp4"
"2","8543893","DOD_111689044 (1).mp4","5D60CC99EDA2223D7509C9AC801AA1B66200AC24572256D306B1CDB754C0AD8A","source-files-not-included/DOD_111689044 (1).mp4"
"2","8543893","DOD_111689044.mp4","5D60CC99EDA2223D7509C9AC801AA1B66200AC24572256D306B1CDB754C0AD8A","source-files-not-included/DOD_111689044.mp4"
"2","9089058","DOD_111689759 (1).mp4","1847CFC831B0A2299B070C958234A1679EBC719489A0EABE032B667EAC65588F","source-files-not-included/DOD_111689759 (1).mp4"
"2","9089058","DOD_111689759.mp4","1847CFC831B0A2299B070C958234A1679EBC719489A0EABE032B667EAC65588F","source-files-not-included/DOD_111689759.mp4"
"2","14908599","DOD_111689123 (1).mp4","30D4ECC8AF56475042A65E52E5910BE9D95E3CB08E397293FB52885BA23E9B6E","source-files-not-included/DOD_111689123 (1).mp4"
"2","14908599","DOD_111689123.mp4","30D4ECC8AF56475042A65E52E5910BE9D95E3CB08E397293FB52885BA23E9B6E","source-files-not-included/DOD_111689123.mp4"
"2","27493716","DOD_111688816 (1).mp4","46FDEEC860CDAA6B27B6FCC51D0B7E045347D494832CDC65F2038E702EAA58AA","source-files-not-included/DOD_111688816 (1).mp4"
"2","27493716","DOD_111688816.mp4","46FDEEC860CDAA6B27B6FCC51D0B7E045347D494832CDC65F2038E702EAA58AA","source-files-not-included/DOD_111688816.mp4"
"2","30707537","DOD_111689051 (1).mp4","BD3F5269C3F123B90DB76C9496F8DDBB145184C66B0C11CD3CFD9E54F5B683B6","source-files-not-included/DOD_111689051 (1).mp4"
"2","30707537","DOD_111689051.mp4","BD3F5269C3F123B90DB76C9496F8DDBB145184C66B0C11CD3CFD9E54F5B683B6","source-files-not-included/DOD_111689051.mp4"
"2","86775527","DOD_111689115 (1).mp4","9DB22223A0384D0439235FE6583CB5BE5E7FD38F0D040FEC8402BA2EDBEDD883","source-files-not-included/DOD_111689115 (1).mp4"
"2","86775527","DOD_111689115.mp4","9DB22223A0384D0439235FE6583CB5BE5E7FD38F0D040FEC8402BA2EDBEDD883","source-files-not-included/DOD_111689115.mp4"
"3","116761162","DOD_111689167 (1).mp4","BD1F002F45052B12EE067455A0A4B589B0BDAED40D75874D8DA8FBF64EAE8DD1","source-files-not-included/DOD_111689167 (1).mp4"
"3","116761162","DOD_111689167 (2).mp4","BD1F002F45052B12EE067455A0A4B589B0BDAED40D75874D8DA8FBF64EAE8DD1","source-files-not-included/DOD_111689167 (2).mp4"
"3","116761162","DOD_111689167.mp4","BD1F002F45052B12EE067455A0A4B589B0BDAED40D75874D8DA8FBF64EAE8DD1","source-files-not-included/DOD_111689167.mp4"
"2","274712045","DOD_111689090 (1).mp4","049CE64E1DCD06C0B054E74C196D339B8FD2778091D82FF9D230E5C83253C0D6","source-files-not-included/DOD_111689090 (1).mp4"
"2","274712045","DOD_111689090.mp4","049CE64E1DCD06C0B054E74C196D339B8FD2778091D82FF9D230E5C83253C0D6","source-files-not-included/DOD_111689090.mp4"
