"canonical_name","selected_name","bytes","mb","length","duration_seconds","frame_width","frame_height","frame_rate","total_bitrate","source_path"
"DOD_111688723.mp4","DOD_111688723.mp4","6814452","6.5","00:00:05","5","1920","1080","‎30.00 frames/second","‎10885kbps","source-files-not-included/DOD_111688723.mp4"
"DOD_111688762.mp4","DOD_111688762.mp4","12752210","12.16","00:00:10","10","1920","1080","‎30.00 frames/second","‎10190kbps","source-files-not-included/DOD_111688762.mp4"
"DOD_111688775.mp4","DOD_111688775.mp4","3982264","3.8","00:00:14","14","1920","1080","‎30.00 frames/second","‎2264kbps","source-files-not-included/DOD_111688775.mp4"
"DOD_111688809.mp4","DOD_111688809.mp4","5300653","5.06","00:00:10","10","1920","1080","‎30.00 frames/second","‎3843kbps","source-files-not-included/DOD_111688809.mp4"
"DOD_111688816.mp4","DOD_111688816.mp4","27493716","26.22","00:00:43","43","1920","1080","‎30.00 frames/second","‎5106kbps","source-files-not-included/DOD_111688816.mp4"
"DOD_111688825.mp4","DOD_111688825.mp4","155885289","148.66","00:04:57","297","1920","1080","‎30.00 frames/second","‎4191kbps","source-files-not-included/DOD_111688825.mp4"
"DOD_111688954.mp4","DOD_111688954.mp4","15992674","15.25","00:01:06","66","1920","1080","‎30.00 frames/second","‎1930kbps","source-files-not-included/DOD_111688954.mp4"
"DOD_111688964.mp4","DOD_111688964.mp4","15445575","14.73","00:00:21","21","1920","1080","‎30.00 frames/second","‎5607kbps","source-files-not-included/DOD_111688964.mp4"
"DOD_111688970.mp4","DOD_111688970.mp4","644525","0.61","00:00:05","5","1920","1080","‎30.00 frames/second","‎1013kbps","source-files-not-included/DOD_111688970.mp4"
"DOD_111688997.mp4","DOD_111688997.mp4","1834659","1.75","00:00:06","6","1920","1080","‎30.00 frames/second","‎2082kbps","source-files-not-included/DOD_111688997.mp4"
"DOD_111689005.mp4","DOD_111689005.mp4","426911","0.41","00:00:05","5","1920","1080","‎30.00 frames/second","‎665kbps","source-files-not-included/DOD_111689005.mp4"
"DOD_111689011.mp4","DOD_111689011.mp4","198248609","189.06","00:02:57","177","1920","1080","‎30.00 frames/second","‎8952kbps","source-files-not-included/DOD_111689011.mp4"
"DOD_111689022-1920x1080-9000k.mp4","DOD_111689022-1920x1080-9000k.mp4","6625380","6.32","00:00:24","24","1920","1080","‎10.00 frames/second","‎2117kbps","source-files-not-included/DOD_111689022-1920x1080-9000k.mp4"
"DOD_111689030.mp4","DOD_111689030.mp4","142686223","136.08","00:02:17","137","1920","1080","‎30.00 frames/second","‎8322kbps","source-files-not-included/DOD_111689030.mp4"
"DOD_111689044.mp4","DOD_111689044.mp4","8543893","8.15","00:00:09","9","1920","1080","‎30.00 frames/second","‎6822kbps","source-files-not-included/DOD_111689044.mp4"
"DOD_111689051.mp4","DOD_111689051.mp4","30707537","29.28","00:01:46","106","1920","1080","‎30.00 frames/second","‎2309kbps","source-files-not-included/DOD_111689051.mp4"
"DOD_111689057.mp4","DOD_111689057.mp4","1708179","1.63","00:00:05","5","1920","1080","‎30.00 frames/second","‎2260kbps","source-files-not-included/DOD_111689057.mp4"
"DOD_111689082.mp4","DOD_111689082.mp4","29392078","28.03","00:01:03","63","1920","1080","‎30.00 frames/second","‎3724kbps","source-files-not-included/DOD_111689082.mp4"
"DOD_111689083.mp4","DOD_111689083.mp4","116787147","111.38","00:01:34","94","1920","1080","‎30.00 frames/second","‎9826kbps","source-files-not-included/DOD_111689083.mp4"
"DOD_111689090.mp4","DOD_111689090.mp4","274712045","261.99","00:04:53","293","1920","1080","‎30.30 frames/second","‎7492kbps","source-files-not-included/DOD_111689090.mp4"
"DOD_111689115.mp4","DOD_111689115.mp4","86775527","82.76","00:05:12","312","1920","1080","‎30.00 frames/second","‎2216kbps","source-files-not-included/DOD_111689115.mp4"
"DOD_111689123.mp4","DOD_111689123.mp4","14908599","14.22","00:00:58","58","1920","1080","‎30.00 frames/second","‎2013kbps","source-files-not-included/DOD_111689123.mp4"
"DOD_111689133.mp4","DOD_111689133.mp4","3005135","2.87","00:00:09","9","1920","1080","‎30.00 frames/second","‎2391kbps","source-files-not-included/DOD_111689133.mp4"
"DOD_111689142.mp4","DOD_111689142.mp4","15963093","15.22","00:01:59","119","1920","1080","‎30.00 frames/second","‎1056kbps","source-files-not-included/DOD_111689142.mp4"
"DOD_111689167.mp4","DOD_111689167.mp4","116761162","111.35","00:01:39","99","1920","1080","‎30.00 frames/second","‎9427kbps","source-files-not-included/DOD_111689167.mp4"
"DOD_111689168.mp4","DOD_111689168.mp4","17266193","16.47","00:01:49","109","1920","1080","‎30.00 frames/second","‎1259kbps","source-files-not-included/DOD_111689168.mp4"
"DOD_111689232.mp4","DOD_111689232.mp4","19126276","18.24","00:06:11","371","1920","1080","‎29.97 frames/second","‎402kbps","source-files-not-included/DOD_111689232.mp4"
"DOD_111689759.mp4","DOD_111689759.mp4","9089058","8.67","00:00:11","11","1920","1080","‎29.97 frames/second","‎6048kbps","source-files-not-included/DOD_111689759.mp4"
