video,dense_frame_index,approx_second,source_frame_index,object_x_full_frame,object_y_full_frame,dx_from_frame_center,dy_from_frame_center,predicted_x_from_manual_seed,predicted_y_from_manual_seed,refinement_delta_px,object_bbox_w,object_bbox_h,object_component_area,object_max_luma,object_mean_luma,nearest_colored_overlay_px,overlay_relation,review_confidence,nearest_seed_quality,manual_seed_match,manual_control_delta_px,phase,nearest_seed_caveat,marking_basis,raw_frame_path,annotated_frame_path,zoom_patch_path
DOD_111689030.mp4,250,50.0,1500,627.3,795.3,-332.7,255.3,627.0,795.0,0.4,10,12,100,255,239.67,5.75,near colored overlay,medium,medium,yes,0.4,primary sustained DVIDS in-FOV interval,"accepted, but coordinate confidence reduced by nearby overlay/redaction edge, zoom texture, or partial field context",manual-seed interpolation plus local bright-feature refinement,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/raw-frames/frame_0250.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/annotated-frames/frame_0250_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/object-zoom-patches/frame_0250_patch.jpg
DOD_111689030.mp4,251,50.2,1506,714.5,755.5,-245.5,215.5,666.6,763.4,48.55,2,2,4,174,152.25,4.53,intersects colored overlay,low,medium,,,primary sustained DVIDS in-FOV interval,"accepted, but coordinate confidence reduced by nearby overlay/redaction edge, zoom texture, or partial field context",manual-seed interpolation plus local bright-feature refinement,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/raw-frames/frame_0251.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/annotated-frames/frame_0251_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/object-zoom-patches/frame_0251_patch.jpg
DOD_111689030.mp4,252,50.4,1512,703.7,728.5,-256.3,188.5,706.2,731.8,4.14,6,13,67,243,214.36,1.36,intersects colored overlay,medium,medium,,,primary sustained DVIDS in-FOV interval,"accepted, but coordinate confidence reduced by nearby overlay/redaction edge, zoom texture, or partial field context",manual-seed interpolation plus local bright-feature refinement,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/raw-frames/frame_0252.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/annotated-frames/frame_0252_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/object-zoom-patches/frame_0252_patch.jpg
DOD_111689030.mp4,253,50.6,1518,753.8,691.9,-206.2,151.9,745.8,700.2,11.53,22,15,185,255,219.19,45.78,separate from colored overlay,high,high,,,primary sustained DVIDS in-FOV interval,accepted; compact bright object/contrast is visible in raw crop and zoom patch,manual-seed interpolation plus local bright-feature refinement,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/raw-frames/frame_0253.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/annotated-frames/frame_0253_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/object-zoom-patches/frame_0253_patch.jpg
DOD_111689030.mp4,254,50.8,1524,780.6,672.0,-179.4,132.0,785.4,668.6,5.87,17,18,202,255,226.67,72.01,separate from colored overlay,high,high,,,primary sustained DVIDS in-FOV interval,accepted; compact bright object/contrast is visible in raw crop and zoom patch,manual-seed interpolation plus local bright-feature refinement,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/raw-frames/frame_0254.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/annotated-frames/frame_0254_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/object-zoom-patches/frame_0254_patch.jpg
DOD_111689030.mp4,255,51.0,1530,825.1,637.0,-134.9,97.0,825.0,637.0,0.05,14,16,165,255,223.81,82.55,separate from colored overlay,high,high,yes,0.05,primary sustained DVIDS in-FOV interval,accepted; compact bright object/contrast is visible in raw crop and zoom patch,manual-seed interpolation plus local bright-feature refinement,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/raw-frames/frame_0255.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/annotated-frames/frame_0255_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/object-zoom-patches/frame_0255_patch.jpg
DOD_111689030.mp4,256,51.2,1536,864.0,603.3,-96.0,63.3,827.4,606.6,36.78,15,22,206,255,224.45,45.26,separate from colored overlay,medium,high,,,primary sustained DVIDS in-FOV interval,accepted; compact bright object/contrast is visible in raw crop and zoom patch,manual-seed interpolation plus local bright-feature refinement,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/raw-frames/frame_0256.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/annotated-frames/frame_0256_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/object-zoom-patches/frame_0256_patch.jpg
DOD_111689030.mp4,257,51.4,1542,886.2,578.8,-73.8,38.8,829.8,576.2,56.47,20,17,206,255,227.21,18.79,near colored overlay,low,high,,,primary sustained DVIDS in-FOV interval,accepted; compact bright object/contrast is visible in raw crop and zoom patch,manual-seed interpolation plus local bright-feature refinement,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/raw-frames/frame_0257.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/annotated-frames/frame_0257_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/object-zoom-patches/frame_0257_patch.jpg
DOD_111689030.mp4,258,51.6,1548,892.4,546.0,-67.6,6.0,832.2,545.8,60.24,14,18,183,255,227.5,6.68,near colored overlay,low,high,,,primary sustained DVIDS in-FOV interval,accepted; compact bright object/contrast is visible in raw crop and zoom patch,manual-seed interpolation plus local bright-feature refinement,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/raw-frames/frame_0258.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/annotated-frames/frame_0258_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/object-zoom-patches/frame_0258_patch.jpg
DOD_111689030.mp4,259,51.8,1554,869.0,520.6,-91.0,-19.4,834.6,515.4,34.8,17,16,162,255,224.23,27.28,near colored overlay,medium,high,,,primary sustained DVIDS in-FOV interval,accepted; compact bright object/contrast is visible in raw crop and zoom patch,manual-seed interpolation plus local bright-feature refinement,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/raw-frames/frame_0259.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/annotated-frames/frame_0259_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/object-zoom-patches/frame_0259_patch.jpg
DOD_111689030.mp4,260,52.0,1560,833.9,484.4,-126.1,-55.6,837.0,485.0,3.17,15,17,185,255,227.27,58.58,separate from colored overlay,high,high,yes,3.17,primary sustained DVIDS in-FOV interval,accepted; compact bright object/contrast is visible in raw crop and zoom patch,manual-seed interpolation plus local bright-feature refinement,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/raw-frames/frame_0260.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/annotated-frames/frame_0260_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/object-zoom-patches/frame_0260_patch.jpg
DOD_111689030.mp4,261,52.2,1566,813.0,460.8,-147.0,-79.2,812.4,458.0,2.88,14,18,166,255,231.19,80.32,separate from colored overlay,high,high,,,primary sustained DVIDS in-FOV interval,accepted; compact bright object/contrast is visible in raw crop and zoom patch,manual-seed interpolation plus local bright-feature refinement,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/raw-frames/frame_0261.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/annotated-frames/frame_0261_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/object-zoom-patches/frame_0261_patch.jpg
DOD_111689030.mp4,262,52.4,1572,786.1,428.1,-173.9,-111.9,787.8,431.0,3.36,16,16,170,255,232.58,74.38,separate from colored overlay,high,high,,,primary sustained DVIDS in-FOV interval,accepted; compact bright object/contrast is visible in raw crop and zoom patch,manual-seed interpolation plus local bright-feature refinement,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/raw-frames/frame_0262.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/annotated-frames/frame_0262_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/object-zoom-patches/frame_0262_patch.jpg
