sample_second,source_frame_index,detector_best_x,detector_best_y,detector_confidence,raw_crop_path,candidate_patch_path
50.0,1500,627,795,strong,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/raw-onefps/t0050_raw.jpg,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/candidate-patches-onefps/t0050_patch.jpg
51.0,1530,825,637,strong,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/raw-onefps/t0051_raw.jpg,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/candidate-patches-onefps/t0051_patch.jpg
52.0,1560,837,485,strong,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/raw-onefps/t0052_raw.jpg,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/candidate-patches-onefps/t0052_patch.jpg
53.0,1590,714,350,medium,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/raw-onefps/t0053_raw.jpg,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/candidate-patches-onefps/t0053_patch.jpg
54.0,1620,551,330,strong,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/raw-onefps/t0054_raw.jpg,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/candidate-patches-onefps/t0054_patch.jpg
55.0,1650,515,348,strong,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/raw-onefps/t0055_raw.jpg,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/candidate-patches-onefps/t0055_patch.jpg
56.0,1680,585,389,strong,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/raw-onefps/t0056_raw.jpg,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/candidate-patches-onefps/t0056_patch.jpg
57.0,1710,664,405,strong,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/raw-onefps/t0057_raw.jpg,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/candidate-patches-onefps/t0057_patch.jpg
58.0,1740,730,422,strong,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/raw-onefps/t0058_raw.jpg,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/candidate-patches-onefps/t0058_patch.jpg
59.0,1770,771,453,medium,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/raw-onefps/t0059_raw.jpg,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/candidate-patches-onefps/t0059_patch.jpg
