video,fivefps_frame_index,approx_second,source_frame_index,object_x,object_y,dx_from_reticle_center,dy_from_reticle_center,predicted_x_from_manual_seed,predicted_y_from_manual_seed,refinement_delta_px,object_bbox_w,object_bbox_h,object_component_area,object_max_luma,object_mean_luma,nearest_colored_overlay_px,track_symbology_relation,vertical_feature_flag,vertical_component_w,vertical_component_h,review_confidence,nearest_seed_confidence,nearest_seed_relation,manual_seed_match,manual_control_delta_px,marking_basis,raw_crop_path,annotated_crop_path,zoom_patch_path
DOD_111688964.mp4,6,1.0,30,77.2,94.6,-402.8,-175.4,110.0,95.0,32.76,20,19,251,229,206.73,362.93,separate from colored track symbology,possible,22,22,medium,high,reticle box centered away from object,yes,32.76,manual-seed interpolation plus local bright-feature refinement,research/ufo-derived/video-motion-pass/dense-marking/DOD_111688964/raw-crops/frame_0006.jpg,research/ufo-derived/video-motion-pass/dense-marking/DOD_111688964/annotated-crops/frame_0006_annotated.jpg,research/ufo-derived/video-motion-pass/dense-marking/DOD_111688964/object-zoom-patches/frame_0006_patch.jpg
DOD_111688964.mp4,7,1.2,36,145.3,97.5,-334.7,-172.5,182.0,99.0,36.71,21,18,248,231,207.23,298.14,separate from colored track symbology,possible,23,20,medium,high,reticle box centered away from object,,,manual-seed interpolation plus local bright-feature refinement,research/ufo-derived/video-motion-pass/dense-marking/DOD_111688964/raw-crops/frame_0007.jpg,research/ufo-derived/video-motion-pass/dense-marking/DOD_111688964/annotated-crops/frame_0007_annotated.jpg,research/ufo-derived/video-motion-pass/dense-marking/DOD_111688964/object-zoom-patches/frame_0007_patch.jpg
DOD_111688964.mp4,8,1.4,42,216.7,100.1,-263.3,-169.9,254.0,103.0,37.39,19,20,248,223,203.92,232.42,separate from colored track symbology,possible,21,24,medium,high,reticle box centered away from object,,,manual-seed interpolation plus local bright-feature refinement,research/ufo-derived/video-motion-pass/dense-marking/DOD_111688964/raw-crops/frame_0008.jpg,research/ufo-derived/video-motion-pass/dense-marking/DOD_111688964/annotated-crops/frame_0008_annotated.jpg,research/ufo-derived/video-motion-pass/dense-marking/DOD_111688964/object-zoom-patches/frame_0008_patch.jpg
DOD_111688964.mp4,9,1.6,48,287.5,101.4,-192.5,-168.6,326.0,107.0,38.87,21,19,250,225,203.99,172.68,separate from colored track symbology,possible,23,24,medium,high,reticle box below object,,,manual-seed interpolation plus local bright-feature refinement,research/ufo-derived/video-motion-pass/dense-marking/DOD_111688964/raw-crops/frame_0009.jpg,research/ufo-derived/video-motion-pass/dense-marking/DOD_111688964/annotated-crops/frame_0009_annotated.jpg,research/ufo-derived/video-motion-pass/dense-marking/DOD_111688964/object-zoom-patches/frame_0009_patch.jpg
DOD_111688964.mp4,10,1.8,54,397.6,109.8,-82.4,-160.2,398.0,111.0,1.28,19,20,235,223,201.45,102.93,separate from colored track symbology,possible,21,24,high,high,reticle box below object,,,manual-seed interpolation plus local bright-feature refinement,research/ufo-derived/video-motion-pass/dense-marking/DOD_111688964/raw-crops/frame_0010.jpg,research/ufo-derived/video-motion-pass/dense-marking/DOD_111688964/annotated-crops/frame_0010_annotated.jpg,research/ufo-derived/video-motion-pass/dense-marking/DOD_111688964/object-zoom-patches/frame_0010_patch.jpg
DOD_111688964.mp4,11,2.0,60,472.0,113.7,-8.0,-156.3,470.0,115.0,2.38,21,19,253,223,201.27,95.32,separate from colored track symbology,possible,22,23,high,high,reticle box below object,yes,2.38,manual-seed interpolation plus local bright-feature refinement,research/ufo-derived/video-motion-pass/dense-marking/DOD_111688964/raw-crops/frame_0011.jpg,research/ufo-derived/video-motion-pass/dense-marking/DOD_111688964/annotated-crops/frame_0011_annotated.jpg,research/ufo-derived/video-motion-pass/dense-marking/DOD_111688964/object-zoom-patches/frame_0011_patch.jpg
DOD_111688964.mp4,12,2.2,66,544.1,118.5,64.1,-151.5,536.0,112.0,10.41,20,19,240,213,198.77,8.52,inside colored track box,possible,21,19,high,high,reticle box below object,,,manual-seed interpolation plus local bright-feature refinement,research/ufo-derived/video-motion-pass/dense-marking/DOD_111688964/raw-crops/frame_0012.jpg,research/ufo-derived/video-motion-pass/dense-marking/DOD_111688964/annotated-crops/frame_0012_annotated.jpg,research/ufo-derived/video-motion-pass/dense-marking/DOD_111688964/object-zoom-patches/frame_0012_patch.jpg
DOD_111688964.mp4,13,2.4,72,617.8,123.0,137.8,-147.0,602.0,109.0,21.12,21,20,223,227,203.87,142.41,separate from colored track symbology,possible,22,21,high,high,reticle box below object,,,manual-seed interpolation plus local bright-feature refinement,research/ufo-derived/video-motion-pass/dense-marking/DOD_111688964/raw-crops/frame_0013.jpg,research/ufo-derived/video-motion-pass/dense-marking/DOD_111688964/annotated-crops/frame_0013_annotated.jpg,research/ufo-derived/video-motion-pass/dense-marking/DOD_111688964/object-zoom-patches/frame_0013_patch.jpg
DOD_111688964.mp4,14,2.6,78,689.9,126.2,209.9,-143.8,668.0,106.0,29.83,21,21,256,217,203.13,189.73,separate from colored track symbology,possible,22,23,medium,high,"track box contracted near reticle, object outside upper-right",,,manual-seed interpolation plus local bright-feature refinement,research/ufo-derived/video-motion-pass/dense-marking/DOD_111688964/raw-crops/frame_0014.jpg,research/ufo-derived/video-motion-pass/dense-marking/DOD_111688964/annotated-crops/frame_0014_annotated.jpg,research/ufo-derived/video-motion-pass/dense-marking/DOD_111688964/object-zoom-patches/frame_0014_patch.jpg
DOD_111688964.mp4,15,2.8,84,759.6,125.9,279.6,-144.1,734.0,103.0,34.38,20,19,243,222,202.83,247.59,separate from colored track symbology,possible,21,21,medium,high,"track box contracted near reticle, object outside upper-right",,,manual-seed interpolation plus local bright-feature refinement,research/ufo-derived/video-motion-pass/dense-marking/DOD_111688964/raw-crops/frame_0015.jpg,research/ufo-derived/video-motion-pass/dense-marking/DOD_111688964/annotated-crops/frame_0015_annotated.jpg,research/ufo-derived/video-motion-pass/dense-marking/DOD_111688964/object-zoom-patches/frame_0015_patch.jpg
DOD_111688964.mp4,16,3.0,90,797.8,127.5,317.8,-142.5,800.0,100.0,27.61,20,22,254,227,206.74,281.43,separate from colored track symbology,yes,20,25,medium,high,"track box contracted near reticle, object outside upper-right",yes,27.61,manual-seed interpolation plus local bright-feature refinement,research/ufo-derived/video-motion-pass/dense-marking/DOD_111688964/raw-crops/frame_0016.jpg,research/ufo-derived/video-motion-pass/dense-marking/DOD_111688964/annotated-crops/frame_0016_annotated.jpg,research/ufo-derived/video-motion-pass/dense-marking/DOD_111688964/object-zoom-patches/frame_0016_patch.jpg
DOD_111688964.mp4,17,3.2,96,801.1,133.1,321.1,-136.9,784.0,115.0,24.89,20,21,242,224,208.33,281.87,separate from colored track symbology,possible,21,22,high,high,"track box contracted near reticle, object outside upper-right",,,manual-seed interpolation plus local bright-feature refinement,research/ufo-derived/video-motion-pass/dense-marking/DOD_111688964/raw-crops/frame_0017.jpg,research/ufo-derived/video-motion-pass/dense-marking/DOD_111688964/annotated-crops/frame_0017_annotated.jpg,research/ufo-derived/video-motion-pass/dense-marking/DOD_111688964/object-zoom-patches/frame_0017_patch.jpg
DOD_111688964.mp4,18,3.4,102,791.7,136.7,311.7,-133.3,768.0,130.0,24.64,20,20,244,227,206.5,271.15,separate from colored track symbology,possible,20,23,high,high,"track box contracted near reticle, object outside upper-right",,,manual-seed interpolation plus local bright-feature refinement,research/ufo-derived/video-motion-pass/dense-marking/DOD_111688964/raw-crops/frame_0018.jpg,research/ufo-derived/video-motion-pass/dense-marking/DOD_111688964/annotated-crops/frame_0018_annotated.jpg,research/ufo-derived/video-motion-pass/dense-marking/DOD_111688964/object-zoom-patches/frame_0018_patch.jpg
DOD_111688964.mp4,19,3.6,108,769.1,144.9,289.1,-125.1,752.0,145.0,17.1,19,20,227,231,205.77,247.19,separate from colored track symbology,possible,20,22,high,high,"track box near reticle, object right/upper-right",,,manual-seed interpolation plus local bright-feature refinement,research/ufo-derived/video-motion-pass/dense-marking/DOD_111688964/raw-crops/frame_0019.jpg,research/ufo-derived/video-motion-pass/dense-marking/DOD_111688964/annotated-crops/frame_0019_annotated.jpg,research/ufo-derived/video-motion-pass/dense-marking/DOD_111688964/object-zoom-patches/frame_0019_patch.jpg
DOD_111688964.mp4,20,3.8,114,748.5,152.5,268.5,-117.5,736.0,160.0,14.55,18,22,232,228,208.5,225.25,separate from colored track symbology,possible,19,23,high,high,"track box near reticle, object right/upper-right",,,manual-seed interpolation plus local bright-feature refinement,research/ufo-derived/video-motion-pass/dense-marking/DOD_111688964/raw-crops/frame_0020.jpg,research/ufo-derived/video-motion-pass/dense-marking/DOD_111688964/annotated-crops/frame_0020_annotated.jpg,research/ufo-derived/video-motion-pass/dense-marking/DOD_111688964/object-zoom-patches/frame_0020_patch.jpg
DOD_111688964.mp4,21,4.0,120,727.0,160.6,247.0,-109.4,720.0,175.0,16.04,18,21,224,229,206.92,202.41,separate from colored track symbology,possible,19,22,high,high,"track box near reticle, object right/upper-right",yes,16.04,manual-seed interpolation plus local bright-feature refinement,research/ufo-derived/video-motion-pass/dense-marking/DOD_111688964/raw-crops/frame_0021.jpg,research/ufo-derived/video-motion-pass/dense-marking/DOD_111688964/annotated-crops/frame_0021_annotated.jpg,research/ufo-derived/video-motion-pass/dense-marking/DOD_111688964/object-zoom-patches/frame_0021_patch.jpg
