video,release_id,report_id,sample_index,approx_second,source_frame_index,phase,dvids_anchor,candidate_x,candidate_y,dx_from_frame_center,dy_from_frame_center,bbox_w,bbox_h,area,max_luma,mean_luma,candidate_count,nearest_colored_overlay_px,overlay_relation,review_confidence,annotated_frame_path,zoom_patch_path
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,0,0.00,0,no-content / scene context lead-in,DVIDS: 00:00-01:55 no content,222.5,443.8,-737.5,-96.2,46,12,118,255,243.03,84,302.22,separate from colored reticle/overlay,low,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111688825/annotated-frames/frame_0000_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111688825/object-zoom-patches/frame_0000_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,1,4.00,120,no-content / scene context lead-in,DVIDS: 00:00-01:55 no content,1015.8,408.9,55.8,-131.1,8,7,43,255,249.28,91,101.55,separate from colored reticle/overlay,low,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111688825/annotated-frames/frame_0001_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111688825/object-zoom-patches/frame_0001_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,2,8.00,240,no-content / scene context lead-in,DVIDS: 00:00-01:55 no content,668.0,511.4,-292.0,-28.6,20,6,47,255,240.47,98,244.31,separate from colored reticle/overlay,low,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111688825/annotated-frames/frame_0002_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111688825/object-zoom-patches/frame_0002_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,3,12.00,360,no-content / scene context lead-in,DVIDS: 00:00-01:55 no content,1128.9,425.6,168.9,-114.4,19,6,50,255,241.66,105,163.01,separate from colored reticle/overlay,low,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111688825/annotated-frames/frame_0003_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111688825/object-zoom-patches/frame_0003_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,4,16.00,480,no-content / scene context lead-in,DVIDS: 00:00-01:55 no content,1079.3,436.6,119.3,-103.4,19,6,49,255,242.47,103,121.52,separate from colored reticle/overlay,low,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111688825/annotated-frames/frame_0004_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111688825/object-zoom-patches/frame_0004_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,5,20.00,600,no-content / scene context lead-in,DVIDS: 00:00-01:55 no content,1217.7,410.1,257.7,-129.9,30,9,82,255,242.54,106,242.47,separate from colored reticle/overlay,low,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111688825/annotated-frames/frame_0005_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111688825/object-zoom-patches/frame_0005_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,6,24.00,720,no-content / scene context lead-in,DVIDS: 00:00-01:55 no content,913.8,342.2,-46.2,-197.8,31,8,78,255,243.06,102,71.57,separate from colored reticle/overlay,low,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111688825/annotated-frames/frame_0006_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111688825/object-zoom-patches/frame_0006_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,7,28.00,840,no-content / scene context lead-in,DVIDS: 00:00-01:55 no content,783.2,380.5,-176.8,-159.5,17,6,43,255,240.81,95,146.27,separate from colored reticle/overlay,low,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111688825/annotated-frames/frame_0007_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111688825/object-zoom-patches/frame_0007_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,8,32.00,960,no-content / scene context lead-in,DVIDS: 00:00-01:55 no content,846.3,365.7,-113.7,-174.3,16,6,45,255,241.49,104,99.9,separate from colored reticle/overlay,low,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111688825/annotated-frames/frame_0008_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111688825/object-zoom-patches/frame_0008_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,9,36.00,1080,no-content / scene context lead-in,DVIDS: 00:00-01:55 no content,783.7,529.3,-176.3,-10.7,18,6,44,255,241.95,109,123.7,separate from colored reticle/overlay,low,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111688825/annotated-frames/frame_0009_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-hard-pair-phase-review/DOD_111688825/object-zoom-patches/frame_0009_patch.jpg
