"video","frame_index","approx_second","object_x","object_y","dx_from_center","dy_from_center","track_symbology_relation","confidence","note"
"DOD_111688964.mp4","6","1.0","110","95","-370","-175","reticle box centered away from object","high","object clearly visible near upper-left edge of center crop"
"DOD_111688964.mp4","11","2.0","470","115","-10","-155","reticle box below object","high","object clearly visible above reticle box"
"DOD_111688964.mp4","16","3.0","800","100","320","-170","track box contracted near reticle, object outside upper-right","high","object clearly visible near upper-right"
"DOD_111688964.mp4","21","4.0","720","175","240","-95","track box near reticle, object right/upper-right","high","object visible with short downward smear"
"DOD_111688964.mp4","26","5.0","610","235","130","-35","track box left of object","high","object visible just right of track box"
"DOD_111688964.mp4","31","6.0","620","285","140","15","track box left of object","high","object visible right of box near reticle height"
"DOD_111688964.mp4","36","7.0","685","315","205","45","reticle only, object right/lower-right","high","object visible right of reticle"
"DOD_111688964.mp4","41","8.0","740","388","260","118","track-box fragments near reticle, object lower-right","high","object visible lower-right of symbology"
"DOD_111688964.mp4","46","9.0","610","385","130","115","reticle only, object below/right","high","object visible below reticle"
"DOD_111688964.mp4","51","10.0","400","505","-80","235","orange tracking box around object","high","object near lower field with tracking box"
"DOD_111688964.mp4","56","11.0","306","459","-174","189","reticle only, object lower-left","high","object visible lower-left"
"DOD_111688964.mp4","61","12.0","370","320","-110","50","reticle only, object left/lower-left","high","object visible left of reticle"
"DOD_111688964.mp4","66","13.0","486","279","6","9","green track box overlays object","high","object inside track box near reticle"
"DOD_111688964.mp4","71","14.0","561","318","81","48","green track box left/overlapping edge of object","high","object visible against right side of box"
"DOD_111688964.mp4","76","15.0","488","363","8","93","green track box above object","high","object visible below box"
"DOD_111688964.mp4","81","16.0","333","385","-147","115","reticle box centered away from object","high","object visible lower-left of box"
"DOD_111688964.mp4","86","17.0","211","396","-269","126","reticle box centered away from object","high","object visible near left edge"
"DOD_111688964.mp4","91","18.0","246","360","-234","90","reticle box centered away from object","medium","object remains visible but edges blur into background"
"DOD_111688964.mp4","96","19.0","360","305","-120","35","orange tracking box around object","high","object/track box left of reticle box"
"DOD_111688964.mp4","101","20.0","500","292","20","22","orange tracking box inside green reticle box","medium","object partly obscured by overlapping symbology"
"DOD_111688964.mp4","106","21.0","452","268","-28","-2","green track box edge intersects object","medium","object partially hidden against box edge"

