"name","bytes","mb","length","frame_width","frame_height","frame_rate","total_bitrate","date_modified","source_path"
"DOD_111688723.mp4","6814452","6.5","00:00:05","1920","1080","‎30.00 frames/second","‎10885kbps","2026-05-09T12:29:06","I:\My Drive\UFO\DOD_111688723.mp4"
"DOD_111688762.mp4","12752210","12.16","00:00:10","1920","1080","‎30.00 frames/second","‎10190kbps","2026-05-09T12:30:14","I:\My Drive\UFO\DOD_111688762.mp4"
"DOD_111688775.mp4","3982264","3.8","00:00:14","1920","1080","‎30.00 frames/second","‎2264kbps","2026-05-09T12:31:39","I:\My Drive\UFO\DOD_111688775.mp4"
"DOD_111688809.mp4","5300653","5.06","00:00:10","1920","1080","‎30.00 frames/second","‎3843kbps","2026-05-09T12:32:19","I:\My Drive\UFO\DOD_111688809.mp4"
"DOD_111688816 (1).mp4","27493716","26.22","00:00:43","1920","1080","‎30.00 frames/second","‎5106kbps","2026-05-09T12:35:33","I:\My Drive\UFO\DOD_111688816 (1).mp4"
"DOD_111688816.mp4","27493716","26.22","00:00:43","1920","1080","‎30.00 frames/second","‎5106kbps","2026-05-09T12:32:43","I:\My Drive\UFO\DOD_111688816.mp4"
"DOD_111688825.mp4","155885289","148.66","00:04:57","1920","1080","‎30.00 frames/second","‎4191kbps","2026-05-09T12:41:32","I:\My Drive\UFO\DOD_111688825.mp4"
"DOD_111688954.mp4","15992674","15.25","00:01:06","1920","1080","‎30.00 frames/second","‎1930kbps","2026-05-09T12:41:42","I:\My Drive\UFO\DOD_111688954.mp4"
"DOD_111688964.mp4","15445575","14.73","00:00:21","1920","1080","‎30.00 frames/second","‎5607kbps","2026-05-09T12:43:47","I:\My Drive\UFO\DOD_111688964.mp4"
"DOD_111688970 (1).mp4","644525","0.61","00:00:05","1920","1080","‎30.00 frames/second","‎1013kbps","2026-05-09T12:44:57","I:\My Drive\UFO\DOD_111688970 (1).mp4"
"DOD_111688970.mp4","644525","0.61","00:00:05","1920","1080","‎30.00 frames/second","‎1013kbps","2026-05-09T12:44:20","I:\My Drive\UFO\DOD_111688970.mp4"
