video,frame_index,approx_second,candidate_count,best_x,best_y,dx_from_center,dy_from_center,bbox_w,bbox_h,area,mean_luma,confidence,note
DOD_111688964,1,0.0,56,36.5,139.9,-443.5,-130.1,21,20,276,203.9,medium,multiple compact white candidates
DOD_111688964,2,0.2,53,624.9,265.3,144.9,-4.7,33,14,255,185.6,low,multiple compact white candidates
DOD_111688964,3,0.4,52,699.8,288.2,219.8,18.2,30,15,248,186.3,low,multiple compact white candidates
DOD_111688964,4,0.6,41,596.8,321.2,116.8,51.2,24,12,214,187.2,low,multiple compact white candidates
DOD_111688964,5,0.8,41,593.7,262.9,113.7,-7.1,30,29,339,186.6,low,multiple compact white candidates
DOD_111688964,6,1.0,18,108.6,95.1,-371.4,-174.9,22,20,279,207.4,medium,multiple compact white candidates
DOD_111688964,7,1.2,24,179.7,98.4,-300.3,-171.6,21,20,273,207.0,medium,multiple compact white candidates
DOD_111688964,8,1.4,37,250.8,100.4,-229.2,-169.6,22,23,298,204.5,medium,multiple compact white candidates
DOD_111688964,9,1.6,23,323.4,103.7,-156.6,-166.3,22,20,283,202.7,medium,multiple compact white candidates
DOD_111688964,10,1.8,15,396.8,109.3,-83.2,-160.7,19,23,268,201.4,medium,multiple compact white candidates
DOD_111688964,11,2.0,33,471.0,112.7,-9.0,-157.3,22,22,284,200.9,medium,multiple compact white candidates
DOD_111688964,12,2.2,33,543.4,117.9,63.4,-152.1,22,21,275,198.7,low,multiple compact white candidates
DOD_111688964,13,2.4,40,616.9,122.2,136.9,-147.8,21,23,301,201.7,medium,multiple compact white candidates
DOD_111688964,14,2.6,41,688.8,125.3,208.8,-144.7,23,24,308,201.4,medium,multiple compact white candidates
DOD_111688964,15,2.8,28,515.8,306.4,35.8,36.4,8,10,73,185.6,low,multiple compact white candidates
DOD_111688964,16,3.0,25,797.0,126.9,317.0,-143.1,19,28,305,205.1,medium,multiple compact white candidates
DOD_111688964,17,3.2,35,800.7,132.2,320.7,-137.8,22,22,290,205.9,medium,multiple compact white candidates
DOD_111688964,18,3.4,31,779.7,139.5,299.7,-130.5,21,22,282,205.8,medium,multiple compact white candidates
DOD_111688964,19,3.6,32,686.6,276.0,206.6,6.0,24,9,144,188.1,low,multiple compact white candidates
DOD_111688964,20,3.8,31,631.3,388.1,151.3,118.1,32,11,288,186.4,low,multiple compact white candidates
DOD_111688964,21,4.0,30,714.9,164.8,234.9,-105.2,24,24,288,203.0,medium,multiple compact white candidates
DOD_111688964,22,4.2,36,693.7,171.8,213.7,-98.2,20,21,213,203.2,medium,multiple compact white candidates
DOD_111688964,23,4.4,42,622.8,243.8,142.8,-26.2,24,9,136,186.7,low,multiple compact white candidates
DOD_111688964,24,4.6,35,577.8,295.8,97.8,25.8,33,16,440,185.3,low,multiple compact white candidates
DOD_111688964,25,4.8,44,617.8,215.1,137.8,-54.9,20,23,264,204.3,medium,multiple compact white candidates
DOD_111688964,26,5.0,43,605.9,230.1,125.9,-39.9,22,25,266,204.4,medium,multiple compact white candidates
DOD_111688964,27,5.2,35,599.5,387.5,119.5,117.5,16,8,128,186.5,low,multiple compact white candidates
DOD_111688964,28,5.4,43,631.5,338.0,151.5,68.0,16,11,176,186.3,low,multiple compact white candidates
DOD_111688964,29,5.6,42,616.1,258.5,136.1,-11.5,20,24,268,203.7,medium,multiple compact white candidates
DOD_111688964,30,5.8,36,622.5,266.1,142.5,-3.9,18,22,247,205.5,medium,multiple compact white candidates
DOD_111688964,31,6.0,47,630.4,272.9,150.4,2.9,18,23,247,203.6,medium,multiple compact white candidates
DOD_111688964,32,6.2,46,639.8,280.4,159.8,10.4,18,22,254,202.3,medium,multiple compact white candidates
DOD_111688964,33,6.4,31,651.9,284.0,171.9,14.0,18,21,268,200.9,medium,multiple compact white candidates
DOD_111688964,34,6.6,33,662.7,294.0,182.7,24.0,18,21,239,202.0,medium,multiple compact white candidates
DOD_111688964,35,6.8,29,672.3,303.1,192.3,33.1,19,23,266,203.2,medium,multiple compact white candidates
DOD_111688964,36,7.0,49,681.8,312.8,201.8,42.8,20,19,256,204.8,medium,multiple compact white candidates
