start_second,end_second,sample_count,strong_count,medium_count
0.0,0.0,1,0,1
0.8,3.8000000000000003,16,7,9
4.4,5.800000000000001,8,4,4
6.2,7.0,5,1,4
7.6000000000000005,7.6000000000000005,1,0,1
8.200000000000001,8.200000000000001,1,0,1
8.8,8.8,1,1,0
9.200000000000001,10.4,7,7,0
11.0,12.4,8,6,2
22.200000000000003,22.400000000000002,2,2,0
23.8,24.200000000000003,3,1,2
30.400000000000002,32.2,10,8,2
32.800000000000004,33.0,2,0,2
38.800000000000004,39.400000000000006,4,2,2
40.2,41.0,5,3,2
41.400000000000006,42.6,7,2,5
43.0,44.2,7,2,5
48.2,48.400000000000006,2,0,2
50.0,50.0,1,1,0
50.400000000000006,56.400000000000006,31,29,2
56.800000000000004,75.0,92,86,6
75.4,83.0,39,39,0
83.60000000000001,87.4,20,20,0
89.60000000000001,89.60000000000001,1,0,1
90.4,91.2,5,5,0
92.0,93.4,8,7,1
94.4,94.4,1,1,0
96.0,96.0,1,0,1
96.4,99.60000000000001,17,17,0
100.2,101.2,6,6,0
101.60000000000001,107.60000000000001,31,31,0
109.2,109.2,1,0,1
110.0,116.0,31,29,2
116.4,116.4,1,1,0
116.80000000000001,117.0,2,1,1
117.4,120.2,15,10,5
120.60000000000001,121.0,3,2,1
121.4,121.80000000000001,3,2,1
122.2,123.80000000000001,9,6,3
124.2,124.2,1,1,0
124.60000000000001,125.80000000000001,7,4,3
126.2,128.4,12,6,6
128.8,128.8,1,0,1
129.20000000000002,129.4,2,1,1
130.0,130.6,4,2,2
131.4,131.6,2,1,1
132.0,132.0,1,0,1
132.4,132.6,2,1,1
133.0,133.20000000000002,2,2,0
133.8,134.0,2,1,1
134.6,134.8,2,2,0
135.4,135.4,1,1,0
135.8,135.8,1,1,0
136.20000000000002,137.20000000000002,6,2,4

