frame_index,sample_second,source_frame_index,crop_path,candidate_count,best_x,best_y,best_w,best_h,best_area,best_mean,best_max,dx_from_center,dy_from_center,confidence,notes
0,0.0,0,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-motion-pass/high-rate/DOD_111689030/fps5-center-crops/frame_0000.jpg,1,960,545,3,3,8,209.38,237,0,5,medium,compact low-saturation bright component; audit detector
1,0.2,6,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-motion-pass/high-rate/DOD_111689030/fps5-center-crops/frame_0001.jpg,1,960,544,3,2,6,206.33,236,0,4,weak,compact low-saturation bright component; audit detector
2,0.4,12,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-motion-pass/high-rate/DOD_111689030/fps5-center-crops/frame_0002.jpg,0,,,,,,,,,,none,no compact low-saturation bright component detected
3,0.6000000000000001,18,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-motion-pass/high-rate/DOD_111689030/fps5-center-crops/frame_0003.jpg,0,,,,,,,,,,none,no compact low-saturation bright component detected
4,0.8,24,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-motion-pass/high-rate/DOD_111689030/fps5-center-crops/frame_0004.jpg,1,960,544,5,4,14,216.5,235,0,4,strong,compact low-saturation bright component; audit detector
5,1.0,30,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-motion-pass/high-rate/DOD_111689030/fps5-center-crops/frame_0005.jpg,1,960,543,5,3,12,215.83,236,0,3,strong,compact low-saturation bright component; audit detector
6,1.2000000000000002,36,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-motion-pass/high-rate/DOD_111689030/fps5-center-crops/frame_0006.jpg,1,961,543,6,4,17,216.53,233,1,3,medium,compact low-saturation bright component; audit detector
7,1.4000000000000001,42,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-motion-pass/high-rate/DOD_111689030/fps5-center-crops/frame_0007.jpg,2,961,543,6,3,15,215.13,235,1,3,strong,compact low-saturation bright component; audit detector
8,1.6,48,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-motion-pass/high-rate/DOD_111689030/fps5-center-crops/frame_0008.jpg,2,961,543,7,3,17,208.06,224,1,3,medium,compact low-saturation bright component; audit detector
9,1.8,54,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-motion-pass/high-rate/DOD_111689030/fps5-center-crops/frame_0009.jpg,3,962,542,6,2,12,221.5,237,2,2,strong,compact low-saturation bright component; audit detector
10,2.0,60,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-motion-pass/high-rate/DOD_111689030/fps5-center-crops/frame_0010.jpg,1,960,543,5,3,13,205.62,223,0,3,medium,compact low-saturation bright component; audit detector
11,2.2,66,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-motion-pass/high-rate/DOD_111689030/fps5-center-crops/frame_0011.jpg,3,516,271,3,3,8,212.12,232,-444,-269,medium,compact low-saturation bright component; audit detector
12,2.4000000000000004,72,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-motion-pass/high-rate/DOD_111689030/fps5-center-crops/frame_0012.jpg,6,960,542,5,3,15,214.93,234,0,2,medium,compact low-saturation bright component; audit detector
13,2.6,78,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-motion-pass/high-rate/DOD_111689030/fps5-center-crops/frame_0013.jpg,3,962,541,7,4,24,214.38,237,2,1,strong,compact low-saturation bright component; audit detector
14,2.8000000000000003,84,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-motion-pass/high-rate/DOD_111689030/fps5-center-crops/frame_0014.jpg,3,962,541,9,4,28,215.25,231,2,1,medium,compact low-saturation bright component; audit detector
15,3.0,90,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-motion-pass/high-rate/DOD_111689030/fps5-center-crops/frame_0015.jpg,4,963,541,8,4,25,214.04,229,3,1,medium,compact low-saturation bright component; audit detector
16,3.2,96,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-motion-pass/high-rate/DOD_111689030/fps5-center-crops/frame_0016.jpg,9,962,542,6,4,18,214.44,240,2,2,strong,compact low-saturation bright component; audit detector
17,3.4000000000000004,102,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-motion-pass/high-rate/DOD_111689030/fps5-center-crops/frame_0017.jpg,6,964,541,4,3,10,219.0,242,4,1,medium,compact low-saturation bright component; audit detector
18,3.6,108,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-motion-pass/high-rate/DOD_111689030/fps5-center-crops/frame_0018.jpg,8,963,541,5,3,13,219.46,245,3,1,strong,compact low-saturation bright component; audit detector
19,3.8000000000000003,114,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-motion-pass/high-rate/DOD_111689030/fps5-center-crops/frame_0019.jpg,6,964,541,5,3,13,218.31,232,4,1,medium,compact low-saturation bright component; audit detector
20,4.0,120,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-motion-pass/high-rate/DOD_111689030/fps5-center-crops/frame_0020.jpg,6,490,287,11,5,38,210.08,213,-470,-253,weak,compact low-saturation bright component; audit detector
21,4.2,126,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-motion-pass/high-rate/DOD_111689030/fps5-center-crops/frame_0021.jpg,5,490,287,11,5,38,210.08,213,-470,-253,weak,compact low-saturation bright component; audit detector
22,4.4,132,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-motion-pass/high-rate/DOD_111689030/fps5-center-crops/frame_0022.jpg,6,965,540,5,4,15,217.4,234,5,0,medium,compact low-saturation bright component; audit detector
23,4.6000000000000005,138,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-motion-pass/high-rate/DOD_111689030/fps5-center-crops/frame_0023.jpg,7,965,540,5,4,15,213.87,230,5,0,medium,compact low-saturation bright component; audit detector
24,4.800000000000001,144,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-motion-pass/high-rate/DOD_111689030/fps5-center-crops/frame_0024.jpg,10,817,459,54,20,448,235.02,255,-143,-81,strong,compact low-saturation bright component; audit detector
25,5.0,150,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-motion-pass/high-rate/DOD_111689030/fps5-center-crops/frame_0025.jpg,11,817,458,53,20,440,235.76,255,-143,-82,strong,compact low-saturation bright component; audit detector
26,5.2,156,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-motion-pass/high-rate/DOD_111689030/fps5-center-crops/frame_0026.jpg,15,817,458,53,20,440,235.32,255,-143,-82,strong,compact low-saturation bright component; audit detector
27,5.4,162,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-motion-pass/high-rate/DOD_111689030/fps5-center-crops/frame_0027.jpg,11,968,540,4,2,8,216.0,225,8,0,medium,compact low-saturation bright component; audit detector
28,5.6000000000000005,168,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-motion-pass/high-rate/DOD_111689030/fps5-center-crops/frame_0028.jpg,11,968,540,4,2,8,216.0,225,8,0,medium,compact low-saturation bright component; audit detector
29,5.800000000000001,174,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-motion-pass/high-rate/DOD_111689030/fps5-center-crops/frame_0029.jpg,3,939,568,15,16,208,250.63,255,-21,28,strong,compact low-saturation bright component; audit detector
30,6.0,180,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-motion-pass/high-rate/DOD_111689030/fps5-center-crops/frame_0030.jpg,0,,,,,,,,,,none,no compact low-saturation bright component detected
31,6.2,186,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-motion-pass/high-rate/DOD_111689030/fps5-center-crops/frame_0031.jpg,1323,957,528,37,25,370,246.08,255,-3,-12,strong,compact low-saturation bright component; audit detector
