"video","frame_start","frame_end","second_start","second_end","detections","x_min","x_max","y_min","y_max","context"
"DOD_111689115","7","27","6","26","21","299.7","905.0","40.9","341.8","vessel/context"
"DOD_111689115","107","108","106","107","2","453.5","483.4","318.2","320.5","intermittent post-vessel point returns"
"DOD_111689115","114","114","113","113","1","864.0","864.0","139.0","139.0","intermittent post-vessel point returns"
"DOD_111689115","116","116","115","115","1","390.7","390.7","289.7","289.7","intermittent post-vessel point returns"
"DOD_111689115","122","122","121","121","1","371.0","371.0","261.3","261.3","intermittent post-vessel point returns"
"DOD_111689115","124","136","123","135","13","243.7","352.1","260.7","312.6","intermittent post-vessel point returns"
"DOD_111689115","138","141","137","140","4","217.4","291.9","332.5","343.8","intermittent post-vessel point returns"
"DOD_111689115","145","153","144","152","9","464.5","571.5","93.9","231.7","intermittent post-vessel point returns"
"DOD_111689115","155","238","154","237","84","199.7","701.1","115.9","519.7","primary post-vessel point-return interval"
"DOD_111689115","240","244","239","243","5","322.9","482.4","477.3","517.7","primary post-vessel point-return interval"
"DOD_111689115","252","258","251","257","7","141.1","661.4","308.3","503.0","late intermittent point returns"
"DOD_111689115","264","265","263","264","2","319.4","341.3","203.2","393.0","late intermittent point returns"
"DOD_111689115","267","274","266","273","8","218.4","348.5","221.3","299.5","late intermittent point returns"
"DOD_111689115","279","279","278","278","1","516.5","516.5","289.5","289.5","late intermittent point returns"
"DOD_111689115","282","285","281","284","4","616.8","676.2","336.3","358.3","late intermittent point returns"

