video,frame,second_index,candidate_count,best_x,best_y,dx_from_center,dy_from_center,bbox_w,bbox_h,area,mean_luma,confidence,note
DOD_111689115,1,0,0,,,,,,,,,none,no conservative white compact target found
DOD_111689115,2,1,0,,,,,,,,,none,no conservative white compact target found
DOD_111689115,3,2,0,,,,,,,,,none,no conservative white compact target found
DOD_111689115,4,3,0,,,,,,,,,none,no conservative white compact target found
DOD_111689115,5,4,0,,,,,,,,,none,no conservative white compact target found
DOD_111689115,6,5,0,,,,,,,,,none,no conservative white compact target found
DOD_111689115,7,6,8,905.0,43.9,425.0,-226.1,21,19,281,239.9,medium,multiple compact white candidates
DOD_111689115,8,7,22,457.2,203.8,-22.8,-66.2,20,22,282,227.1,medium,multiple compact white candidates
DOD_111689115,9,8,17,311.3,302.3,-168.7,32.3,27,10,239,240.5,medium,multiple compact white candidates
DOD_111689115,10,9,17,866.9,40.9,386.9,-229.1,22,22,295,241.1,medium,multiple compact white candidates
DOD_111689115,11,10,25,478.4,191.2,-1.6,-78.8,19,22,271,226.5,medium,multiple compact white candidates
DOD_111689115,12,11,11,333.2,291.2,-146.8,21.2,28,10,226,239.2,medium,multiple compact white candidates
DOD_111689115,13,12,13,327.2,295.7,-152.8,25.7,28,12,264,237.9,medium,multiple compact white candidates
DOD_111689115,14,13,10,309.3,319.2,-170.7,49.2,27,12,253,239.3,medium,multiple compact white candidates
DOD_111689115,15,14,13,299.7,341.8,-180.3,71.8,20,12,199,239.9,medium,multiple compact white candidates
DOD_111689115,16,15,14,303.1,337.9,-176.9,67.9,26,11,256,242.6,medium,multiple compact white candidates
DOD_111689115,17,16,14,307.6,334.2,-172.4,64.2,29,10,250,240.1,medium,multiple compact white candidates
DOD_111689115,18,17,17,879.6,66.4,399.6,-203.6,20,23,341,241.4,medium,multiple compact white candidates
DOD_111689115,19,18,15,321.4,327.9,-158.6,57.9,29,11,249,238.4,medium,multiple compact white candidates
DOD_111689115,20,19,8,329.4,324.6,-150.6,54.6,28,11,240,239.5,medium,multiple compact white candidates
DOD_111689115,21,20,14,333.4,323.7,-146.6,53.7,29,11,226,239.3,medium,multiple compact white candidates
DOD_111689115,22,21,13,333.4,324.4,-146.6,54.4,28,10,241,237.8,medium,multiple compact white candidates
DOD_111689115,23,22,12,331.1,325.4,-148.9,55.4,27,10,233,241.0,medium,multiple compact white candidates
DOD_111689115,24,23,15,329.8,325.9,-150.2,55.9,29,11,257,239.6,medium,multiple compact white candidates
DOD_111689115,25,24,16,329.4,325.9,-150.6,55.9,28,11,254,240.2,medium,multiple compact white candidates
DOD_111689115,26,25,15,328.8,325.6,-151.2,55.6,29,11,259,241.1,medium,multiple compact white candidates
DOD_111689115,27,26,12,685.8,189.5,205.8,-80.5,19,22,309,237.8,medium,multiple compact white candidates
DOD_111689115,28,27,3,391.2,248.4,-88.8,-21.6,2,4,5,206.3,low,multiple compact white candidates
DOD_111689115,29,28,1,250.5,123.0,-229.5,-147.0,2,1,2,205.5,low,single compact white candidate
DOD_111689115,30,29,0,,,,,,,,,none,no conservative white compact target found
DOD_111689115,31,30,0,,,,,,,,,none,no conservative white compact target found
DOD_111689115,32,31,0,,,,,,,,,none,no conservative white compact target found
DOD_111689115,33,32,0,,,,,,,,,none,no conservative white compact target found
DOD_111689115,34,33,1,918.5,130.3,438.5,-139.7,13,6,53,208.3,low,single compact white candidate
DOD_111689115,35,34,0,,,,,,,,,none,no conservative white compact target found
DOD_111689115,36,35,0,,,,,,,,,none,no conservative white compact target found
DOD_111689115,37,36,0,,,,,,,,,none,no conservative white compact target found
DOD_111689115,38,37,1,672.7,39.9,192.7,-230.1,4,7,23,205.7,low,single compact white candidate
DOD_111689115,39,38,0,,,,,,,,,none,no conservative white compact target found
DOD_111689115,40,39,1,669.9,32.3,189.9,-237.7,8,7,40,207.4,low,single compact white candidate
DOD_111689115,41,40,1,669.4,32.0,189.4,-238.0,6,6,28,206.7,low,single compact white candidate
DOD_111689115,42,41,1,671.2,32.2,191.2,-237.8,7,7,32,207.2,low,single compact white candidate
DOD_111689115,43,42,2,756.6,59.8,276.6,-210.2,7,8,45,207.2,low,multiple compact white candidates
DOD_111689115,44,43,4,773.3,50.2,293.3,-219.8,26,11,201,205.4,low,multiple compact white candidates
DOD_111689115,45,44,9,775.1,33.8,295.1,-236.2,23,10,187,208.6,low,multiple compact white candidates
DOD_111689115,46,45,7,850.5,139.1,370.5,-130.9,11,15,102,207.4,low,multiple compact white candidates
DOD_111689115,47,46,2,714.3,33.1,234.3,-236.9,20,9,109,206.5,low,multiple compact white candidates
DOD_111689115,48,47,0,,,,,,,,,none,no conservative white compact target found
DOD_111689115,49,48,0,,,,,,,,,none,no conservative white compact target found
DOD_111689115,50,49,0,,,,,,,,,none,no conservative white compact target found
DOD_111689115,51,50,0,,,,,,,,,none,no conservative white compact target found
DOD_111689115,52,51,0,,,,,,,,,none,no conservative white compact target found
DOD_111689115,53,52,0,,,,,,,,,none,no conservative white compact target found
DOD_111689115,54,53,3,720.3,33.8,240.3,-236.2,2,4,6,206.1,low,multiple compact white candidates
DOD_111689115,55,54,6,747.5,83.6,267.5,-186.4,7,7,30,206.6,low,multiple compact white candidates
DOD_111689115,56,55,5,767.6,53.2,287.6,-216.8,10,6,42,206.4,low,multiple compact white candidates
DOD_111689115,57,56,0,,,,,,,,,none,no conservative white compact target found
DOD_111689115,58,57,0,,,,,,,,,none,no conservative white compact target found
DOD_111689115,59,58,0,,,,,,,,,none,no conservative white compact target found
DOD_111689115,60,59,0,,,,,,,,,none,no conservative white compact target found
DOD_111689115,61,60,0,,,,,,,,,none,no conservative white compact target found
DOD_111689115,62,61,0,,,,,,,,,none,no conservative white compact target found
DOD_111689115,63,62,0,,,,,,,,,none,no conservative white compact target found
DOD_111689115,64,63,0,,,,,,,,,none,no conservative white compact target found
