"video","frame_start","frame_end","second_start","second_end","frame_count","max_count","kind"
"DOD_111689090","1","11","0","10","11","1","single-bright-candidate frame"
"DOD_111689090","13","13","12","12","1","1","single-bright-candidate frame"
"DOD_111689090","16","29","15","28","14","1","single-bright-candidate frame"
"DOD_111689090","31","40","30","39","10","1","single-bright-candidate frame"
"DOD_111689090","42","45","41","44","4","1","single-bright-candidate frame"
"DOD_111689090","47","51","46","50","5","1","single-bright-candidate frame"
"DOD_111689090","54","57","53","56","4","1","single-bright-candidate frame"
"DOD_111689090","60","62","59","61","3","1","single-bright-candidate frame"
"DOD_111689090","64","71","63","70","8","1","single-bright-candidate frame"
"DOD_111689090","73","80","72","79","8","1","single-bright-candidate frame"
"DOD_111689090","82","92","81","91","11","1","single-bright-candidate frame"
"DOD_111689090","94","94","93","93","1","1","single-bright-candidate frame"
"DOD_111689090","97","98","96","97","2","1","single-bright-candidate frame"
"DOD_111689090","101","102","100","101","2","1","single-bright-candidate frame"
"DOD_111689090","104","107","103","106","4","1","single-bright-candidate frame"
"DOD_111689090","108","109","107","108","2","2","multi-bright-candidate frame"
"DOD_111689090","110","116","109","115","7","1","single-bright-candidate frame"
"DOD_111689090","118","121","117","120","4","1","single-bright-candidate frame"
"DOD_111689090","123","125","122","124","3","1","single-bright-candidate frame"
"DOD_111689090","127","133","126","132","7","1","single-bright-candidate frame"
"DOD_111689090","136","139","135","138","4","1","single-bright-candidate frame"
"DOD_111689090","142","149","141","148","8","1","single-bright-candidate frame"
"DOD_111689090","151","155","150","154","5","1","single-bright-candidate frame"
"DOD_111689090","157","158","156","157","2","1","single-bright-candidate frame"
"DOD_111689090","161","166","160","165","6","1","single-bright-candidate frame"
"DOD_111689090","168","174","167","173","7","1","single-bright-candidate frame"
"DOD_111689090","176","184","175","183","9","1","single-bright-candidate frame"
"DOD_111689090","186","204","185","203","19","1","single-bright-candidate frame"
"DOD_111689090","210","217","209","216","8","1","single-bright-candidate frame"
"DOD_111689090","219","226","218","225","8","1","single-bright-candidate frame"
"DOD_111689090","228","230","227","229","3","1","single-bright-candidate frame"
"DOD_111689090","232","233","231","232","2","1","single-bright-candidate frame"
"DOD_111689090","235","235","234","234","1","1","single-bright-candidate frame"
"DOD_111689090","236","236","235","235","1","2","multi-bright-candidate frame"
"DOD_111689090","237","250","236","249","14","1","single-bright-candidate frame"
"DOD_111689090","251","251","250","250","1","2","multi-bright-candidate frame"
"DOD_111689090","253","253","252","252","1","1","single-bright-candidate frame"
"DOD_111689090","255","255","254","254","1","1","single-bright-candidate frame"
"DOD_111689090","257","257","256","256","1","1","single-bright-candidate frame"
"DOD_111689090","259","260","258","259","2","1","single-bright-candidate frame"
"DOD_111689090","266","266","265","265","1","1","single-bright-candidate frame"
