"video","frame","second_index","strong_candidate_count","clusters","raw_candidate_count"
"DOD_111689090","1","0","1","239.5:314.9:w1837.5:p1","1"
"DOD_111689090","2","1","1","239.5:314.8:w1427.4:p1","1"
"DOD_111689090","3","2","1","239.7:315.0:w1605.5:p1","2"
"DOD_111689090","4","3","1","239.6:314.7:w1836.0:p1","2"
"DOD_111689090","5","4","1","239.8:314.8:w1688.4:p1","1"
"DOD_111689090","6","5","1","239.9:314.7:w1958.0:p1","1"
"DOD_111689090","7","6","1","240.1:314.8:w1828.0:p1","1"
"DOD_111689090","8","7","1","239.8:314.8:w1976.8:p1","1"
"DOD_111689090","9","8","1","239.7:314.9:w1989.9:p1","1"
"DOD_111689090","10","9","1","239.8:315.0:w1976.8:p1","2"
"DOD_111689090","11","10","1","239.9:314.8:w1950.4:p1","3"
"DOD_111689090","12","11","0","","1"
"DOD_111689090","13","12","1","240.0:314.9:w2119.9:p1","1"
"DOD_111689090","14","13","0","","0"
"DOD_111689090","15","14","0","","0"
"DOD_111689090","16","15","1","240.2:314.8:w2177.9:p1","1"
"DOD_111689090","17","16","1","240.1:314.8:w2237.2:p1","2"
"DOD_111689090","18","17","1","240.2:314.9:w2189.7:p1","1"
"DOD_111689090","19","18","1","240.0:314.9:w2065.0:p1","1"
"DOD_111689090","20","19","1","240.1:314.8:w2077.4:p1","1"
"DOD_111689090","21","20","1","240.0:315.0:w1968.8:p1","1"
"DOD_111689090","22","21","1","240.3:314.9:w2020.2:p1","1"
"DOD_111689090","23","22","1","240.1:314.9:w2059.2:p1","1"
"DOD_111689090","24","23","1","239.9:314.9:w2077.6:p1","1"
"DOD_111689090","25","24","1","239.9:314.9:w1948.8:p1","3"
"DOD_111689090","26","25","1","240.0:314.9:w2073.5:p1","2"
"DOD_111689090","27","26","1","240.1:314.8:w1963.0:p1","1"
"DOD_111689090","28","27","1","240.4:314.8:w2226.0:p1","1"
"DOD_111689090","29","28","1","240.2:314.9:w2046.6:p1","1"
"DOD_111689090","30","29","0","","0"
"DOD_111689090","31","30","1","240.2:314.9:w1632.8:p1","2"
"DOD_111689090","32","31","1","240.1:315.0:w2060.8:p1","2"
"DOD_111689090","33","32","1","240.1:315.0:w2024.4:p1","2"
"DOD_111689090","34","33","1","240.2:314.9:w2030.0:p1","2"
"DOD_111689090","35","34","1","240.2:314.9:w2073.5:p1","1"
"DOD_111689090","36","35","1","240.2:315.0:w1995.3:p1","1"
"DOD_111689090","37","36","1","240.0:315.0:w2114.2:p1","1"
"DOD_111689090","38","37","1","240.2:315.0:w1896.6:p1","1"
"DOD_111689090","39","38","1","240.3:314.9:w2128.0:p1","1"
"DOD_111689090","40","39","1","239.6:315.2:w1502.6:p1","1"
"DOD_111689090","41","40","0","","0"
"DOD_111689090","42","41","1","722.5:315.0:w1467.6:p1","2"
"DOD_111689090","43","42","1","722.5:314.8:w1673.1:p1","2"
"DOD_111689090","44","43","1","722.5:314.8:w1543.1:p1","1"
"DOD_111689090","45","44","1","722.3:314.9:w1717.8:p1","1"
"DOD_111689090","46","45","0","","0"
"DOD_111689090","47","46","1","722.3:314.7:w1518.0:p1","1"
"DOD_111689090","48","47","1","722.7:315.0:w1570.4:p1","1"
"DOD_111689090","49","48","1","722.3:314.9:w1600.5:p1","1"
"DOD_111689090","50","49","1","722.2:314.7:w1779.2:p1","1"
"DOD_111689090","51","50","1","722.2:314.7:w1854.4:p1","1"
"DOD_111689090","52","51","0","","0"
"DOD_111689090","53","52","0","","0"
"DOD_111689090","54","53","1","240.1:314.8:w1940.4:p1","3"
"DOD_111689090","55","54","1","240.4:314.7:w1617.5:p1","2"
"DOD_111689090","56","55","1","240.0:314.9:w1733.4:p1","1"
"DOD_111689090","57","56","1","240.2:314.9:w1814.4:p1","2"
"DOD_111689090","58","57","0","","0"
"DOD_111689090","59","58","0","","1"
"DOD_111689090","60","59","1","240.3:315.0:w1685.9:p1","2"
"DOD_111689090","61","60","1","240.1:315.0:w1960.0:p1","2"
"DOD_111689090","62","61","1","240.2:314.9:w2124.9:p1","2"
"DOD_111689090","63","62","0","","0"
"DOD_111689090","64","63","1","240.3:314.8:w1687.2:p1","3"
"DOD_111689090","65","64","1","240.2:315.0:w1836.0:p1","3"
"DOD_111689090","66","65","1","240.1:315.0:w1817.4:p1","3"
"DOD_111689090","67","66","1","250.4:320.9:w3778.9:p3","41"
"DOD_111689090","68","67","1","239.9:314.6:w1776.5:p1","31"
"DOD_111689090","69","68","1","244.7:316.4:w2519.0:p2","50"
"DOD_111689090","70","69","1","239.8:314.7:w1592.0:p1","12"
"DOD_111689090","71","70","1","239.7:314.6:w1514.7:p1","7"
"DOD_111689090","72","71","0","","4"
"DOD_111689090","73","72","1","239.8:314.8:w1476.0:p1","17"
"DOD_111689090","74","73","1","239.5:314.8:w976.3:p1","5"
"DOD_111689090","75","74","1","239.9:314.6:w1752.7:p1","4"
"DOD_111689090","76","75","1","239.9:314.8:w1734.0:p1","3"
"DOD_111689090","77","76","1","239.8:314.7:w1793.6:p1","2"
"DOD_111689090","78","77","1","239.3:314.8:w1408.8:p1","1"
"DOD_111689090","79","78","1","239.8:315.0:w1635.2:p1","5"
"DOD_111689090","80","79","1","239.9:314.6:w1565.7:p1","9"
"DOD_111689090","81","80","0","","9"
"DOD_111689090","82","81","1","239.9:314.7:w1422.4:p1","4"
"DOD_111689090","83","82","1","239.5:314.7:w1695.6:p1","4"
