video,frame,second_index,candidate_count,best_x,best_y,best_area,best_mean_luma,best_mean_contrast,positions,note
DOD_111689090,1,0,1,239.5,314.9,15,190.9,122.5,239.5:314.9:a15:l190.9:c122.5,single compact point candidate
DOD_111689090,2,1,1,239.5,314.8,13,176.2,109.8,239.5:314.8:a13:l176.2:c109.8,single compact point candidate
DOD_111689090,3,2,2,239.7,315.0,13,189.2,123.5,"239.7:315.0:a13:l189.2:c123.5;181.7:508.5:a21:l184.6:c33.0",multiple compact point candidates
DOD_111689090,4,3,2,239.6,314.7,17,192.2,108.0,"239.6:314.7:a17:l192.2:c108.0;338.4:405.6:a23:l155.3:c37.4",multiple compact point candidates
DOD_111689090,5,4,1,239.8,314.8,18,191.4,93.8,239.8:314.8:a18:l191.4:c93.8,single compact point candidate
DOD_111689090,6,5,1,239.9,314.7,22,191.6,89.0,239.9:314.7:a22:l191.6:c89.0,single compact point candidate
DOD_111689090,7,6,1,240.1,314.8,20,193.6,91.4,240.1:314.8:a20:l193.6:c91.4,single compact point candidate
DOD_111689090,8,7,1,239.8,314.8,28,183.3,70.6,239.8:314.8:a28:l183.3:c70.6,single compact point candidate
DOD_111689090,9,8,1,239.7,314.9,27,187.3,73.7,239.7:314.9:a27:l187.3:c73.7,single compact point candidate
DOD_111689090,10,9,2,239.8,315.0,28,185.5,70.6,"239.8:315.0:a28:l185.5:c70.6;362.6:446.0:a11:l202.1:c28.7",multiple compact point candidates
DOD_111689090,11,10,3,239.9,314.8,23,187.7,84.8,"239.9:314.8:a23:l187.7:c84.8;244.0:400.9:a29:l192.4:c33.1;567.1:24.9:a8:l157.1:c76.1",multiple compact point candidates
DOD_111689090,12,11,1,366.4,186.0,89,244.7,41.0,366.4:186.0:a89:l244.7:c41.0,single compact point candidate
DOD_111689090,13,12,1,240.0,314.9,29,189.5,73.1,240.0:314.9:a29:l189.5:c73.1,single compact point candidate
DOD_111689090,14,13,0,,,,,,,no compact neutral bright point candidates
DOD_111689090,15,14,0,,,,,,,no compact neutral bright point candidates
DOD_111689090,16,15,1,240.2,314.8,29,192.3,75.1,240.2:314.8:a29:l192.3:c75.1,single compact point candidate
DOD_111689090,17,16,2,240.1,314.8,28,191.8,79.9,"240.1:314.8:a28:l191.8:c79.9;240.0:321.3:a4:l152.7:c40.3",multiple compact point candidates
DOD_111689090,18,17,1,240.2,314.9,27,191.7,81.1,240.2:314.9:a27:l191.7:c81.1,single compact point candidate
DOD_111689090,19,18,1,240.0,314.9,25,193.4,82.6,240.0:314.9:a25:l193.4:c82.6,single compact point candidate
DOD_111689090,20,19,1,240.1,314.8,26,190.4,79.9,240.1:314.8:a26:l190.4:c79.9,single compact point candidate
DOD_111689090,21,20,1,240.0,315.0,23,193.8,85.6,240.0:315.0:a23:l193.8:c85.6,single compact point candidate
DOD_111689090,22,21,1,240.3,314.9,26,193.1,77.7,240.3:314.9:a26:l193.1:c77.7,single compact point candidate
DOD_111689090,23,22,1,240.1,314.9,24,195.5,85.8,240.1:314.9:a24:l195.5:c85.8,single compact point candidate
DOD_111689090,24,23,1,239.9,314.9,28,190.0,74.2,239.9:314.9:a28:l190.0:c74.2,single compact point candidate
DOD_111689090,25,24,3,239.9,314.9,28,189.4,69.6,"239.9:314.9:a28:l189.4:c69.6;239.8:321.1:a10:l151.2:c30.8;239.4:307.8:a5:l150.2:c34.4",multiple compact point candidates
DOD_111689090,26,25,2,240.0,314.9,29,196.0,71.5,"240.0:314.9:a29:l196.0:c71.5;240.3:321.0:a4:l153.3:c29.3",multiple compact point candidates
DOD_111689090,27,26,1,240.1,314.8,26,190.7,75.5,240.1:314.8:a26:l190.7:c75.5,single compact point candidate
DOD_111689090,28,27,1,240.4,314.8,30,192.7,74.2,240.4:314.8:a30:l192.7:c74.2,single compact point candidate
DOD_111689090,29,28,1,240.2,314.9,27,192.1,75.8,240.2:314.9:a27:l192.1:c75.8,single compact point candidate
DOD_111689090,30,29,0,,,,,,,no compact neutral bright point candidates
DOD_111689090,31,30,2,240.2,314.9,26,184.5,62.8,"240.2:314.9:a26:l184.5:c62.8;240.8:321.3:a4:l152.0:c29.4",multiple compact point candidates
DOD_111689090,32,31,2,240.1,315.0,28,190.0,73.6,"240.1:315.0:a28:l190.0:c73.6;240.3:321.3:a3:l151.0:c34.4",multiple compact point candidates
DOD_111689090,33,32,2,240.1,315.0,28,192.9,72.3,"240.1:315.0:a28:l192.9:c72.3;239.7:308.0:a6:l150.8:c32.8",multiple compact point candidates
DOD_111689090,34,33,2,240.2,314.9,29,193.8,70.0,"240.2:314.9:a29:l193.8:c70.0;240.3:308.0:a4:l154.0:c30.3",multiple compact point candidates
DOD_111689090,35,34,1,240.2,314.9,29,191.4,71.5,240.2:314.9:a29:l191.4:c71.5,single compact point candidate
DOD_111689090,36,35,1,240.2,315.0,27,192.6,73.9,240.2:315.0:a27:l192.6:c73.9,single compact point candidate
DOD_111689090,37,36,1,240.0,315.0,31,189.7,68.2,240.0:315.0:a31:l189.7:c68.2,single compact point candidate
DOD_111689090,38,37,1,240.2,315.0,29,188.5,65.4,240.2:315.0:a29:l188.5:c65.4,single compact point candidate
DOD_111689090,39,38,1,240.3,314.9,28,195.1,76.0,240.3:314.9:a28:l195.1:c76.0,single compact point candidate
DOD_111689090,40,39,1,239.6,315.2,22,178.5,68.3,239.6:315.2:a22:l178.5:c68.3,single compact point candidate
DOD_111689090,41,40,0,,,,,,,no compact neutral bright point candidates
DOD_111689090,42,41,2,722.5,315.0,12,187.4,122.3,"722.5:315.0:a12:l187.4:c122.3;394.5:24.5:a4:l156.0:c79.9",multiple compact point candidates
DOD_111689090,43,42,2,722.5,314.8,13,188.2,128.7,"722.5:314.8:a13:l188.2:c128.7;394.9:24.9:a8:l158.3:c71.5",multiple compact point candidates
DOD_111689090,44,43,1,722.5,314.8,13,182.5,118.7,722.5:314.8:a13:l182.5:c118.7,single compact point candidate
DOD_111689090,45,44,1,722.3,314.9,14,186.2,122.7,722.3:314.9:a14:l186.2:c122.7,single compact point candidate
DOD_111689090,46,45,0,,,,,,,no compact neutral bright point candidates
DOD_111689090,47,46,1,722.3,314.7,15,175.5,101.2,722.3:314.7:a15:l175.5:c101.2,single compact point candidate
DOD_111689090,48,47,1,722.7,315.0,13,196.5,120.8,722.7:315.0:a13:l196.5:c120.8,single compact point candidate
DOD_111689090,49,48,1,722.3,314.9,15,182.9,106.7,722.3:314.9:a15:l182.9:c106.7,single compact point candidate
DOD_111689090,50,49,1,722.2,314.7,16,185.4,111.2,722.2:314.7:a16:l185.4:c111.2,single compact point candidate
DOD_111689090,51,50,1,722.2,314.7,16,192.9,115.9,722.2:314.7:a16:l192.9:c115.9,single compact point candidate
DOD_111689090,52,51,0,,,,,,,no compact neutral bright point candidates
DOD_111689090,53,52,0,,,,,,,no compact neutral bright point candidates
DOD_111689090,54,53,3,240.1,314.8,28,198.9,69.3,"240.1:314.8:a28:l198.9:c69.3;240.0:307.8:a4:l155.8:c27.7;240.0:321.0:a3:l160.0:c31.0",multiple compact point candidates
DOD_111689090,55,54,2,240.4,314.7,25,193.8,64.7,"240.4:314.7:a25:l193.8:c64.7;240.8:307.6:a9:l155.7:c31.3",multiple compact point candidates
DOD_111689090,56,55,1,240.0,314.9,27,195.2,64.2,240.0:314.9:a27:l195.2:c64.2,single compact point candidate
DOD_111689090,57,56,2,240.2,314.9,27,198.5,67.2,"240.2:314.9:a27:l198.5:c67.2;239.7:307.7:a3:l157.7:c27.7",multiple compact point candidates
DOD_111689090,58,57,0,,,,,,,no compact neutral bright point candidates
DOD_111689090,59,58,1,353.0,179.5,2,155.1,27.1,353.0:179.5:a2:l155.1:c27.1,single compact point candidate
DOD_111689090,60,59,2,240.3,315.0,23,187.1,73.3,"240.3:315.0:a23:l187.1:c73.3;239.9:321.9:a8:l152.1:c38.1",multiple compact point candidates
DOD_111689090,61,60,2,240.1,315.0,25,191.9,78.4,"240.1:315.0:a25:l191.9:c78.4;240.5:308.0:a2:l152.0:c41.8",multiple compact point candidates
DOD_111689090,62,61,2,240.2,314.9,27,193.8,78.7,"240.2:314.9:a27:l193.8:c78.7;239.5:308.0:a2:l151.9:c38.0",multiple compact point candidates
DOD_111689090,63,62,0,,,,,,,no compact neutral bright point candidates
DOD_111689090,64,63,3,240.3,314.8,24,194.1,70.3,"240.3:314.8:a24:l194.1:c70.3;240.2:321.3:a10:l157.6:c34.5;240.1:307.9:a10:l155.5:c32.9",multiple compact point candidates
DOD_111689090,65,64,3,240.2,315.0,27,195.9,68.0,"240.2:315.0:a27:l195.9:c68.0;240.7:321.4:a7:l165.9:c37.5;240.0:308.0:a3:l155.3:c29.8",multiple compact point candidates
DOD_111689090,66,65,3,240.1,315.0,26,192.8,69.9,"240.1:315.0:a26:l192.8:c69.9;239.9:321.3:a10:l152.4:c29.7;239.6:307.9:a7:l150.1:c31.0",multiple compact point candidates
