video,release_id,report_id,frame_index,second,phase,phase_note,target_candidate,review_quality,bbox_x,bbox_y,bbox_w,bbox_h,component_area,aspect_ratio,center_x,center_y,component_min_luma,component_max_luma,component_mean_luma,local_median_luma,dark_contrast_delta_luma,detection_threshold,score,bottom_third_proxy,notes
DOD_111688723.mp4,DOW-UAP-PR19,DoW-UAP-D10,0,0.0,pre-crossing context,Before the DVIDS-described bottom-third crossing is visible locally,False,none,,,,,,,,,,,,,,,,,no lane-compatible dark elongated candidate recovered
DOD_111688723.mp4,DOW-UAP-PR19,DoW-UAP-D10,1,0.033,pre-crossing context,Before the DVIDS-described bottom-third crossing is visible locally,False,none,,,,,,,,,,,,,,,,,no lane-compatible dark elongated candidate recovered
DOD_111688723.mp4,DOW-UAP-PR19,DoW-UAP-D10,2,0.067,pre-crossing context,Before the DVIDS-described bottom-third crossing is visible locally,False,none,,,,,,,,,,,,,,,,,no lane-compatible dark elongated candidate recovered
DOD_111688723.mp4,DOW-UAP-PR19,DoW-UAP-D10,3,0.1,pre-crossing context,Before the DVIDS-described bottom-third crossing is visible locally,False,none,,,,,,,,,,,,,,,,,no lane-compatible dark elongated candidate recovered
DOD_111688723.mp4,DOW-UAP-PR19,DoW-UAP-D10,4,0.133,pre-crossing context,Before the DVIDS-described bottom-third crossing is visible locally,False,none,,,,,,,,,,,,,,,,,no lane-compatible dark elongated candidate recovered
DOD_111688723.mp4,DOW-UAP-PR19,DoW-UAP-D10,5,0.167,pre-crossing context,Before the DVIDS-described bottom-third crossing is visible locally,False,none,,,,,,,,,,,,,,,,,no lane-compatible dark elongated candidate recovered
DOD_111688723.mp4,DOW-UAP-PR19,DoW-UAP-D10,6,0.2,pre-crossing context,Before the DVIDS-described bottom-third crossing is visible locally,False,none,,,,,,,,,,,,,,,,,no lane-compatible dark elongated candidate recovered
DOD_111688723.mp4,DOW-UAP-PR19,DoW-UAP-D10,7,0.233,pre-crossing context,Before the DVIDS-described bottom-third crossing is visible locally,False,none,,,,,,,,,,,,,,,,,no lane-compatible dark elongated candidate recovered
DOD_111688723.mp4,DOW-UAP-PR19,DoW-UAP-D10,8,0.267,pre-crossing context,Before the DVIDS-described bottom-third crossing is visible locally,False,none,,,,,,,,,,,,,,,,,no lane-compatible dark elongated candidate recovered
DOD_111688723.mp4,DOW-UAP-PR19,DoW-UAP-D10,9,0.3,pre-crossing context,Before the DVIDS-described bottom-third crossing is visible locally,False,none,,,,,,,,,,,,,,,,,no lane-compatible dark elongated candidate recovered
DOD_111688723.mp4,DOW-UAP-PR19,DoW-UAP-D10,10,0.333,pre-crossing context,Before the DVIDS-described bottom-third crossing is visible locally,False,none,,,,,,,,,,,,,,,,,no lane-compatible dark elongated candidate recovered
DOD_111688723.mp4,DOW-UAP-PR19,DoW-UAP-D10,11,0.367,pre-crossing context,Before the DVIDS-described bottom-third crossing is visible locally,False,none,,,,,,,,,,,,,,,,,no lane-compatible dark elongated candidate recovered
DOD_111688723.mp4,DOW-UAP-PR19,DoW-UAP-D10,12,0.4,pre-crossing context,Before the DVIDS-described bottom-third crossing is visible locally,False,none,,,,,,,,,,,,,,,,,no lane-compatible dark elongated candidate recovered
DOD_111688723.mp4,DOW-UAP-PR19,DoW-UAP-D10,13,0.433,pre-crossing context,Before the DVIDS-described bottom-third crossing is visible locally,False,none,,,,,,,,,,,,,,,,,no lane-compatible dark elongated candidate recovered
DOD_111688723.mp4,DOW-UAP-PR19,DoW-UAP-D10,14,0.467,pre-crossing context,Before the DVIDS-described bottom-third crossing is visible locally,False,none,,,,,,,,,,,,,,,,,no lane-compatible dark elongated candidate recovered
DOD_111688723.mp4,DOW-UAP-PR19,DoW-UAP-D10,15,0.5,pre-crossing context,Before the DVIDS-described bottom-third crossing is visible locally,False,none,,,,,,,,,,,,,,,,,no lane-compatible dark elongated candidate recovered
DOD_111688723.mp4,DOW-UAP-PR19,DoW-UAP-D10,16,0.533,pre-crossing context,Before the DVIDS-described bottom-third crossing is visible locally,False,none,,,,,,,,,,,,,,,,,no lane-compatible dark elongated candidate recovered
DOD_111688723.mp4,DOW-UAP-PR19,DoW-UAP-D10,17,0.567,pre-crossing context,Before the DVIDS-described bottom-third crossing is visible locally,False,none,,,,,,,,,,,,,,,,,no lane-compatible dark elongated candidate recovered
