video,release_id,report_id,frame_index,second,phase,phase_note,target_candidate,review_quality,candidate_count,pair_score,pair_center_x,pair_center_y,pair_separation_px,pair_x_spread_px,pair_y_spread_px,pair_center_distance_from_reticle_px,first_center_x,first_center_y,first_area,first_bbox_w,first_bbox_h,first_polarity,first_contrast_delta_luma,second_center_x,second_center_y,second_area,second_bbox_w,second_bbox_h,second_polarity,second_contrast_delta_luma,notes
DOD_111688762.mp4,DOW-UAP-PR21,DoW-UAP-D14,0,0.0,central two-area runtime,DVIDS: two areas of contrast move together near center field throughout runtime,True,high,17,660.014835,1126.697,504.011,73.308,65.878,32.16,170.538,1093.759,487.931,29,4,9,bright,102.0,1159.636,520.091,11,4,3,dark,47.0,strong central two-area contrast proxy aligned with DVIDS description
DOD_111688762.mp4,DOW-UAP-PR21,DoW-UAP-D14,30,1.0,central two-area runtime,DVIDS: two areas of contrast move together near center field throughout runtime,True,high,12,603.407269,1069.77,431.561,106.881,31.541,102.122,154.3,1085.541,482.622,37,4,10,bright,105.0,1054.0,380.5,6,3,2,bright,31.0,strong central two-area contrast proxy aligned with DVIDS description
DOD_111688762.mp4,DOW-UAP-PR21,DoW-UAP-D14,60,2.0,central two-area runtime,DVIDS: two areas of contrast move together near center field throughout runtime,True,medium,15,409.349991,857.262,676.611,81.395,74.048,33.794,170.932,820.237,693.508,59,18,6,dark,43.0,894.286,659.714,21,6,4,dark,40.0,"usable central two-area contrast proxy, but terrain/texture confounds remain"
DOD_111688762.mp4,DOW-UAP-PR21,DoW-UAP-D14,90,3.0,central two-area runtime,DVIDS: two areas of contrast move together near center field throughout runtime,True,high,14,875.59353,1118.213,465.594,146.301,136.359,53.012,174.836,1050.033,492.1,30,5,8,bright,110.0,1186.392,439.088,102,17,9,dark,57.0,strong central two-area contrast proxy aligned with DVIDS description
DOD_111688762.mp4,DOW-UAP-PR21,DoW-UAP-D14,120,4.0,central two-area runtime,DVIDS: two areas of contrast move together near center field throughout runtime,True,medium,17,348.55245,1131.869,495.181,106.072,58.262,88.638,177.617,1102.738,450.862,65,13,9,dark,43.0,1161.0,539.5,6,3,2,dark,44.0,"usable central two-area contrast proxy, but terrain/texture confounds remain"
DOD_111688762.mp4,DOW-UAP-PR21,DoW-UAP-D14,150,5.0,central two-area runtime,DVIDS: two areas of contrast move together near center field throughout runtime,True,medium,13,389.725278,1067.032,637.187,110.348,35.492,104.484,144.572,1049.286,689.429,70,14,8,dark,45.0,1084.778,584.944,18,7,5,dark,28.0,"usable central two-area contrast proxy, but terrain/texture confounds remain"
DOD_111688762.mp4,DOW-UAP-PR21,DoW-UAP-D14,180,6.0,central two-area runtime,DVIDS: two areas of contrast move together near center field throughout runtime,True,medium,8,377.012053,983.673,724.856,82.458,52.347,63.712,186.366,1009.847,756.712,111,19,10,dark,38.0,957.5,693.0,6,2,3,dark,37.0,"usable central two-area contrast proxy, but terrain/texture confounds remain"
DOD_111688762.mp4,DOW-UAP-PR21,DoW-UAP-D14,210,7.0,central two-area runtime,DVIDS: two areas of contrast move together near center field throughout runtime,True,medium,19,353.448679,928.5,440.25,83.002,73.0,39.5,104.606,965.0,460.0,9,3,3,bright,38.0,892.0,420.5,18,5,4,dark,37.0,"usable central two-area contrast proxy, but terrain/texture confounds remain"
DOD_111688762.mp4,DOW-UAP-PR21,DoW-UAP-D14,240,8.0,central two-area runtime,DVIDS: two areas of contrast move together near center field throughout runtime,True,high,12,848.495742,1014.895,599.581,154.236,80.483,131.572,81.015,1055.136,533.795,44,6,10,bright,111.0,974.653,665.367,49,13,6,dark,40.0,strong central two-area contrast proxy aligned with DVIDS description
DOD_111688762.mp4,DOW-UAP-PR21,DoW-UAP-D14,270,9.0,central two-area runtime,DVIDS: two areas of contrast move together near center field throughout runtime,False,low,16,516.80129,810.803,577.355,14.982,14.355,4.29,153.803,817.98,575.21,100,22,7,dark,41.0,803.625,579.5,24,5,8,dark,40.0,weak or poorly centered two-area proxy; retained as context only
DOD_111688762.mp4,DOW-UAP-PR21,DoW-UAP-D14,300,10.0,late terminal frame,final brightened/noisy end sample; treat as low-confidence context,False,low,6,253.360041,899.5,453.5,179.388,154.0,92.0,105.558,976.5,407.5,4,2,2,dark,38.0,822.5,499.5,4,2,2,dark,33.0,late brightened/noisy terminal row; not reliable for two-area support

