video,release_id,report_id,frame_index,second,phase,phase_note,target_candidate,review_quality,candidate_count,candidate_score,candidate_center_x,candidate_center_y,candidate_area,candidate_bbox_w,candidate_bbox_h,candidate_aspect_ratio,candidate_min_luma,candidate_max_luma,candidate_mean_luma,candidate_mean_signed_delta_luma,candidate_contrast_delta_luma,candidate_distance_from_expected_px,notes
DOD_111688775.mp4,DOW-UAP-PR22,DoW-UAP-D16,0,0.0,startup/black interval,startup frame; no reliable PR22 target context,False,none,0,,,,,,,,,,,,,,no usable dark elongated upper-field candidate recovered
DOD_111688775.mp4,DOW-UAP-PR22,DoW-UAP-D16,30,1.0,upper-field dark-contrast interval,"DVIDS: at about five seconds, object moves right-to-left across top-right field",True,high,2,1568.01776,373.37,329.766,516,58,29,2.0,10,138,75.120155,-84.370155,150.0,23.929,strong dark elongated upper-field contrast candidate near DVIDS-described interval
DOD_111688775.mp4,DOW-UAP-PR22,DoW-UAP-D16,60,2.0,upper-field dark-contrast interval,"DVIDS: at about five seconds, object moves right-to-left across top-right field",True,high,2,1552.842972,379.959,338.21,518,59,27,2.185185,13,139,74.530888,-85.059846,145.0,15.147,strong dark elongated upper-field contrast candidate near DVIDS-described interval
DOD_111688775.mp4,DOW-UAP-PR22,DoW-UAP-D16,90,3.0,upper-field dark-contrast interval,"DVIDS: at about five seconds, object moves right-to-left across top-right field",True,high,2,1560.245039,385.585,342.472,530,59,28,2.107143,16,139,72.622642,-85.877358,143.0,9.734,strong dark elongated upper-field contrast candidate near DVIDS-described interval
DOD_111688775.mp4,DOW-UAP-PR22,DoW-UAP-D16,120,4.0,upper-field dark-contrast interval,"DVIDS: at about five seconds, object moves right-to-left across top-right field",True,high,2,1555.997869,389.351,344.333,510,57,27,2.111111,10,137,73.501961,-84.658824,148.0,7.12,strong dark elongated upper-field contrast candidate near DVIDS-described interval
DOD_111688775.mp4,DOW-UAP-PR22,DoW-UAP-D16,150,5.0,upper-field dark-contrast interval,"DVIDS: at about five seconds, object moves right-to-left across top-right field",True,high,2,1584.301039,391.864,345.006,522,57,27,2.111111,8,146,73.938697,-84.168582,150.0,5.907,strong dark elongated upper-field contrast candidate near DVIDS-described interval
DOD_111688775.mp4,DOW-UAP-PR22,DoW-UAP-D16,180,6.0,upper-field dark-contrast interval,"DVIDS: at about five seconds, object moves right-to-left across top-right field",True,high,2,1561.210834,398.291,347.715,519,57,26,2.192308,13,137,73.909441,-85.00578,146.0,8.387,strong dark elongated upper-field contrast candidate near DVIDS-described interval
DOD_111688775.mp4,DOW-UAP-PR22,DoW-UAP-D16,210,7.0,upper-field dark-contrast interval,"DVIDS: at about five seconds, object moves right-to-left across top-right field",True,high,2,1585.106662,400.427,351.465,527,57,27,2.111111,10,138,74.688805,-85.083491,149.0,12.684,strong dark elongated upper-field contrast candidate near DVIDS-described interval
DOD_111688775.mp4,DOW-UAP-PR22,DoW-UAP-D16,240,8.0,upper-field dark-contrast interval,"DVIDS: at about five seconds, object moves right-to-left across top-right field",True,high,2,1522.479384,404.756,354.827,521,58,24,2.416667,22,149,76.234165,-82.884837,137.0,17.749,strong dark elongated upper-field contrast candidate near DVIDS-described interval
DOD_111688775.mp4,DOW-UAP-PR22,DoW-UAP-D16,270,9.0,post-event transition context,later scene/contrast transition; retained as context only,False,none,0,,,,,,,,,,,,,,no usable dark elongated upper-field candidate recovered
DOD_111688775.mp4,DOW-UAP-PR22,DoW-UAP-D16,300,10.0,post-event transition context,later scene/contrast transition; retained as context only,False,low,7,623.912728,405.5,346.5,8,4,2,2.0,33,165,96.875,-49.125,113.0,12.349,post-event scene transition or false candidate; retained as context only
DOD_111688775.mp4,DOW-UAP-PR22,DoW-UAP-D16,330,11.0,post-event transition context,later scene/contrast transition; retained as context only,False,none,0,,,,,,,,,,,,,,no usable dark elongated upper-field candidate recovered
DOD_111688775.mp4,DOW-UAP-PR22,DoW-UAP-D16,360,12.0,post-event transition context,later scene/contrast transition; retained as context only,False,none,0,,,,,,,,,,,,,,no usable dark elongated upper-field candidate recovered
DOD_111688775.mp4,DOW-UAP-PR22,DoW-UAP-D16,390,13.0,post-event transition context,later scene/contrast transition; retained as context only,False,none,0,,,,,,,,,,,,,,no usable dark elongated upper-field candidate recovered
DOD_111688775.mp4,DOW-UAP-PR22,DoW-UAP-D16,420,14.0,post-event transition context,later scene/contrast transition; retained as context only,False,none,0,,,,,,,,,,,,,,no usable dark elongated upper-field candidate recovered

