video,release_id,report_id,frame_index,second,phase,phase_note,target_candidate,review_quality,candidate_count,candidate_score,candidate_center_x,candidate_center_y,candidate_area,candidate_bbox_w,candidate_bbox_h,candidate_aspect_ratio,candidate_min_luma,candidate_max_luma,candidate_mean_luma,candidate_mean_signed_delta_luma,candidate_contrast_delta_luma,candidate_line_distance_px,candidate_expected_distance_px,candidate_line_projection_fraction,expected_center_x,expected_center_y,notes
DOD_111688809.mp4,DOW-UAP-PR23,DoW-UAP-D18,0,0.0,early diagonal-lane context,DVIDS: lower-left to upper-right movement; early/lower-half support is not cleanly recoverable in this public MP4,False,low,15,540.010283,449.981,819.448,105,19,12,1.583333,216,251,242.161905,103.266667,152.0,108.915,133.901,0.057272,330.0,760.0,early diagonal-lane residual retained as context; lower-left-to-mid movement is not cleanly recovered
DOD_111688809.mp4,DOW-UAP-PR23,DoW-UAP-D18,15,0.5,early diagonal-lane context,DVIDS: lower-left to upper-right movement; early/lower-half support is not cleanly recoverable in this public MP4,False,low,15,543.842414,447.651,816.602,83,18,10,1.8,211,253,237.855422,116.180723,155.0,105.308,111.344,0.056745,430.0,706.667,early diagonal-lane residual retained as context; lower-left-to-mid movement is not cleanly recovered
DOD_111688809.mp4,DOW-UAP-PR23,DoW-UAP-D18,30,1.0,early diagonal-lane context,DVIDS: lower-left to upper-right movement; early/lower-half support is not cleanly recoverable in this public MP4,False,low,15,477.262815,449.625,815.989,88,16,12,1.333333,196,255,236.772727,110.159091,148.0,105.696,181.43,0.058238,530.0,653.333,early diagonal-lane residual retained as context; lower-left-to-mid movement is not cleanly recovered
DOD_111688809.mp4,DOW-UAP-PR23,DoW-UAP-D18,45,1.5,early diagonal-lane context,DVIDS: lower-left to upper-right movement; early/lower-half support is not cleanly recoverable in this public MP4,False,low,14,349.666356,449.682,814.841,44,12,7,1.714286,204,253,234.181818,118.931818,142.0,104.71,280.484,0.058672,630.0,600.0,early diagonal-lane residual retained as context; lower-left-to-mid movement is not cleanly recovered
DOD_111688809.mp4,DOW-UAP-PR23,DoW-UAP-D18,60,2.0,early diagonal-lane context,DVIDS: lower-left to upper-right movement; early/lower-half support is not cleanly recoverable in this public MP4,False,low,15,570.775642,810.692,466.055,91,9,38,4.222222,12,139,71.175824,-68.131868,117.0,33.155,114.059,0.413579,730.0,546.667,early diagonal-lane residual retained as context; lower-left-to-mid movement is not cleanly recovered
DOD_111688809.mp4,DOW-UAP-PR23,DoW-UAP-D18,75,2.5,early diagonal-lane context,DVIDS: lower-left to upper-right movement; early/lower-half support is not cleanly recoverable in this public MP4,False,low,15,271.494912,1363.427,218.415,82,8,16,2.0,132,206,175.439024,69.512195,104.0,8.449,600.104,0.857876,830.0,493.333,early diagonal-lane residual retained as context; lower-left-to-mid movement is not cleanly recovered
DOD_111688809.mp4,DOW-UAP-PR23,DoW-UAP-D18,90,3.0,early diagonal-lane context,DVIDS: lower-left to upper-right movement; early/lower-half support is not cleanly recoverable in this public MP4,False,low,15,267.162206,1360.191,216.324,68,8,13,1.625,125,202,180.352941,64.632353,94.0,5.081,484.867,0.8565,930.0,440.0,early diagonal-lane residual retained as context; lower-left-to-mid movement is not cleanly recovered
DOD_111688809.mp4,DOW-UAP-PR23,DoW-UAP-D18,105,3.5,upper-right exit interval,DVIDS: area of contrast exits near the upper-right around six seconds,False,low,15,286.726364,1358.696,215.429,56,7,12,1.714286,125,207,178.0,59.053571,88.0,3.588,370.626,0.85584,1030.0,386.667,"weak, poorly phased, or poorly located diagonal-lane residual; retained as context only"
DOD_111688809.mp4,DOW-UAP-PR23,DoW-UAP-D18,120,4.0,upper-right exit interval,DVIDS: area of contrast exits near the upper-right around six seconds,False,low,15,473.013812,1322.676,237.622,37,17,3,5.666667,75,104,84.189189,-51.027027,83.0,6.219,215.139,0.824791,1130.0,333.333,"weak, poorly phased, or poorly located diagonal-lane residual; retained as context only"
DOD_111688809.mp4,DOW-UAP-PR23,DoW-UAP-D18,135,4.5,upper-right exit interval,DVIDS: area of contrast exits near the upper-right around six seconds,True,medium,15,667.753598,1272.366,223.935,93,10,26,2.6,133,216,190.053763,66.989247,110.0,29.532,70.271,0.796886,1230.0,280.0,best recovered upper-right diagonal/exit residual candidate near DVIDS-described interval; not a clean moving track
DOD_111688809.mp4,DOW-UAP-PR23,DoW-UAP-D18,150,5.0,upper-right exit interval,DVIDS: area of contrast exits near the upper-right around six seconds,True,medium,15,679.117212,1271.205,224.58,112,10,26,2.6,121,213,186.848214,72.875,105.0,29.509,58.832,0.79591,1330.0,226.667,best recovered upper-right diagonal/exit residual candidate near DVIDS-described interval; not a clean moving track
