video,release_id,report_id,sample_index,approx_second,source_frame_index,review_phase,dvids_anchor,review_quality,candidate_count,target_center_x,target_center_y,bbox_x0,bbox_y0,bbox_w,bbox_h,component_area,fill_ratio,left_quarter_proxy,elongation_proxy,component_max_luma,component_min_luma,component_mean_luma,local_median_luma,contrast_delta,aspect_ratio,distance_from_reticle_px,edge_margin_px,detection_threshold,raw_score,caveat,annotated_frame_path,zoom_patch_path
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,0,0.0,0,primary visible left-field contrast,DVIDS image description: encircled elongated area of contrast in top-left quarter; D12 described north-to-northeast movement,high,1,458.3,530.4,450,524,19,14,174,0.654,yes,yes,253,153,204.22,157.0,96.0,1.357,501.75,229.62,15.0,942.058,strong compact/elongated bright contrast in the DVIDS-described left/top-left lane,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/annotated-frames/frame_0000_annotated.jpg,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/target-patches/frame_0000_patch.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,1,1.0,30,primary visible left-field contrast,DVIDS image description: encircled elongated area of contrast in top-left quarter; D12 described north-to-northeast movement,high,1,451.4,495.6,443,488,19,15,180,0.632,yes,yes,248,105,159.54,101.0,147.0,1.267,510.51,264.36,15.0,1247.517,strong compact/elongated bright contrast in the DVIDS-described left/top-left lane,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/annotated-frames/frame_0001_annotated.jpg,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/target-patches/frame_0001_patch.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,2,2.0,60,primary visible left-field contrast,DVIDS image description: encircled elongated area of contrast in top-left quarter; D12 described north-to-northeast movement,high,1,448.1,448.8,440,442,17,15,182,0.714,yes,yes,250,102,175.86,113.0,137.0,1.133,519.94,298.12,15.0,1191.308,strong compact/elongated bright contrast in the DVIDS-described left/top-left lane,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/annotated-frames/frame_0002_annotated.jpg,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/target-patches/frame_0002_patch.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,3,3.0,90,primary visible left-field contrast,DVIDS image description: encircled elongated area of contrast in top-left quarter; D12 described north-to-northeast movement,high,1,437.4,416.9,432,412,14,12,117,0.696,yes,yes,185,102,140.38,103.0,82.0,1.167,536.95,287.35,15.0,861.181,strong compact/elongated bright contrast in the DVIDS-described left/top-left lane,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/annotated-frames/frame_0003_annotated.jpg,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/target-patches/frame_0003_patch.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,4,4.0,120,primary visible left-field contrast,DVIDS image description: encircled elongated area of contrast in top-left quarter; D12 described north-to-northeast movement,high,1,423.3,401.6,416,396,17,13,166,0.751,yes,yes,246,138,187.14,140.0,106.0,1.308,554.21,273.34,15.0,1008.611,strong compact/elongated bright contrast in the DVIDS-described left/top-left lane,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/annotated-frames/frame_0004_annotated.jpg,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/target-patches/frame_0004_patch.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,5,5.0,150,primary visible left-field contrast,DVIDS image description: encircled elongated area of contrast in top-left quarter; D12 described north-to-northeast movement,high,1,417.6,403.3,411,398,16,11,119,0.676,yes,yes,131,51,88.03,51.0,80.0,1.455,559.38,267.57,15.0,849.684,strong compact/elongated bright contrast in the DVIDS-described left/top-left lane,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/annotated-frames/frame_0005_annotated.jpg,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/target-patches/frame_0005_patch.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,6,6.0,180,primary visible left-field contrast,DVIDS image description: encircled elongated area of contrast in top-left quarter; D12 described north-to-northeast movement,high,1,423.8,404.7,415,398,18,14,165,0.655,yes,yes,246,82,146.3,81.0,165.0,1.286,553.03,273.79,15.0,1358.26,strong compact/elongated bright contrast in the DVIDS-described left/top-left lane,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/annotated-frames/frame_0006_annotated.jpg,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/target-patches/frame_0006_patch.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,7,7.0,210,primary visible left-field contrast,DVIDS image description: encircled elongated area of contrast in top-left quarter; D12 described north-to-northeast movement,high,1,425.6,401.2,421,396,11,12,109,0.826,yes,yes,142,48,82.42,45.0,97.0,1.091,552.08,275.64,15.0,956.193,strong compact/elongated bright contrast in the DVIDS-described left/top-left lane,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/annotated-frames/frame_0007_annotated.jpg,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/target-patches/frame_0007_patch.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,8,8.0,240,primary visible left-field contrast,DVIDS image description: encircled elongated area of contrast in top-left quarter; D12 described north-to-northeast movement,high,1,422.0,394.5,413,387,20,17,207,0.609,yes,yes,242,72,138.9,75.0,167.0,1.176,557.34,272.0,15.0,1368.264,strong compact/elongated bright contrast in the DVIDS-described left/top-left lane,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/annotated-frames/frame_0008_annotated.jpg,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/target-patches/frame_0008_patch.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,9,9.0,270,primary visible left-field contrast,DVIDS image description: encircled elongated area of contrast in top-left quarter; D12 described north-to-northeast movement,high,1,413.6,391.8,405,385,19,15,200,0.702,yes,yes,225,72,135.11,79.0,146.0,1.267,566.1,263.63,15.0,1247.063,strong compact/elongated bright contrast in the DVIDS-described left/top-left lane,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/annotated-frames/frame_0009_annotated.jpg,research/ufo-derived/video-motion-pass/pr26-d12-image-review/DOD_111688816/target-patches/frame_0009_patch.jpg
