video,release_id,report_id,sample_index,approx_second,source_frame_index,mean_abs_diff_from_previous_sample,changed_pixels_gt12_pct_from_previous_sample,red_or_orange_pixel_count,red_or_orange_bbox_x_y_w_h,sample_frame_path
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,0,0.0,0,,,0,,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-hard-pair-phase-review/DOD_111688816/sample-frames/frame_00_00.0s.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,1,4.0,120,43.832,78.0386,0,,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-hard-pair-phase-review/DOD_111688816/sample-frames/frame_01_04.0s.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,2,8.0,240,29.778,71.9575,0,,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-hard-pair-phase-review/DOD_111688816/sample-frames/frame_02_08.0s.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,3,12.0,360,7.807,22.1799,0,,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-hard-pair-phase-review/DOD_111688816/sample-frames/frame_03_12.0s.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,4,16.0,480,1.969,0.0577,0,,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-hard-pair-phase-review/DOD_111688816/sample-frames/frame_04_16.0s.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,5,20.0,600,1.844,0.0544,0,,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-hard-pair-phase-review/DOD_111688816/sample-frames/frame_05_20.0s.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,6,24.0,720,2.008,0.0543,0,,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-hard-pair-phase-review/DOD_111688816/sample-frames/frame_06_24.0s.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,7,28.0,840,5.938,10.1748,0,,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-hard-pair-phase-review/DOD_111688816/sample-frames/frame_07_28.0s.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,8,32.0,960,9.92,35.5028,0,,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-hard-pair-phase-review/DOD_111688816/sample-frames/frame_08_32.0s.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,9,36.0,1080,12.614,46.2275,0,,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-hard-pair-phase-review/DOD_111688816/sample-frames/frame_09_36.0s.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,10,40.0,1200,24.515,67.3481,0,,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-hard-pair-phase-review/DOD_111688816/sample-frames/frame_10_40.0s.jpg
DOD_111688816.mp4,DOW-UAP-PR26,DoW-UAP-D12,11,42.5,1275,10.537,34.3742,0,,C:/Users/Dan/Desktop/Projects/igh-planning/research/ufo-derived/video-hard-pair-phase-review/DOD_111688816/sample-frames/frame_11_42.5s.jpg

