video,release_id,report_id,sample_index,approx_second,source_frame_index,dvids_phase,dvids_anchor,review_quality,candidate_count,track_candidate_rank,target_center_x,target_center_y,bbox_x0,bbox_y0,bbox_w,bbox_h,component_area,fill_ratio,polarity,component_max_luma,component_min_luma,component_mean_luma,local_median_luma,bright_delta,dark_delta,contrast_delta,step_from_previous_supported_px,distance_from_expected_px,distance_from_reticle_px,overlay_relation,nearest_colored_overlay_px,caveat,annotated_frame_path,zoom_patch_path
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,0,116.0,3480,right-side acquisition,DVIDS 01:56 area of contrast becomes distinguishable at center-right,low,20,2,490.8,488.5,478.0,478.0,26,22,285,0.498,bright,201,102,157.85,89.0,112.0,-13.0,112.0,,970.28,471.99,separate from colored overlay,199.47,"weak, distant from expected lane, overlay-adjacent, or background-confounded contrast candidate",research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/annotated-frames/frame_0000_annotated.jpg,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/target-patches/frame_0000_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,1,117.0,3510,right-side acquisition,DVIDS 01:56 area of contrast becomes distinguishable at center-right,low,20,1,481.9,489.7,468.0,480.0,27,21,275,0.485,bright,204,95,158.32,89.0,115.0,-6.0,115.0,,916.7,480.72,separate from colored overlay,200.66,"weak, distant from expected lane, overlay-adjacent, or background-confounded contrast candidate",research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/annotated-frames/frame_0001_annotated.jpg,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/target-patches/frame_0001_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,2,118.0,3540,right-side acquisition,DVIDS 01:56 area of contrast becomes distinguishable at center-right,low,20,1,473.7,490.4,463.0,480.0,23,21,268,0.555,bright,204,101,158.92,88.0,116.0,-13.0,116.0,,862.45,488.82,separate from colored overlay,201.46,"weak, distant from expected lane, overlay-adjacent, or background-confounded contrast candidate",research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/annotated-frames/frame_0002_annotated.jpg,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/target-patches/frame_0002_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,3,119.0,3570,right-side acquisition,DVIDS 01:56 area of contrast becomes distinguishable at center-right,low,20,1,464.4,491.6,454.0,481.0,23,21,262,0.542,bright,200,103,158.98,88.0,112.0,-15.0,112.0,,809.3,497.99,separate from colored overlay,203.17,"weak, distant from expected lane, overlay-adjacent, or background-confounded contrast candidate",research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/annotated-frames/frame_0003_annotated.jpg,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/target-patches/frame_0003_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,4,120.0,3600,right-side acquisition,DVIDS 01:56 area of contrast becomes distinguishable at center-right,low,20,1,456.5,493.1,445.0,482.0,24,22,276,0.523,bright,203,88,159.5,88.0,115.0,0.0,115.0,,754.64,505.65,separate from colored overlay,205.49,"weak, distant from expected lane, overlay-adjacent, or background-confounded contrast candidate",research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/annotated-frames/frame_0004_annotated.jpg,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/target-patches/frame_0004_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,5,121.0,3630,right-side acquisition,DVIDS 01:56 area of contrast becomes distinguishable at center-right,low,20,1,448.2,496.1,436.0,486.0,25,21,284,0.541,bright,204,97,158.36,88.0,116.0,-9.0,116.0,,700.34,513.64,separate from colored overlay,209.49,"weak, distant from expected lane, overlay-adjacent, or background-confounded contrast candidate",research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/annotated-frames/frame_0005_annotated.jpg,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/target-patches/frame_0005_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,6,122.0,3660,right-side acquisition,DVIDS 01:56 area of contrast becomes distinguishable at center-right,low,20,1,440.7,499.0,430.0,489.0,23,21,258,0.534,bright,211,97,160.77,88.0,123.0,-9.0,123.0,,645.3,520.91,separate from colored overlay,213.66,"weak, distant from expected lane, overlay-adjacent, or background-confounded contrast candidate",research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/annotated-frames/frame_0006_annotated.jpg,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/target-patches/frame_0006_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,7,123.0,3690,right-side acquisition,DVIDS 01:56 area of contrast becomes distinguishable at center-right,low,20,1,435.3,500.1,424.0,490.0,24,21,279,0.554,bright,203,97,160.89,88.0,115.0,-9.0,115.0,,588.27,526.25,separate from colored overlay,215.83,"weak, distant from expected lane, overlay-adjacent, or background-confounded contrast candidate",research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/annotated-frames/frame_0007_annotated.jpg,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/target-patches/frame_0007_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,8,124.0,3720,sensor pans to center,DVIDS 02:04 sensor pans to center on area of contrast,low,20,1,432.2,501.7,419.0,491.0,26,21,274,0.502,bright,206,102,160.71,89.0,117.0,-13.0,117.0,,529.2,529.2,separate from colored overlay,217.99,"weak, distant from expected lane, overlay-adjacent, or background-confounded contrast candidate",research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/annotated-frames/frame_0008_annotated.jpg,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/target-patches/frame_0008_patch.jpg
DOD_111688825.mp4,DOW-UAP-PR27,DoW-UAP-D23,9,125.0,3750,sensor pans to center,DVIDS 02:04 sensor pans to center on area of contrast,low,20,1,417.7,494.0,406.0,484.0,24,21,279,0.554,bright,206,96,162.53,89.0,117.0,-7.0,117.0,,544.27,544.27,separate from colored overlay,214.22,"weak, distant from expected lane, overlay-adjacent, or background-confounded contrast candidate",research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/annotated-frames/frame_0009_annotated.jpg,research/ufo-derived/video-motion-pass/pr27-d23-review/DOD_111688825/target-patches/frame_0009_patch.jpg
