video,release_id,dvids_stated_report_id,content_report_id,pass_label,sample_index,approx_second,source_frame_index,dvids_phase,dvids_anchor,review_quality,candidate_count,track_candidate_rank,target_center_x,target_center_y,bbox_x0,bbox_y0,bbox_w,bbox_h,component_area,fill_ratio,component_max_luma,component_min_luma,component_mean_luma,local_median_luma,contrast_delta,step_from_previous_supported_px,distance_from_expected_px,distance_from_reticle_px,overlay_relation,nearest_colored_overlay_px,detection_threshold,caveat,annotated_frame_path,zoom_patch_path
DOD_111688954.mp4,DOW-UAP-PR28,DoW-UAP-D7,DoW-UAP-D25,full-clip,0,0.0,0,split-view startup,DVIDS 00:00-00:03 split EO/SWIR display before target is called out,low,20,1,998.8,480.3,989.0,473.0,24,17,256,0.627,194,149,173.98,105.0,89.0,,211.76,71.2,separate from colored overlay,330.92,49.0,startup row before DVIDS target callout,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/annotated-frames/frame_0000_annotated.jpg,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/target-patches/frame_0000_patch.jpg
DOD_111688954.mp4,DOW-UAP-PR28,DoW-UAP-D7,DoW-UAP-D25,full-clip,1,1.0,30,split-view startup,DVIDS 00:00-00:03 split EO/SWIR display before target is called out,none,0,,,,,,,,,,,,,,,,,,,,,no compact bright contrast component survived filtering,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/annotated-frames/frame_0001_annotated.jpg,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/target-patches/frame_0001_patch.jpg
DOD_111688954.mp4,DOW-UAP-PR28,DoW-UAP-D7,DoW-UAP-D25,full-clip,2,2.0,60,split-view startup,DVIDS 00:00-00:03 split EO/SWIR display before target is called out,low,20,1,1378.9,503.5,1370.0,494.0,20,21,269,0.64,183,126,159.52,97.0,86.0,,591.78,420.47,separate from colored overlay,35.03,24.0,startup row before DVIDS target callout,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/annotated-frames/frame_0002_annotated.jpg,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/target-patches/frame_0002_patch.jpg
DOD_111688954.mp4,DOW-UAP-PR28,DoW-UAP-D7,DoW-UAP-D25,full-clip,3,3.0,90,split-view startup,DVIDS 00:00-00:03 split EO/SWIR display before target is called out,low,20,1,1392.3,526.6,1383.0,517.0,20,22,305,0.693,185,125,159.64,95.0,90.0,,607.83,432.54,near colored overlay,9.32,26.0,startup row before DVIDS target callout,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/annotated-frames/frame_0003_annotated.jpg,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/target-patches/frame_0003_patch.jpg
DOD_111688954.mp4,DOW-UAP-PR28,DoW-UAP-D7,DoW-UAP-D25,full-clip,4,4.0,120,split-view initial contrast,DVIDS 00:04 area of contrast becomes distinguishable in the split display,low,20,1,1468.6,557.6,1457.0,551.0,25,15,262,0.699,207,114,176.06,105.0,102.0,,721.84,508.9,near colored overlay,8.62,27.0,weak or background-confounded split-view candidate,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/annotated-frames/frame_0004_annotated.jpg,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/target-patches/frame_0004_patch.jpg
DOD_111688954.mp4,DOW-UAP-PR28,DoW-UAP-D7,DoW-UAP-D25,full-clip,5,5.0,150,split-view initial contrast,DVIDS 00:04 area of contrast becomes distinguishable in the split display,low,20,1,1509.5,581.4,1501.0,573.0,19,19,247,0.684,180,126,159.85,91.0,89.0,,731.22,551.03,separate from colored overlay,40.86,31.0,weak or background-confounded split-view candidate,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/annotated-frames/frame_0005_annotated.jpg,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/target-patches/frame_0005_patch.jpg
DOD_111688954.mp4,DOW-UAP-PR28,DoW-UAP-D7,DoW-UAP-D25,full-clip,6,6.0,180,split-view initial contrast,DVIDS 00:04 area of contrast becomes distinguishable in the split display,low,20,1,1581.7,585.5,1574.0,577.0,18,20,242,0.672,182,130,161.5,87.0,95.0,,767.28,623.36,separate from colored overlay,100.38,33.0,weak or background-confounded split-view candidate,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/annotated-frames/frame_0006_annotated.jpg,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/target-patches/frame_0006_patch.jpg
DOD_111688954.mp4,DOW-UAP-PR28,DoW-UAP-D7,DoW-UAP-D25,full-clip,7,7.0,210,split-view initial contrast,DVIDS 00:04 area of contrast becomes distinguishable in the split display,low,20,1,1592.6,589.6,1585.0,580.0,18,21,248,0.656,186,125,161.27,86.0,100.0,,743.33,634.54,separate from colored overlay,112.8,34.0,weak or background-confounded split-view candidate,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/annotated-frames/frame_0007_annotated.jpg,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/target-patches/frame_0007_patch.jpg
DOD_111688954.mp4,DOW-UAP-PR28,DoW-UAP-D7,DoW-UAP-D25,full-clip,8,8.0,240,split-view initial contrast,DVIDS 00:04 area of contrast becomes distinguishable in the split display,none,0,,,,,,,,,,,,,,,,,,,,,no compact bright contrast component survived filtering,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/annotated-frames/frame_0008_annotated.jpg,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/target-patches/frame_0008_patch.jpg
DOD_111688954.mp4,DOW-UAP-PR28,DoW-UAP-D7,DoW-UAP-D25,full-clip,9,9.0,270,split-view initial contrast,DVIDS 00:04 area of contrast becomes distinguishable in the split display,medium,20,1,1076.2,333.1,1068.0,325.0,17,22,212,0.567,224,78,150.02,80.0,144.0,,182.79,237.3,separate from colored overlay,329.63,20.0,split-view candidate aligned with DVIDS initial contrast callout,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/annotated-frames/frame_0009_annotated.jpg,research/ufo-derived/video-motion-pass/pr28-d25-review/DOD_111688954/full-clip/target-patches/frame_0009_patch.jpg
