video,release_id,report_id,sample_index,approx_second,source_frame_index,phase,source_candidate_x,source_candidate_y,source_review_confidence,source_overlay_relation,source_bbox_w,source_bbox_h,source_area,source_candidate_count,source_detection_status,manual_x_full_frame,manual_y_full_frame,dx_from_frame_center,dy_from_frame_center,manual_status,manual_quality,nearest_prev_second,nearest_next_second,step_from_previous_px,image_plane_rate_px_s,step_heading_deg,caveat,annotated_frame_path,zoom_patch_path
DOD_111689011.mp4,DOW-UAP-PR34,DoW-UAP-D33,0,4.0,120,entry from bottom-left quarter,674.5,960.0,high,separate from colored reticle/overlay,4,5,16,4,accepted_source_detection,674.5,960.0,-285.5,420.0,accepted_detector_mark,high,,,,,,accepted detector-centered mark after false-top-edge rejection pass,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/pr34-d33-manual-track/DOD_111689011/annotated-frames/frame_0000_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/pr34-d33-manual-track/DOD_111689011/object-zoom-patches/frame_0000_patch.jpg
DOD_111689011.mp4,DOW-UAP-PR34,DoW-UAP-D33,1,4.5,135,entry from bottom-left quarter,1827.5,1.4,medium,no colored reticle/overlay detected,14,4,54,2,rejected_top_edge_artifact,547.2,911.4,-412.8,371.4,interpolated_detector_dropout,interpolated,4.0,5.0,136.28,272.56,-159.08,source detector selected recurring top-edge artifact; interpolated across 1.0s bounded by accepted detections,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/pr34-d33-manual-track/DOD_111689011/annotated-frames/frame_0001_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/pr34-d33-manual-track/DOD_111689011/object-zoom-patches/frame_0001_patch.jpg
DOD_111689011.mp4,DOW-UAP-PR34,DoW-UAP-D33,2,5.0,150,entry from bottom-left quarter,419.9,862.7,high,separate from colored reticle/overlay,7,4,25,5,accepted_source_detection,419.9,862.7,-540.1,322.7,accepted_detector_mark,high,,,136.28,272.56,-159.08,accepted detector-centered mark after false-top-edge rejection pass,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/pr34-d33-manual-track/DOD_111689011/annotated-frames/frame_0002_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/pr34-d33-manual-track/DOD_111689011/object-zoom-patches/frame_0002_patch.jpg
DOD_111689011.mp4,DOW-UAP-PR34,DoW-UAP-D33,3,5.5,165,entry from bottom-left quarter,229.6,874.8,high,separate from colored reticle/overlay,7,3,17,6,accepted_source_detection,229.6,874.8,-730.4,334.8,accepted_detector_mark,high,,,190.68,381.37,176.36,accepted detector-centered mark after false-top-edge rejection pass,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/pr34-d33-manual-track/DOD_111689011/annotated-frames/frame_0003_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/pr34-d33-manual-track/DOD_111689011/object-zoom-patches/frame_0003_patch.jpg
DOD_111689011.mp4,DOW-UAP-PR34,DoW-UAP-D33,4,6.0,180,entry from bottom-left quarter,176.9,881.2,high,separate from colored reticle/overlay,11,5,45,4,accepted_source_detection,176.9,881.2,-783.1,341.2,accepted_detector_mark,high,,,53.09,106.17,173.08,accepted detector-centered mark after false-top-edge rejection pass,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/pr34-d33-manual-track/DOD_111689011/annotated-frames/frame_0004_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/pr34-d33-manual-track/DOD_111689011/object-zoom-patches/frame_0004_patch.jpg
DOD_111689011.mp4,DOW-UAP-PR34,DoW-UAP-D33,5,6.5,195,entry from bottom-left quarter,216.2,881.7,high,separate from colored reticle/overlay,9,4,29,7,accepted_source_detection,216.2,881.7,-743.8,341.7,accepted_detector_mark,high,,,39.3,78.61,0.73,accepted detector-centered mark after false-top-edge rejection pass,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/pr34-d33-manual-track/DOD_111689011/annotated-frames/frame_0005_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/pr34-d33-manual-track/DOD_111689011/object-zoom-patches/frame_0005_patch.jpg
DOD_111689011.mp4,DOW-UAP-PR34,DoW-UAP-D33,6,7.0,210,horizontal back-and-forth tracking,252.5,878.5,high,separate from colored reticle/overlay,6,4,20,5,accepted_source_detection,252.5,878.5,-707.5,338.5,accepted_detector_mark,high,,,36.44,72.88,-5.04,accepted detector-centered mark after false-top-edge rejection pass,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/pr34-d33-manual-track/DOD_111689011/annotated-frames/frame_0006_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/pr34-d33-manual-track/DOD_111689011/object-zoom-patches/frame_0006_patch.jpg
DOD_111689011.mp4,DOW-UAP-PR34,DoW-UAP-D33,7,7.5,225,horizontal back-and-forth tracking,299.8,874.8,high,separate from colored reticle/overlay,9,4,29,5,accepted_source_detection,299.8,874.8,-660.2,334.8,accepted_detector_mark,high,,,47.44,94.89,-4.47,accepted detector-centered mark after false-top-edge rejection pass,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/pr34-d33-manual-track/DOD_111689011/annotated-frames/frame_0007_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/pr34-d33-manual-track/DOD_111689011/object-zoom-patches/frame_0007_patch.jpg
DOD_111689011.mp4,DOW-UAP-PR34,DoW-UAP-D33,8,8.0,240,horizontal back-and-forth tracking,417.0,870.0,high,separate from colored reticle/overlay,5,3,15,6,accepted_source_detection,417.0,870.0,-543.0,330.0,accepted_detector_mark,high,,,117.3,234.6,-2.35,accepted detector-centered mark after false-top-edge rejection pass,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/pr34-d33-manual-track/DOD_111689011/annotated-frames/frame_0008_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/pr34-d33-manual-track/DOD_111689011/object-zoom-patches/frame_0008_patch.jpg
DOD_111689011.mp4,DOW-UAP-PR34,DoW-UAP-D33,9,8.5,255,horizontal back-and-forth tracking,1827.7,1.4,medium,separate from colored reticle/overlay,14,4,52,6,rejected_top_edge_artifact,621.5,852.8,-338.5,312.8,interpolated_detector_dropout,interpolated,8.0,9.0,205.18,410.35,-4.82,source detector selected recurring top-edge artifact; interpolated across 1.0s bounded by accepted detections,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/pr34-d33-manual-track/DOD_111689011/annotated-frames/frame_0009_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/pr34-d33-manual-track/DOD_111689011/object-zoom-patches/frame_0009_patch.jpg
