video,release_id,sample_index,approx_second,source_frame_index,is_dvids_event_window,dvids_phase,dvids_anchor,review_quality,candidate_count,target_center_x,target_center_y,expected_lane_x,expected_lane_y,distance_from_expected_lane_px,bbox_x0,bbox_y0,bbox_x1,bbox_y1,bbox_w,bbox_h,component_area,fill_ratio,max_luma,mean_luma,local_median_luma,brightness_delta,max_positive_contrast,mean_positive_contrast,positive_contrast_sum,positive_contrast_threshold,score,caveat,annotated_frame_path,zoom_patch_path
DOD_111689044.mp4,DOW-UAP-PR37,0,0.0,0,no,pre-described context,DVIDS gives no target description before 00:06,none,26,682.5,607.5,505.0,1028.0,456.46,672,604,692,613,20,9,103,0.572,98,86.398,119.0,-21.0,29,17.699,1823.0,17.0,563.105,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0000_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0000_patch.jpg
DOD_111689044.mp4,DOW-UAP-PR37,1,0.1,3,no,pre-described context,DVIDS gives no target description before 00:06,none,27,576.2,922.8,505.0,1028.0,127.06,570,921,582,925,12,4,38,0.792,111,103.368,121.0,-10.0,24,16.342,621.0,17.0,306.824,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0001_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0001_patch.jpg
DOD_111689044.mp4,DOW-UAP-PR37,2,0.2,6,no,pre-described context,DVIDS gives no target description before 00:06,none,31,765.0,826.6,505.0,1028.0,328.88,758,822,772,834,14,12,71,0.423,112,105.676,121.0,-9.0,25,18.225,1294.0,17.0,392.848,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0002_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0002_patch.jpg
DOD_111689044.mp4,DOW-UAP-PR37,3,0.3,9,no,pre-described context,DVIDS gives no target description before 00:06,none,29,769.5,823.9,505.0,1028.0,334.12,758,816,783,833,25,17,113,0.266,115,105.478,121.0,-6.0,29,18.186,2055.0,17.0,1167.136,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0003_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0003_patch.jpg
DOD_111689044.mp4,DOW-UAP-PR37,4,0.4,12,no,pre-described context,DVIDS gives no target description before 00:06,none,32,770.5,823.6,505.0,1028.0,335.05,758,815,785,834,27,19,131,0.255,115,105.168,121.0,-6.0,28,17.725,2322.0,17.0,1438.344,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0004_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0004_patch.jpg
DOD_111689044.mp4,DOW-UAP-PR37,5,0.5,15,no,pre-described context,DVIDS gives no target description before 00:06,none,28,665.2,764.2,505.0,1028.0,308.66,658,761,673,768,15,7,59,0.562,110,101.068,121.0,-11.0,28,18.068,1066.0,17.0,225.507,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0005_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0005_patch.jpg
DOD_111689044.mp4,DOW-UAP-PR37,6,0.6,18,no,pre-described context,DVIDS gives no target description before 00:06,none,27,478.5,1015.0,505.0,1028.0,29.52,478,1014,480,1017,2,3,6,1.0,136,131.833,121.0,15.0,20,16.333,98.0,17.0,58.449,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0006_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0006_patch.jpg
DOD_111689044.mp4,DOW-UAP-PR37,7,0.7,21,no,pre-described context,DVIDS gives no target description before 00:06,none,26,627.8,568.8,505.0,1028.0,475.38,617,563,637,575,20,12,118,0.492,107,99.958,122.0,-15.0,24,18.28,2157.0,17.0,837.871,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0007_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0007_patch.jpg
DOD_111689044.mp4,DOW-UAP-PR37,8,0.8,24,no,pre-described context,DVIDS gives no target description before 00:06,none,22,476.6,1015.8,505.0,1028.0,30.94,472,1013,481,1020,9,7,28,0.444,139,131.75,121.0,18.0,23,16.536,463.0,17.0,430.176,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0008_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0008_patch.jpg
DOD_111689044.mp4,DOW-UAP-PR37,9,0.9,27,no,pre-described context,DVIDS gives no target description before 00:06,none,27,660.0,758.0,505.0,1028.0,311.33,649,755,677,765,28,10,141,0.504,107,99.057,121.0,-14.0,24,16.489,2325.0,16.0,1509.495,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0009_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0009_patch.jpg
DOD_111689044.mp4,DOW-UAP-PR37,10,1.0,30,no,pre-described context,DVIDS gives no target description before 00:06,none,32,661.3,757.7,505.0,1028.0,312.22,648,754,677,764,29,10,124,0.428,107,99.024,121.0,-14.0,23,16.355,2028.0,16.0,1199.342,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0010_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0010_patch.jpg
DOD_111689044.mp4,DOW-UAP-PR37,11,1.1,33,no,pre-described context,DVIDS gives no target description before 00:06,none,20,470.1,1013.1,505.0,1028.0,37.94,467,1009,475,1017,8,8,52,0.812,145,134.692,121.0,24.0,29,17.423,906.0,17.0,892.187,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0011_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0011_patch.jpg
DOD_111689044.mp4,DOW-UAP-PR37,12,1.2,36,no,pre-described context,DVIDS gives no target description before 00:06,none,25,647.5,963.2,505.0,1028.0,156.52,642,959,655,969,13,10,83,0.638,102,93.735,121.0,-19.0,27,18.012,1495.0,17.0,1120.936,outside DVIDS-described 00:06-00:08 event window,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/annotated-frames/frame_0012_annotated.jpg,research/ufo-derived/video-motion-pass/pr37-track-review/DOD_111689044/target-patches/frame_0012_patch.jpg
