video,release_id,sample_index,approx_second,source_frame_index,dvids_phase,dvids_anchor,review_quality,candidate_count,track_candidate_rank,target_center_x,target_center_y,bbox_x0,bbox_y0,bbox_w,bbox_h,component_area,polarity,component_max_luma,component_min_luma,component_mean_luma,local_median_luma,bright_delta,dark_delta,contrast_delta,step_from_previous_supported_px,distance_from_reticle_px,overlay_relation,nearest_colored_overlay_px,caveat,annotated_frame_path,zoom_patch_path
DOD_111689083.mp4,DOW-UAP-PR41,0,0.0,0,pre-entry/startup,Before DVIDS 00:01 entry description,low,18,1,1352.9,657.0,1347.0,653.0,14,9,67,bright,218,201,211.7,196.0,22.0,-5.0,22.0,,407.73,separate from colored overlay,148.7,pre-entry or weak startup row,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/annotated-frames/frame_0000_annotated.jpg,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/target-patches/frame_0000_patch.jpg
DOD_111689083.mp4,DOW-UAP-PR41,1,1.0,30,left-side entry,DVIDS 00:01 area of contrast enters from bottom third of left side,low,16,1,1331.1,696.7,1324.0,689.0,17,15,114,bright,208,199,203.01,187.0,21.0,-12.0,21.0,,399.81,separate from colored overlay,105.21,pre-entry or weak startup row,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/annotated-frames/frame_0001_annotated.jpg,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/target-patches/frame_0001_patch.jpg
DOD_111689083.mp4,DOW-UAP-PR41,2,2.0,60,sensor pan/tracking,DVIDS 00:02-01:34 sensor pans left-to-right while keeping area generally centered,medium,18,1,1341.0,682.8,1331.0,678.0,19,10,130,bright,217,196,207.62,188.0,29.0,-8.0,29.0,,404.13,separate from colored overlay,119.21,"usable but weak, background-confounded, or less smooth contrast candidate",research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/annotated-frames/frame_0002_annotated.jpg,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/target-patches/frame_0002_patch.jpg
DOD_111689083.mp4,DOW-UAP-PR41,3,3.0,90,sensor pan/tracking,DVIDS 00:02-01:34 sensor pans left-to-right while keeping area generally centered,low,13,1,1368.6,624.4,1364.0,621.0,10,8,59,bright,209,201,205.97,193.0,16.0,-8.0,16.0,64.584,415.67,separate from colored overlay,150.79,"weak, background-confounded, overlay-adjacent, or discontinuous contrast candidate",research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/annotated-frames/frame_0003_annotated.jpg,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/target-patches/frame_0003_patch.jpg
DOD_111689083.mp4,DOW-UAP-PR41,4,4.0,120,sensor pan/tracking,DVIDS 00:02-01:34 sensor pans left-to-right while keeping area generally centered,low,8,2,1403.1,661.9,1401.0,661.0,5,3,14,bright,209,204,207.14,196.0,13.0,-8.0,13.0,65.586,457.55,separate from colored overlay,161.69,"weak, background-confounded, overlay-adjacent, or discontinuous contrast candidate",research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/annotated-frames/frame_0004_annotated.jpg,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/target-patches/frame_0004_patch.jpg
DOD_111689083.mp4,DOW-UAP-PR41,5,5.0,150,sensor pan/tracking,DVIDS 00:02-01:34 sensor pans left-to-right while keeping area generally centered,low,3,2,1379.5,697.5,1379.0,697.0,2,2,4,bright,210,203,206.25,193.0,17.0,-10.0,17.0,41.222,445.34,separate from colored overlay,119.02,"weak, background-confounded, overlay-adjacent, or discontinuous contrast candidate",research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/annotated-frames/frame_0005_annotated.jpg,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/target-patches/frame_0005_patch.jpg
DOD_111689083.mp4,DOW-UAP-PR41,6,6.0,180,sensor pan/tracking,DVIDS 00:02-01:34 sensor pans left-to-right while keeping area generally centered,low,8,3,1261.1,771.0,1259.0,769.0,5,5,14,bright,200,190,194.71,183.0,17.0,-7.0,17.0,118.942,374.72,separate from colored overlay,55.13,"weak, background-confounded, overlay-adjacent, or discontinuous contrast candidate",research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/annotated-frames/frame_0006_annotated.jpg,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/target-patches/frame_0006_patch.jpg
DOD_111689083.mp4,DOW-UAP-PR41,7,7.0,210,sensor pan/tracking,DVIDS 00:02-01:34 sensor pans left-to-right while keeping area generally centered,low,2,2,1245.9,708.9,1245.0,708.0,3,3,8,bright,196,188,192.38,181.0,15.0,-7.0,15.0,98.604,328.03,separate from colored overlay,114.21,"weak, background-confounded, overlay-adjacent, or discontinuous contrast candidate",research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/annotated-frames/frame_0007_annotated.jpg,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/target-patches/frame_0007_patch.jpg
DOD_111689083.mp4,DOW-UAP-PR41,8,8.0,240,sensor pan/tracking,DVIDS 00:02-01:34 sensor pans left-to-right while keeping area generally centered,low,7,3,1260.0,697.0,1259.0,696.0,3,3,9,bright,204,194,199.11,186.0,18.0,-8.0,18.0,82.207,334.96,separate from colored overlay,115.38,"weak, background-confounded, overlay-adjacent, or discontinuous contrast candidate",research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/annotated-frames/frame_0008_annotated.jpg,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/target-patches/frame_0008_patch.jpg
DOD_111689083.mp4,DOW-UAP-PR41,9,9.0,270,sensor pan/tracking,DVIDS 00:02-01:34 sensor pans left-to-right while keeping area generally centered,low,7,1,1276.5,724.0,1275.0,723.0,4,3,12,bright,218,208,213.92,199.0,19.0,-9.0,19.0,76.5,362.14,separate from colored overlay,85.2,"weak, background-confounded, overlay-adjacent, or discontinuous contrast candidate",research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/annotated-frames/frame_0009_annotated.jpg,research/ufo-derived/video-motion-pass/pr41-track-review/DOD_111689083/target-patches/frame_0009_patch.jpg
