video,release_id,sample_index,approx_second,source_frame_index,loop_index,cycle_second,is_primary_observation,dvids_phase,dvids_anchor,review_quality,candidate_count,target_center_x,target_center_y,expected_lane_x,expected_lane_y,distance_from_expected_lane_px,bbox_x0,bbox_y0,bbox_w,bbox_h,component_area,mean_signed_luma_delta,max_residual_luma,mean_residual_luma,residual_threshold,background_shift_x,background_shift_y,phase_corr_response,raw_score,lane_score,caveat,annotated_frame_path,zoom_patch_path
DOD_111689759.mp4,DOW-UAP-PR43,0,0.0,0,0,0.000,yes,stated two-second observation,"DVIDS 00:00-00:02: small, barely distinguishable area of contrast moves left-to-right and exits from bottom-right quarter",none,0,,,115.0,425.0,,,,,,,,,,,,,,,,no compact residual component survived filtering near the expected lane,research/ufo-derived/video-motion-pass/pr43-loop-review/DOD_111689759/annotated-frames/frame_0000_annotated.jpg,research/ufo-derived/video-motion-pass/pr43-loop-review/DOD_111689759/target-patches/frame_0000_patch.jpg
DOD_111689759.mp4,DOW-UAP-PR43,1,0.1,3,0,0.100,yes,stated two-second observation,"DVIDS 00:00-00:02: small, barely distinguishable area of contrast moves left-to-right and exits from bottom-right quarter",none,2,753.0,885.5,162.4,447.5,735.33,752,885,3,2,6,-14.833,19.145,6.317,10.151,-0.0132,0.086,0.9885,47.475,-952.525,residual component is too weak or too far from the DVIDS-described lane,research/ufo-derived/video-motion-pass/pr43-loop-review/DOD_111689759/annotated-frames/frame_0001_annotated.jpg,research/ufo-derived/video-motion-pass/pr43-loop-review/DOD_111689759/target-patches/frame_0001_patch.jpg
DOD_111689759.mp4,DOW-UAP-PR43,2,0.2,6,0,0.200,yes,stated two-second observation,"DVIDS 00:00-00:02: small, barely distinguishable area of contrast moves left-to-right and exits from bottom-right quarter",none,7,731.5,894.0,209.8,469.9,672.34,731,893,2,3,6,-33.0,25.475,16.284,10.104,0.0003,0.0745,0.9775,110.441,-889.559,residual component is too weak or too far from the DVIDS-described lane,research/ufo-derived/video-motion-pass/pr43-loop-review/DOD_111689759/annotated-frames/frame_0002_annotated.jpg,research/ufo-derived/video-motion-pass/pr43-loop-review/DOD_111689759/target-patches/frame_0002_patch.jpg
DOD_111689759.mp4,DOW-UAP-PR43,3,0.3,9,0,0.300,yes,stated two-second observation,"DVIDS 00:00-00:02: small, barely distinguishable area of contrast moves left-to-right and exits from bottom-right quarter",none,8,133.5,952.5,257.1,492.4,476.42,133,952,2,2,4,24.25,17.372,11.605,10.037,-0.0144,0.0426,0.9843,55.106,-897.74,residual component is too weak or too far from the DVIDS-described lane,research/ufo-derived/video-motion-pass/pr43-loop-review/DOD_111689759/annotated-frames/frame_0003_annotated.jpg,research/ufo-derived/video-motion-pass/pr43-loop-review/DOD_111689759/target-patches/frame_0003_patch.jpg
DOD_111689759.mp4,DOW-UAP-PR43,4,0.4,12,0,0.400,yes,stated two-second observation,"DVIDS 00:00-00:02: small, barely distinguishable area of contrast moves left-to-right and exits from bottom-right quarter",none,7,725.5,897.5,304.5,514.9,568.88,725,897,2,2,4,29.25,20.523,15.078,10.115,0.0189,0.0729,0.9867,70.573,-929.427,residual component is too weak or too far from the DVIDS-described lane,research/ufo-derived/video-motion-pass/pr43-loop-review/DOD_111689759/annotated-frames/frame_0004_annotated.jpg,research/ufo-derived/video-motion-pass/pr43-loop-review/DOD_111689759/target-patches/frame_0004_patch.jpg
DOD_111689759.mp4,DOW-UAP-PR43,5,0.5,15,0,0.501,yes,stated two-second observation,"DVIDS 00:00-00:02: small, barely distinguishable area of contrast moves left-to-right and exits from bottom-right quarter",none,5,156.0,983.5,351.9,537.3,487.28,155,983,3,2,6,10.667,15.596,5.821,10.151,0.0071,0.0789,0.9803,42.724,-931.837,residual component is too weak or too far from the DVIDS-described lane,research/ufo-derived/video-motion-pass/pr43-loop-review/DOD_111689759/annotated-frames/frame_0005_annotated.jpg,research/ufo-derived/video-motion-pass/pr43-loop-review/DOD_111689759/target-patches/frame_0005_patch.jpg
DOD_111689759.mp4,DOW-UAP-PR43,6,0.6,18,0,0.601,yes,stated two-second observation,"DVIDS 00:00-00:02: small, barely distinguishable area of contrast moves left-to-right and exits from bottom-right quarter",none,3,717.5,898.0,399.3,559.8,464.37,717,897,2,3,6,14.667,15.569,5.037,10.151,-0.0028,0.0802,0.9831,38.01,-890.731,residual component is too weak or too far from the DVIDS-described lane,research/ufo-derived/video-motion-pass/pr43-loop-review/DOD_111689759/annotated-frames/frame_0006_annotated.jpg,research/ufo-derived/video-motion-pass/pr43-loop-review/DOD_111689759/target-patches/frame_0006_patch.jpg
DOD_111689759.mp4,DOW-UAP-PR43,7,0.7,21,0,0.701,yes,stated two-second observation,"DVIDS 00:00-00:02: small, barely distinguishable area of contrast moves left-to-right and exits from bottom-right quarter",none,5,695.5,679.5,446.7,582.3,267.16,695,679,2,2,4,-13.0,13.793,5.661,8.585,-0.006,0.0671,0.9903,29.542,-504.772,residual component is too weak or too far from the DVIDS-described lane,research/ufo-derived/video-motion-pass/pr43-loop-review/DOD_111689759/annotated-frames/frame_0007_annotated.jpg,research/ufo-derived/video-motion-pass/pr43-loop-review/DOD_111689759/target-patches/frame_0007_patch.jpg
DOD_111689759.mp4,DOW-UAP-PR43,8,0.8,24,0,0.801,yes,stated two-second observation,"DVIDS 00:00-00:02: small, barely distinguishable area of contrast moves left-to-right and exits from bottom-right quarter",none,0,,,494.0,604.7,,,,,,,,,,,,,,,,no compact residual component survived filtering near the expected lane,research/ufo-derived/video-motion-pass/pr43-loop-review/DOD_111689759/annotated-frames/frame_0008_annotated.jpg,research/ufo-derived/video-motion-pass/pr43-loop-review/DOD_111689759/target-patches/frame_0008_patch.jpg
DOD_111689759.mp4,DOW-UAP-PR43,9,0.9,27,0,0.901,yes,stated two-second observation,"DVIDS 00:00-00:02: small, barely distinguishable area of contrast moves left-to-right and exits from bottom-right quarter",none,6,728.0,898.5,541.4,627.2,329.26,727,897,3,4,8,-33.375,25.876,17.026,10.287,-0.0451,0.0996,0.9883,149.148,-509.373,residual component is too weak or too far from the DVIDS-described lane,research/ufo-derived/video-motion-pass/pr43-loop-review/DOD_111689759/annotated-frames/frame_0009_annotated.jpg,research/ufo-derived/video-motion-pass/pr43-loop-review/DOD_111689759/target-patches/frame_0009_patch.jpg
DOD_111689759.mp4,DOW-UAP-PR43,10,1.0,30,0,1.001,yes,stated two-second observation,"DVIDS 00:00-00:02: small, barely distinguishable area of contrast moves left-to-right and exits from bottom-right quarter",none,2,714.5,900.5,588.8,649.7,280.56,714,900,2,2,4,17.0,10.975,7.734,9.231,-0.0206,0.0683,0.9889,36.422,-524.702,residual component is too weak or too far from the DVIDS-described lane,research/ufo-derived/video-motion-pass/pr43-loop-review/DOD_111689759/annotated-frames/frame_0010_annotated.jpg,research/ufo-derived/video-motion-pass/pr43-loop-review/DOD_111689759/target-patches/frame_0010_patch.jpg
DOD_111689759.mp4,DOW-UAP-PR43,11,1.1,33,0,1.101,yes,stated two-second observation,"DVIDS 00:00-00:02: small, barely distinguishable area of contrast moves left-to-right and exits from bottom-right quarter",none,6,512.5,881.5,636.2,672.1,243.17,512,881,2,2,4,16.0,21.791,8.279,10.053,-0.0221,0.0725,0.9867,44.012,-442.33,residual component is too weak or too far from the DVIDS-described lane,research/ufo-derived/video-motion-pass/pr43-loop-review/DOD_111689759/annotated-frames/frame_0011_annotated.jpg,research/ufo-derived/video-motion-pass/pr43-loop-review/DOD_111689759/target-patches/frame_0011_patch.jpg
DOD_111689759.mp4,DOW-UAP-PR43,12,1.2,36,0,1.201,yes,stated two-second observation,"DVIDS 00:00-00:02: small, barely distinguishable area of contrast moves left-to-right and exits from bottom-right quarter",none,2,912.6,910.9,683.6,694.6,314.98,911,910,4,3,9,-14.889,19.623,8.28,8.205,0.0014,0.0281,1.0082,84.334,-545.635,residual component is too weak or too far from the DVIDS-described lane,research/ufo-derived/video-motion-pass/pr43-loop-review/DOD_111689759/annotated-frames/frame_0012_annotated.jpg,research/ufo-derived/video-motion-pass/pr43-loop-review/DOD_111689759/target-patches/frame_0012_patch.jpg
DOD_111689759.mp4,DOW-UAP-PR43,13,1.3,39,0,1.301,yes,stated two-second observation,"DVIDS 00:00-00:02: small, barely distinguishable area of contrast moves left-to-right and exits from bottom-right quarter",none,6,907.5,745.5,730.9,717.1,178.83,907,745,2,2,4,19.25,12.745,10.055,9.089,-0.0165,0.0549,0.9911,46.594,-311.058,residual component is too weak or too far from the DVIDS-described lane,research/ufo-derived/video-motion-pass/pr43-loop-review/DOD_111689759/annotated-frames/frame_0013_annotated.jpg,research/ufo-derived/video-motion-pass/pr43-loop-review/DOD_111689759/target-patches/frame_0013_patch.jpg
DOD_111689759.mp4,DOW-UAP-PR43,14,1.4,42,0,1.401,yes,stated two-second observation,"DVIDS 00:00-00:02: small, barely distinguishable area of contrast moves left-to-right and exits from bottom-right quarter",none,3,623.5,799.5,778.3,739.5,166.04,623,799,2,2,4,4.0,10.576,2.644,8.464,-0.0019,0.0131,0.9934,15.864,-316.207,residual component is too weak or too far from the DVIDS-described lane,research/ufo-derived/video-motion-pass/pr43-loop-review/DOD_111689759/annotated-frames/frame_0014_annotated.jpg,research/ufo-derived/video-motion-pass/pr43-loop-review/DOD_111689759/target-patches/frame_0014_patch.jpg
DOD_111689759.mp4,DOW-UAP-PR43,15,1.5,45,0,1.502,yes,stated two-second observation,"DVIDS 00:00-00:02: small, barely distinguishable area of contrast moves left-to-right and exits from bottom-right quarter",none,3,687.5,945.5,825.7,762.0,229.72,687,945,2,2,4,7.75,11.367,4.476,8.922,-0.0118,0.0329,0.9882,23.588,-435.859,residual component is too weak or too far from the DVIDS-described lane,research/ufo-derived/video-motion-pass/pr43-loop-review/DOD_111689759/annotated-frames/frame_0015_annotated.jpg,research/ufo-derived/video-motion-pass/pr43-loop-review/DOD_111689759/target-patches/frame_0015_patch.jpg
DOD_111689759.mp4,DOW-UAP-PR43,16,1.6,48,0,1.602,yes,stated two-second observation,"DVIDS 00:00-00:02: small, barely distinguishable area of contrast moves left-to-right and exits from bottom-right quarter",none,2,505.5,689.5,873.1,784.5,379.66,505,689,2,2,4,-8.5,9.076,3.661,8.712,-0.0189,0.02,0.9927,19.183,-740.138,residual component is too weak or too far from the DVIDS-described lane,research/ufo-derived/video-motion-pass/pr43-loop-review/DOD_111689759/annotated-frames/frame_0016_annotated.jpg,research/ufo-derived/video-motion-pass/pr43-loop-review/DOD_111689759/target-patches/frame_0016_patch.jpg
DOD_111689759.mp4,DOW-UAP-PR43,17,1.7,51,0,1.702,yes,stated two-second observation,"DVIDS 00:00-00:02: small, barely distinguishable area of contrast moves left-to-right and exits from bottom-right quarter",low,4,994.0,806.5,920.5,806.9,73.53,993,805,3,4,10,17.2,17.15,8.841,8.987,-0.0521,0.0645,0.9879,96.987,-50.073,weak lane-compatible residual below medium-support threshold,research/ufo-derived/video-motion-pass/pr43-loop-review/DOD_111689759/annotated-frames/frame_0017_annotated.jpg,research/ufo-derived/video-motion-pass/pr43-loop-review/DOD_111689759/target-patches/frame_0017_patch.jpg
DOD_111689759.mp4,DOW-UAP-PR43,18,1.8,54,0,1.802,yes,stated two-second observation,"DVIDS 00:00-00:02: small, barely distinguishable area of contrast moves left-to-right and exits from bottom-right quarter",medium,6,1011.4,819.6,967.9,829.4,44.62,1010,818,4,4,13,-31.692,39.103,14.67,9.33,-0.0353,0.0527,0.9919,210.256,121.017,lane-compatible compact residual; target remains barely distinguishable and terrain-confounded,research/ufo-derived/video-motion-pass/pr43-loop-review/DOD_111689759/annotated-frames/frame_0018_annotated.jpg,research/ufo-derived/video-motion-pass/pr43-loop-review/DOD_111689759/target-patches/frame_0018_patch.jpg
DOD_111689759.mp4,DOW-UAP-PR43,19,1.9,57,0,1.902,yes,stated two-second observation,"DVIDS 00:00-00:02: small, barely distinguishable area of contrast moves left-to-right and exits from bottom-right quarter",none,1,725.5,903.5,1015.2,851.9,294.3,725,903,2,2,4,-26.5,20.056,14.701,13.45,0.0059,0.11,0.9973,68.831,-519.762,residual component is too weak or too far from the DVIDS-described lane,research/ufo-derived/video-motion-pass/pr43-loop-review/DOD_111689759/annotated-frames/frame_0019_annotated.jpg,research/ufo-derived/video-motion-pass/pr43-loop-review/DOD_111689759/target-patches/frame_0019_patch.jpg
DOD_111689759.mp4,DOW-UAP-PR43,20,2.0,60,0,2.002,no,loop tail/reset padding,DVIDS says the clip is looped for viewing; local cycle contains post-observation/reset padding,low,5,1096.0,875.0,1062.6,874.3,33.39,1095,874,3,3,9,34.556,34.992,17.464,10.703,0.0244,0.0907,0.9916,174.676,107.889,post-DVIDS tail residual near expected exit lane; not counted as primary two-second support,research/ufo-derived/video-motion-pass/pr43-loop-review/DOD_111689759/annotated-frames/frame_0020_annotated.jpg,research/ufo-derived/video-motion-pass/pr43-loop-review/DOD_111689759/target-patches/frame_0020_patch.jpg
DOD_111689759.mp4,DOW-UAP-PR43,21,2.1,63,0,2.102,no,loop tail/reset padding,DVIDS says the clip is looped for viewing; local cycle contains post-observation/reset padding,low,6,1124.0,892.4,1110.0,896.8,14.69,1122,891,5,4,13,-40.769,34.809,18.274,10.211,0.0185,0.0716,0.9933,254.961,225.587,post-DVIDS tail residual near expected exit lane; not counted as primary two-second support,research/ufo-derived/video-motion-pass/pr43-loop-review/DOD_111689759/annotated-frames/frame_0021_annotated.jpg,research/ufo-derived/video-motion-pass/pr43-loop-review/DOD_111689759/target-patches/frame_0021_patch.jpg
