video,release_id,sample_index,approx_second,source_frame_index,phase,dvids_anchor,object_x_center_crop,object_y_center_crop,object_x_full_frame,object_y_full_frame,dx_from_crop_center,dy_from_crop_center,predicted_x_center_crop,predicted_y_center_crop,prev_seed_second,next_seed_second,seed_confidence,seed_note,refinement_delta_px,object_bbox_w,object_bbox_h,object_component_area,object_max_luma,object_mean_luma,candidate_count,nearest_colored_overlay_px,overlay_relation,review_confidence,marking_basis,annotated_frame_path,zoom_patch_path
DOD_111689115.mp4,DOW-UAP-PR44,0,154.0,4620,primary sustained point-return interval,Within DVIDS 00:31-03:24 sensor focus/track interval,455.8,243.6,935.8,513.6,-24.2,-26.4,455.8,243.6,154.0,154.0,medium,single compact white candidate,0.0,,,,,,,19.2,near colored overlay,low,interpolated one-fps seed only; local compact-bright refinement failed,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/annotated-center-crops/frame_0000_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/object-zoom-patches/frame_0000_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,1,154.2,4626,primary sustained point-return interval,Within DVIDS 00:31-03:24 sensor focus/track interval,442.3,240.8,922.3,510.8,-37.7,-29.2,442.3,240.8,154.0,155.0,interpolated,interpolated between one-fps seed detections,0.0,,,,,,,27.24,near colored overlay,low,interpolated one-fps seed only; local compact-bright refinement failed,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/annotated-center-crops/frame_0001_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/object-zoom-patches/frame_0001_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,2,154.4,4632,primary sustained point-return interval,Within DVIDS 00:31-03:24 sensor focus/track interval,428.8,237.9,908.8,507.9,-51.2,-32.1,428.8,237.9,154.0,155.0,interpolated,interpolated between one-fps seed detections,0.0,,,,,,,32.1,near colored overlay,low,interpolated one-fps seed only; local compact-bright refinement failed,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/annotated-center-crops/frame_0002_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/object-zoom-patches/frame_0002_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,3,154.6,4638,primary sustained point-return interval,Within DVIDS 00:31-03:24 sensor focus/track interval,415.3,235.1,895.3,505.1,-64.7,-34.9,415.3,235.1,154.0,155.0,interpolated,interpolated between one-fps seed detections,0.0,,,,,,,40.56,separate from colored overlay,low,interpolated one-fps seed only; local compact-bright refinement failed,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/annotated-center-crops/frame_0003_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/object-zoom-patches/frame_0003_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,4,154.8,4644,primary sustained point-return interval,Within DVIDS 00:31-03:24 sensor focus/track interval,401.8,232.2,881.8,502.2,-78.2,-37.8,401.8,232.2,154.0,155.0,interpolated,interpolated between one-fps seed detections,0.0,,,,,,,51.6,separate from colored overlay,low,interpolated one-fps seed only; local compact-bright refinement failed,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/annotated-center-crops/frame_0004_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/object-zoom-patches/frame_0004_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,5,155.0,4650,primary sustained point-return interval,Within DVIDS 00:31-03:24 sensor focus/track interval,388.3,229.4,868.3,499.4,-91.7,-40.6,388.3,229.4,155.0,155.0,high,single compact white candidate,0.0,,,,,,,63.72,separate from colored overlay,low,interpolated one-fps seed only; local compact-bright refinement failed,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/annotated-center-crops/frame_0005_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/object-zoom-patches/frame_0005_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,6,155.2,4656,primary sustained point-return interval,Within DVIDS 00:31-03:24 sensor focus/track interval,376.0,224.7,856.0,494.7,-104.0,-45.3,376.0,224.7,155.0,156.0,high,interpolated between one-fps seed detections,0.0,,,,,,,76.44,separate from colored overlay,low,interpolated one-fps seed only; local compact-bright refinement failed,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/annotated-center-crops/frame_0006_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/object-zoom-patches/frame_0006_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,7,155.4,4662,primary sustained point-return interval,Within DVIDS 00:31-03:24 sensor focus/track interval,399.5,233.0,879.5,503.0,-80.5,-37.0,363.8,219.9,155.0,156.0,high,interpolated between one-fps seed detections,38.04,2,3,6,248,190.5,1,52.78,separate from colored overlay,low,interpolated one-fps seed plus local compact-bright refinement,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/annotated-center-crops/frame_0007_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/object-zoom-patches/frame_0007_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,8,155.6,4668,primary sustained point-return interval,Within DVIDS 00:31-03:24 sensor focus/track interval,381.0,228.0,861.0,498.0,-99.0,-42.0,351.5,215.2,155.0,156.0,high,interpolated between one-fps seed detections,32.15,3,3,9,246,187.33,1,70.46,separate from colored overlay,low,interpolated one-fps seed plus local compact-bright refinement,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/annotated-center-crops/frame_0008_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/object-zoom-patches/frame_0008_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,9,155.8,4674,primary sustained point-return interval,Within DVIDS 00:31-03:24 sensor focus/track interval,366.1,223.6,846.1,493.6,-113.9,-46.4,339.3,210.4,155.0,156.0,high,interpolated between one-fps seed detections,29.9,5,4,17,255,200.82,1,85.35,separate from colored overlay,medium,interpolated one-fps seed plus local compact-bright refinement,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/annotated-center-crops/frame_0009_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/object-zoom-patches/frame_0009_patch.jpg
