video,release_id,review_index,approx_second,source_frame_index,phase,dvids_anchor,phase_observation,seed_x_center_crop,seed_y_center_crop,seed_x_full_frame,seed_y_full_frame,seed_confidence,seed_note,overlay_relation,nearest_colored_overlay_px,annotated_frame_path,zoom_patch_path
DOD_111689115.mp4,DOW-UAP-PR44,0,244,7320,reticle-cycling tail,After dense track; still inside DVIDS 03:25-04:23 changing reticle/field-of-view interval,no conservative compact return detected,,,,,none,no conservative white compact target found,,,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/annotated-center-crops/frame_0000_annotated.jpg,
DOD_111689115.mp4,DOW-UAP-PR44,1,245,7350,reticle-cycling tail,After dense track; still inside DVIDS 03:25-04:23 changing reticle/field-of-view interval,no conservative compact return detected,,,,,none,no conservative white compact target found,,,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/annotated-center-crops/frame_0001_annotated.jpg,
DOD_111689115.mp4,DOW-UAP-PR44,2,246,7380,reticle-cycling tail,After dense track; still inside DVIDS 03:25-04:23 changing reticle/field-of-view interval,no conservative compact return detected,,,,,none,no conservative white compact target found,,,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/annotated-center-crops/frame_0002_annotated.jpg,
DOD_111689115.mp4,DOW-UAP-PR44,3,247,7410,reticle-cycling tail,After dense track; still inside DVIDS 03:25-04:23 changing reticle/field-of-view interval,no conservative compact return detected,,,,,none,no conservative white compact target found,,,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/annotated-center-crops/frame_0003_annotated.jpg,
DOD_111689115.mp4,DOW-UAP-PR44,4,248,7440,reticle-cycling tail,After dense track; still inside DVIDS 03:25-04:23 changing reticle/field-of-view interval,no conservative compact return detected,,,,,none,no conservative white compact target found,,,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/annotated-center-crops/frame_0004_annotated.jpg,
DOD_111689115.mp4,DOW-UAP-PR44,5,249,7470,reticle-cycling tail,After dense track; still inside DVIDS 03:25-04:23 changing reticle/field-of-view interval,no conservative compact return detected,,,,,none,no conservative white compact target found,,,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/annotated-center-crops/frame_0005_annotated.jpg,
DOD_111689115.mp4,DOW-UAP-PR44,6,250,7500,reticle-cycling tail,After dense track; still inside DVIDS 03:25-04:23 changing reticle/field-of-view interval,no conservative compact return detected,,,,,none,no conservative white compact target found,,,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/annotated-center-crops/frame_0006_annotated.jpg,
DOD_111689115.mp4,DOW-UAP-PR44,7,251,7530,reticle-cycling tail,After dense track; still inside DVIDS 03:25-04:23 changing reticle/field-of-view interval,conservative compact return detected,661.4,487.3,1141.4,757.3,high,single compact white candidate,separate from colored overlay,203.83,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/annotated-center-crops/frame_0007_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/seed-patches/frame_0007_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,8,252,7560,reticle-cycling tail,After dense track; still inside DVIDS 03:25-04:23 changing reticle/field-of-view interval,conservative compact return detected,639.5,405.4,1119.5,675.4,high,single compact white candidate,separate from colored overlay,135.45,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/annotated-center-crops/frame_0008_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/seed-patches/frame_0008_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,9,253,7590,reticle-cycling tail,After dense track; still inside DVIDS 03:25-04:23 changing reticle/field-of-view interval,conservative compact return detected,580.2,336.3,1060.2,606.3,high,single compact white candidate,separate from colored overlay,48.19,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/annotated-center-crops/frame_0009_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/seed-patches/frame_0009_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,10,254,7620,reticle-cycling tail,After dense track; still inside DVIDS 03:25-04:23 changing reticle/field-of-view interval,conservative compact return detected,475.1,308.3,955.1,578.3,high,single compact white candidate,intersects colored overlay,3.42,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/annotated-center-crops/frame_0010_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/seed-patches/frame_0010_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,11,255,7650,reticle-cycling tail,After dense track; still inside DVIDS 03:25-04:23 changing reticle/field-of-view interval,conservative compact return detected,351.6,331.4,831.6,601.4,high,single compact white candidate,separate from colored overlay,71.78,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/annotated-center-crops/frame_0011_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-late-phase-review/DOD_111689115/seed-patches/frame_0011_patch.jpg
