video,release_id,sample_index,approx_second,source_frame_index,dvids_phase,dvids_anchor,review_quality,candidate_count,contrast_threshold,local_median_luma,target_center_x,target_center_y,bbox_x0,bbox_y0,bbox_w,bbox_h,component_area,fill_ratio,component_max_luma,component_min_luma,component_mean_luma,brightness_delta,darkness_delta,distance_from_prediction_px,overlay_relation,nearest_colored_overlay_px,caveat,annotated_frame_path,zoom_patch_path
DOD_111689123.mp4,DOW-UAP-PR45,0,0.0,0,reticle-lock acquisition,DVIDS 00:00-00:03 tracks area of contrast while acquiring reticle lock,low,8,40.0,110.0,849.5,545.0,848.0,544.0,4,3,12,1.0,146,3,59.33,36.0,107.0,110.54,separate from colored overlay,48.51,"weak, line-adjacent, far from expected track, or poorly separated contrast component",research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/full-clip/annotated-frames/frame_0000_annotated.jpg,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/full-clip/target-patches/frame_0000_patch.jpg
DOD_111689123.mp4,DOW-UAP-PR45,1,1.0,30,reticle-lock acquisition,DVIDS 00:00-00:03 tracks area of contrast while acquiring reticle lock,low,5,45.0,96.0,976.5,629.5,975.0,625.0,4,10,40,1.0,118,97,108.28,22.0,-1.0,83.15,intersects colored overlay,2.55,"weak, line-adjacent, far from expected track, or poorly separated contrast component",research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/full-clip/annotated-frames/frame_0001_annotated.jpg,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/full-clip/target-patches/frame_0001_patch.jpg
DOD_111689123.mp4,DOW-UAP-PR45,2,2.0,60,reticle-lock acquisition,DVIDS 00:00-00:03 tracks area of contrast while acquiring reticle lock,low,6,46.0,95.0,1036.0,549.0,1035.0,548.0,3,3,9,1.0,92,17,46.44,-3.0,78.0,76.01,intersects colored overlay,3.0,"weak, line-adjacent, far from expected track, or poorly separated contrast component",research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/full-clip/annotated-frames/frame_0002_annotated.jpg,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/full-clip/target-patches/frame_0002_patch.jpg
DOD_111689123.mp4,DOW-UAP-PR45,3,3.0,90,reticle-lock acquisition,DVIDS 00:00-00:03 tracks area of contrast while acquiring reticle lock,high,9,49.136,95.0,968.3,551.7,957.0,539.0,21,28,202,0.344,227,9,125.17,132.0,86.0,9.07,near colored overlay,16.45,compact contrast component near expected PR45 track,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/full-clip/annotated-frames/frame_0003_annotated.jpg,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/full-clip/target-patches/frame_0003_patch.jpg
DOD_111689123.mp4,DOW-UAP-PR45,4,4.0,120,increasing distinctiveness pre-zoom,DVIDS 00:04-00:30 area of contrast gradually increases in distinctiveness,medium,11,50.0,100.0,966.6,547.9,962.0,545.0,10,7,54,0.771,236,151,184.96,136.0,-51.0,6.58,near colored overlay,15.17,"usable but small, reticle-adjacent, or partly occluded contrast component",research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/full-clip/annotated-frames/frame_0004_annotated.jpg,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/full-clip/target-patches/frame_0004_patch.jpg
DOD_111689123.mp4,DOW-UAP-PR45,5,5.0,150,increasing distinctiveness pre-zoom,DVIDS 00:04-00:30 area of contrast gradually increases in distinctiveness,high,9,50.0,106.0,988.8,546.2,985.0,530.0,12,30,181,0.503,226,3,128.7,120.0,103.0,28.81,near colored overlay,13.25,compact contrast component near expected PR45 track,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/full-clip/annotated-frames/frame_0005_annotated.jpg,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/full-clip/target-patches/frame_0005_patch.jpg
DOD_111689123.mp4,DOW-UAP-PR45,6,6.0,180,increasing distinctiveness pre-zoom,DVIDS 00:04-00:30 area of contrast gradually increases in distinctiveness,low,10,47.0,104.0,965.6,564.1,964.0,562.0,4,5,19,0.95,219,83,167.95,115.0,21.0,17.04,intersects colored overlay,3.92,"weak, line-adjacent, far from expected track, or poorly separated contrast component",research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/full-clip/annotated-frames/frame_0006_annotated.jpg,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/full-clip/target-patches/frame_0006_patch.jpg
DOD_111689123.mp4,DOW-UAP-PR45,7,7.0,210,increasing distinctiveness pre-zoom,DVIDS 00:04-00:30 area of contrast gradually increases in distinctiveness,high,13,46.0,103.0,988.7,542.8,983.0,529.0,14,28,209,0.533,220,19,118.66,117.0,84.0,29.15,near colored overlay,9.32,compact contrast component near expected PR45 track,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/full-clip/annotated-frames/frame_0007_annotated.jpg,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/full-clip/target-patches/frame_0007_patch.jpg
DOD_111689123.mp4,DOW-UAP-PR45,8,8.0,240,increasing distinctiveness pre-zoom,DVIDS 00:04-00:30 area of contrast gradually increases in distinctiveness,high,13,49.0,100.0,984.4,546.1,980.0,533.0,10,25,135,0.54,233,9,128.29,133.0,91.0,24.52,near colored overlay,7.55,compact contrast component near expected PR45 track,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/full-clip/annotated-frames/frame_0008_annotated.jpg,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/full-clip/target-patches/frame_0008_patch.jpg
DOD_111689123.mp4,DOW-UAP-PR45,9,9.0,270,increasing distinctiveness pre-zoom,DVIDS 00:04-00:30 area of contrast gradually increases in distinctiveness,high,6,51.0,100.0,982.7,544.2,972.0,532.0,17,25,188,0.442,230,16,113.41,130.0,84.0,22.98,separate from colored overlay,41.87,compact contrast component near expected PR45 track,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/full-clip/annotated-frames/frame_0009_annotated.jpg,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/full-clip/target-patches/frame_0009_patch.jpg
