video,release_id,sample_index,approx_second,source_frame_index,dvids_phase,dvids_anchor,review_quality,candidate_count,contrast_threshold,local_median_luma,target_center_x,target_center_y,bbox_x0,bbox_y0,bbox_w,bbox_h,component_area,fill_ratio,component_max_luma,component_min_luma,component_mean_luma,brightness_delta,darkness_delta,distance_from_prediction_px,overlay_relation,nearest_colored_overlay_px,caveat,annotated_frame_path,zoom_patch_path
DOD_111689123.mp4,DOW-UAP-PR45,0,54.0,1620,post-zoom apparent size increase,DVIDS 00:32-00:56 area increases in apparent size and distinctiveness,high,9,53.0,88.0,948.5,553.2,938.0,546.0,25,12,175,0.583,250,37,197.26,162.0,51.0,12.58,near colored overlay,15.0,compact contrast component near expected PR45 track,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/exit-window/annotated-frames/frame_0000_annotated.jpg,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/exit-window/target-patches/frame_0000_patch.jpg
DOD_111689123.mp4,DOW-UAP-PR45,1,54.2,1626,post-zoom apparent size increase,DVIDS 00:32-00:56 area increases in apparent size and distinctiveness,low,8,52.0,86.0,954.5,553.0,946.0,552.0,18,3,54,1.0,251,136,213.69,165.0,-50.0,7.43,near colored overlay,17.01,"weak, line-adjacent, far from expected track, or poorly separated contrast component",research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/exit-window/annotated-frames/frame_0001_annotated.jpg,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/exit-window/target-patches/frame_0001_patch.jpg
DOD_111689123.mp4,DOW-UAP-PR45,2,54.4,1632,post-zoom apparent size increase,DVIDS 00:32-00:56 area increases in apparent size and distinctiveness,high,9,56.0,97.0,952.6,556.6,943.0,553.0,22,8,139,0.79,254,159,227.86,157.0,-62.0,11.32,near colored overlay,13.42,compact contrast component near expected PR45 track,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/exit-window/annotated-frames/frame_0002_annotated.jpg,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/exit-window/target-patches/frame_0002_patch.jpg
DOD_111689123.mp4,DOW-UAP-PR45,3,54.6,1638,post-zoom apparent size increase,DVIDS 00:32-00:56 area increases in apparent size and distinctiveness,high,10,56.0,102.0,950.5,556.4,937.0,552.0,30,8,157,0.654,251,18,150.17,149.0,84.0,12.65,near colored overlay,13.11,compact contrast component near expected PR45 track,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/exit-window/annotated-frames/frame_0003_annotated.jpg,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/exit-window/target-patches/frame_0003_patch.jpg
DOD_111689123.mp4,DOW-UAP-PR45,4,54.8,1644,post-zoom apparent size increase,DVIDS 00:32-00:56 area increases in apparent size and distinctiveness,high,12,57.0,104.0,953.7,558.9,940.0,553.0,30,11,257,0.779,254,26,195.17,150.0,78.0,12.61,near colored overlay,11.07,compact contrast component near expected PR45 track,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/exit-window/annotated-frames/frame_0004_annotated.jpg,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/exit-window/target-patches/frame_0004_patch.jpg
DOD_111689123.mp4,DOW-UAP-PR45,5,55.0,1650,post-zoom apparent size increase,DVIDS 00:32-00:56 area increases in apparent size and distinctiveness,low,10,55.0,107.0,962.1,558.8,955.0,557.0,15,4,50,0.833,251,158,203.54,144.0,-51.0,11.0,near colored overlay,11.4,"weak, line-adjacent, far from expected track, or poorly separated contrast component",research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/exit-window/annotated-frames/frame_0005_annotated.jpg,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/exit-window/target-patches/frame_0005_patch.jpg
DOD_111689123.mp4,DOW-UAP-PR45,6,55.2,1656,post-zoom apparent size increase,DVIDS 00:32-00:56 area increases in apparent size and distinctiveness,medium,10,57.0,106.0,983.5,588.7,968.0,584.0,33,10,197,0.597,249,149,195.85,143.0,-43.0,46.95,intersects colored overlay,3.7,"usable but small, reticle-adjacent, or partly occluded contrast component",research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/exit-window/annotated-frames/frame_0006_annotated.jpg,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/exit-window/target-patches/frame_0006_patch.jpg
DOD_111689123.mp4,DOW-UAP-PR45,7,55.4,1662,post-zoom apparent size increase,DVIDS 00:32-00:56 area increases in apparent size and distinctiveness,high,11,53.0,100.0,983.3,591.2,970.0,586.0,23,11,195,0.771,254,147,214.18,154.0,-47.0,49.09,near colored overlay,6.23,compact contrast component near expected PR45 track,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/exit-window/annotated-frames/frame_0007_annotated.jpg,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/exit-window/target-patches/frame_0007_patch.jpg
DOD_111689123.mp4,DOW-UAP-PR45,8,55.6,1668,post-zoom apparent size increase,DVIDS 00:32-00:56 area increases in apparent size and distinctiveness,medium,8,56.116,101.0,971.4,568.2,963.0,566.0,19,6,75,0.658,251,149,204.27,150.0,-48.0,14.19,intersects colored overlay,1.81,"usable but small, reticle-adjacent, or partly occluded contrast component",research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/exit-window/annotated-frames/frame_0008_annotated.jpg,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/exit-window/target-patches/frame_0008_patch.jpg
DOD_111689123.mp4,DOW-UAP-PR45,9,55.8,1674,post-zoom apparent size increase,DVIDS 00:32-00:56 area increases in apparent size and distinctiveness,low,8,58.0,99.0,988.1,599.1,981.0,598.0,15,4,48,0.8,253,202,236.0,154.0,-103.0,31.46,near colored overlay,14.13,"weak, line-adjacent, far from expected track, or poorly separated contrast component",research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/exit-window/annotated-frames/frame_0009_annotated.jpg,research/ufo-derived/video-motion-pass/pr45-size-exit-review/DOD_111689123/exit-window/target-patches/frame_0009_patch.jpg
