video,release_id,frame_index,second,review_quality,rationale,candidate_count,threshold,local_median_luma,component_count,projection_proxy_count,center_x,center_y,distance_from_expected_px,bbox_x0,bbox_y0,bbox_x1,bbox_y1,bbox_w,bbox_h,bbox_aspect,aggregate_area,fill_ratio,oriented_major_px,oriented_minor_px,oriented_aspect,major_axis_angle_deg,max_abs_contrast,mean_abs_contrast,mean_signed_contrast
DOD_111689133.mp4,DOW-UAP-PR46,0,0.000,high,target-region elongated contrast group with projection-like detached or merged lobes,15,40.000,175.000,15,3,992.483,514.925,12.550,925,478,1065,560,140,82,1.707,1702,0.148,144.050,84.247,1.710,-16.967,177,66.043,-6.756
DOD_111689133.mp4,DOW-UAP-PR46,15,0.500,high,target-region elongated contrast group with projection-like detached or merged lobes,13,46.000,175.000,13,3,988.535,520.433,5.775,925,482,1058,584,133,102,1.304,1711,0.126,140.061,94.811,1.477,-26.722,175,71.614,-5.952
DOD_111689133.mp4,DOW-UAP-PR46,30,1.000,high,target-region elongated contrast group with projection-like detached or merged lobes,15,50.000,174.000,15,3,994.723,522.798,9.969,926,486,1062,584,136,98,1.388,1738,0.130,141.088,94.527,1.493,-20.783,177,76.264,-24.253
DOD_111689133.mp4,DOW-UAP-PR46,45,1.500,high,target-region elongated contrast group with projection-like detached or merged lobes,11,50.000,174.000,11,3,991.697,514.532,12.427,925,482,1058,562,133,80,1.663,1720,0.162,138.728,78.885,1.759,-9.785,177,84.394,-32.906
DOD_111689133.mp4,DOW-UAP-PR46,60,2.000,high,target-region elongated contrast group with projection-like detached or merged lobes,14,43.000,174.000,14,3,991.832,520.189,8.356,925,484,1056,564,131,80,1.637,1744,0.166,137.923,84.666,1.629,-18.761,179,71.320,-12.025
DOD_111689133.mp4,DOW-UAP-PR46,75,2.500,high,target-region elongated contrast group with projection-like detached or merged lobes,15,46.000,175.000,15,3,989.775,514.085,11.914,925,479,1058,558,133,79,1.684,1788,0.170,141.323,82.417,1.715,-11.955,180,75.449,-28.592
DOD_111689133.mp4,DOW-UAP-PR46,90,3.000,high,target-region elongated contrast group with projection-like detached or merged lobes,11,41.000,175.000,11,3,989.287,521.321,5.649,916,485,1058,567,142,82,1.732,1789,0.154,150.505,82.904,1.815,-24.251,168,61.794,-2.113
DOD_111689133.mp4,DOW-UAP-PR46,105,3.500,high,target-region elongated contrast group with projection-like detached or merged lobes,15,45.000,175.000,15,3,987.376,518.896,6.550,917,486,1058,560,141,74,1.905,1727,0.166,148.273,79.514,1.865,-20.197,175,70.335,-4.830
DOD_111689133.mp4,DOW-UAP-PR46,120,4.000,high,target-region elongated contrast group with projection-like detached or merged lobes,11,49.000,175.000,11,3,998.401,524.519,13.410,928,494,1061,584,133,90,1.478,1771,0.148,141.865,89.093,1.592,-21.048,173,79.287,-23.512
DOD_111689133.mp4,DOW-UAP-PR46,135,4.500,high,target-region elongated contrast group with projection-like detached or merged lobes,12,47.000,176.000,12,3,984.427,512.558,12.455,917,481,1055,562,138,81,1.704,1730,0.155,146.329,83.387,1.755,-16.906,176,74.686,-16.439
DOD_111689133.mp4,DOW-UAP-PR46,150,5.000,high,target-region elongated contrast group with projection-like detached or merged lobes,11,46.000,175.000,11,3,991.016,526.463,6.191,925,493,1065,584,140,91,1.538,1859,0.146,146.165,90.584,1.614,-25.799,176,69.940,-10.631
DOD_111689133.mp4,DOW-UAP-PR46,165,5.500,high,target-region elongated contrast group with projection-like detached or merged lobes,15,48.000,175.000,15,3,994.658,520.431,10.684,923,490,1066,566,143,76,1.882,1798,0.165,147.251,83.493,1.764,-19.290,180,73.150,-11.028
DOD_111689133.mp4,DOW-UAP-PR46,180,6.000,high,target-region elongated contrast group with projection-like detached or merged lobes,13,48.000,175.000,13,3,990.565,517.631,9.234,928,478,1057,584,129,106,1.217,1734,0.127,141.064,103.197,1.367,-22.413,177,75.962,-15.323
DOD_111689133.mp4,DOW-UAP-PR46,195,6.500,high,target-region elongated contrast group with projection-like detached or merged lobes,15,44.000,175.000,15,3,991.833,517.289,10.303,924,475,1058,582,134,107,1.252,1843,0.129,144.470,103.559,1.395,-20.258,174,70.681,-18.193
DOD_111689133.mp4,DOW-UAP-PR46,210,7.000,high,target-region elongated contrast group with projection-like detached or merged lobes,13,53.000,175.000,13,3,992.387,518.804,9.641,924,479,1056,584,132,105,1.257,1796,0.130,146.244,95.398,1.533,-29.735,173,79.430,-23.967
DOD_111689133.mp4,DOW-UAP-PR46,225,7.500,high,target-region elongated contrast group with projection-like detached or merged lobes,13,50.000,175.000,13,3,996.290,522.415,11.582,935,487,1061,584,126,97,1.299,1886,0.154,144.033,92.494,1.557,-24.518,173,77.982,-30.271
DOD_111689133.mp4,DOW-UAP-PR46,240,8.000,high,target-region elongated contrast group with projection-like detached or merged lobes,12,43.000,175.000,12,3,982.037,516.377,9.118,916,478,1053,565,137,87,1.575,1744,0.146,147.313,97.264,1.515,-26.185,170,58.759,9.995
