video,release_id,approx_second,frame_index,phase,confidence,candidate_count,group_size,centroid_x_crop,centroid_y_crop,centroid_x_full,centroid_y_full,span_x,span_y,sum_area,mean_area,max_luma,mean_luma,mean_pair_distance,max_pair_distance,d12,d23,d13,overlay_relation,nearest_overlay_px,note,p1_x_crop,p1_y_crop,p1_area,p1_max_luma,p2_x_crop,p2_y_crop,p2_area,p2_max_luma,p3_x_crop,p3_y_crop,p3_area,p3_max_luma
DOD_111689142.mp4,DOW-UAP-PR47,0.0,0,upper-field formation track,low,8,2,372.5,9.964,852.5,279.964,110.0,19.071,26,13,152,152.0,111.641,111.641,,,,separate from colored overlay,65.256,two weak compact candidates detected; possible background or overlay residue,317.5,19.5,12,152,427.5,0.429,14,152,,,,
DOD_111689142.mp4,DOW-UAP-PR47,0.2,6,upper-field formation track,medium,6,3,281.303,16.678,761.303,286.678,65.89,9.66,640,213.333,150,146.496,44.837,65.915,44.32,24.277,65.915,near colored overlay,7.328,"three contrast areas detected, but spacing or brightness is less conservative",244.8,18.695,285,150,288.419,10.84,313,149,310.69,20.5,42,149
DOD_111689142.mp4,DOW-UAP-PR47,0.4,12,upper-field formation track,medium,15,3,269.274,22.783,749.274,292.783,74.908,33.742,1211,403.667,149,144.067,58.579,74.93,60.291,40.516,74.93,intersects colored overlay,1.247,"three contrast areas detected, but spacing or brightness is less conservative",227.65,10.931,331,145,277.614,44.673,220,145,302.558,12.745,660,149
DOD_111689142.mp4,DOW-UAP-PR47,0.6,18,upper-field formation track,low,9,1,457.043,235.466,937.043,505.466,0.0,0.0,161,161,224,178.528,,,,,,near colored overlay,16.398,only one compact bright candidate detected,457.043,235.466,161,224,,,,,,,,
DOD_111689142.mp4,DOW-UAP-PR47,0.8,24,upper-field formation track,medium,10,2,453.947,237.602,933.947,507.602,14.895,3.796,160,80,222,163.724,15.371,15.371,,,,near colored overlay,14.953,two compact bright areas detected; possible partial formation visibility,446.5,239.5,8,165,461.395,235.704,152,222,,,,
DOD_111689142.mp4,DOW-UAP-PR47,1.0,30,upper-field formation track,low,8,1,464.551,236.537,944.551,506.537,0.0,0.0,136,136,217,178.007,,,,,,near colored overlay,17.873,only one compact bright candidate detected,464.551,236.537,136,217,,,,,,,,
DOD_111689142.mp4,DOW-UAP-PR47,1.2,36,upper-field formation track,low,10,2,627.583,28.417,1107.583,298.417,0.167,13.833,7,3.5,144,142.917,13.834,13.834,,,,intersects colored overlay,0.589,two weak compact candidates detected; possible background or overlay residue,627.5,21.5,4,144,627.667,35.333,3,144,,,,
DOD_111689142.mp4,DOW-UAP-PR47,1.4,42,upper-field formation track,low,11,2,627.958,28.319,1107.958,298.319,1.25,14.861,21,10.5,145,143.542,14.914,14.914,,,,intersects colored overlay,0.322,two weak compact candidates detected; possible background or overlay residue,627.333,20.889,9,145,628.583,35.75,12,145,,,,
DOD_111689142.mp4,DOW-UAP-PR47,1.6,48,upper-field formation track,low,11,2,627.955,28.409,1107.955,298.409,2.091,15.182,24,12,147,144.189,15.325,15.325,,,,intersects colored overlay,0.412,two weak compact candidates detected; possible background or overlay residue,626.909,20.818,11,145,629.0,36.0,13,147,,,,
DOD_111689142.mp4,DOW-UAP-PR47,1.8,54,upper-field formation track,medium,13,3,595.228,19.074,1075.228,289.074,99.352,35.667,42,14,152,144.173,73.572,105.56,99.969,15.187,105.56,near colored overlay,22.847,"three contrast areas detected, but spacing or brightness is less conservative",529.5,0.333,6,143,627.333,20.889,9,145,628.852,36.0,27,152
