video,release_id,sample_index,approx_second,source_frame_index,dvids_phase,dvids_anchor,review_quality,candidate_count,target_center_x,target_center_y,bbox_x0,bbox_y0,bbox_w,bbox_h,component_area,fill_ratio,component_max_luma,component_min_luma,component_mean_luma,local_median_luma,contrast_delta,distance_from_reticle_px,edge_margin_px,dark_structure_relation,nearest_dark_structure_px,detection_threshold,raw_score,caveat,annotated_frame_path,zoom_patch_path
DOD_111689167.mp4,DOW-UAP-PR48,0,0.0,0,initial centered track,DVIDS 00:00-01:39: sensor tracks an area of contrast generally near center,high,18,1007.6,510.2,1004,506,8,9,56,0.778,216,110,150.41,100.0,116.0,56.2,369.8,separate from dark structure,145.42,18.0,744.912,compact bright contrast candidate in central field,research/ufo-derived/video-motion-pass/pr48-track-review/DOD_111689167/annotated-frames/frame_0000_annotated.jpg,research/ufo-derived/video-motion-pass/pr48-track-review/DOD_111689167/target-patches/frame_0000_patch.jpg
DOD_111689167.mp4,DOW-UAP-PR48,1,1.0,30,initial centered track,DVIDS 00:00-01:39: sensor tracks an area of contrast generally near center,high,18,1021.1,511.0,1017,507,9,9,63,0.778,207,104,145.0,97.0,110.0,67.6,369.0,separate from dark structure,109.02,18.0,723.924,compact bright contrast candidate in central field,research/ufo-derived/video-motion-pass/pr48-track-review/DOD_111689167/annotated-frames/frame_0001_annotated.jpg,research/ufo-derived/video-motion-pass/pr48-track-review/DOD_111689167/target-patches/frame_0001_patch.jpg
DOD_111689167.mp4,DOW-UAP-PR48,2,2.0,60,initial centered track,DVIDS 00:00-01:39: sensor tracks an area of contrast generally near center,high,18,1035.4,513.3,1031,509,10,10,74,0.74,204,102,142.61,96.0,108.0,79.98,366.69,separate from dark structure,107.1,18.0,728.185,compact bright contrast candidate in central field,research/ufo-derived/video-motion-pass/pr48-track-review/DOD_111689167/annotated-frames/frame_0002_annotated.jpg,research/ufo-derived/video-motion-pass/pr48-track-review/DOD_111689167/target-patches/frame_0002_patch.jpg
DOD_111689167.mp4,DOW-UAP-PR48,3,3.0,90,initial centered track,DVIDS 00:00-01:39: sensor tracks an area of contrast generally near center,high,18,1045.3,513.5,1041,509,9,10,70,0.778,207,100,147.49,98.0,109.0,89.28,366.51,separate from dark structure,108.24,18.0,726.753,compact bright contrast candidate in central field,research/ufo-derived/video-motion-pass/pr48-track-review/DOD_111689167/annotated-frames/frame_0003_annotated.jpg,research/ufo-derived/video-motion-pass/pr48-track-review/DOD_111689167/target-patches/frame_0003_patch.jpg
DOD_111689167.mp4,DOW-UAP-PR48,4,4.0,120,initial centered track,DVIDS 00:00-01:39: sensor tracks an area of contrast generally near center,high,18,1045.2,508.3,1042,504,8,9,59,0.819,202,108,151.08,101.0,101.0,90.91,371.71,separate from dark structure,113.46,18.0,668.703,compact bright contrast candidate in central field,research/ufo-derived/video-motion-pass/pr48-track-review/DOD_111689167/annotated-frames/frame_0004_annotated.jpg,research/ufo-derived/video-motion-pass/pr48-track-review/DOD_111689167/target-patches/frame_0004_patch.jpg
DOD_111689167.mp4,DOW-UAP-PR48,5,5.0,150,initial centered track,DVIDS 00:00-01:39: sensor tracks an area of contrast generally near center,high,18,1046.8,489.8,1042,486,10,9,76,0.844,213,111,148.66,101.0,112.0,100.28,369.76,separate from dark structure,95.41,18.0,755.187,compact bright contrast candidate in central field,research/ufo-derived/video-motion-pass/pr48-track-review/DOD_111689167/annotated-frames/frame_0005_annotated.jpg,research/ufo-derived/video-motion-pass/pr48-track-review/DOD_111689167/target-patches/frame_0005_patch.jpg
DOD_111689167.mp4,DOW-UAP-PR48,6,6.0,180,initial centered track,DVIDS 00:00-01:39: sensor tracks an area of contrast generally near center,high,7,1049.0,460.5,1046,456,7,10,58,0.829,224,129,172.52,128.0,96.0,119.34,340.5,separate from dark structure,186.13,18.0,638.883,compact bright contrast candidate in central field,research/ufo-derived/video-motion-pass/pr48-track-review/DOD_111689167/annotated-frames/frame_0006_annotated.jpg,research/ufo-derived/video-motion-pass/pr48-track-review/DOD_111689167/target-patches/frame_0006_patch.jpg
DOD_111689167.mp4,DOW-UAP-PR48,7,7.0,210,initial centered track,DVIDS 00:00-01:39: sensor tracks an area of contrast generally near center,high,18,1057.8,412.7,1055,409,7,9,49,0.778,225,122,165.76,122.0,103.0,160.49,292.71,separate from dark structure,200.13,18.0,645.447,compact bright contrast candidate in central field,research/ufo-derived/video-motion-pass/pr48-track-review/DOD_111689167/annotated-frames/frame_0007_annotated.jpg,research/ufo-derived/video-motion-pass/pr48-track-review/DOD_111689167/target-patches/frame_0007_patch.jpg
DOD_111689167.mp4,DOW-UAP-PR48,8,8.0,240,initial centered track,DVIDS 00:00-01:39: sensor tracks an area of contrast generally near center,high,18,1072.3,354.6,1069,351,8,8,51,0.797,249,142,184.12,136.0,113.0,216.73,234.65,separate from dark structure,204.68,18.0,690.797,compact bright contrast candidate in central field,research/ufo-derived/video-motion-pass/pr48-track-review/DOD_111689167/annotated-frames/frame_0008_annotated.jpg,research/ufo-derived/video-motion-pass/pr48-track-review/DOD_111689167/target-patches/frame_0008_patch.jpg
DOD_111689167.mp4,DOW-UAP-PR48,9,9.0,270,initial centered track,DVIDS 00:00-01:39: sensor tracks an area of contrast generally near center,medium,18,1092.3,293.3,1089,289,8,9,62,0.861,239,159,191.48,150.0,89.0,279.9,173.32,separate from dark structure,379.54,18.0,578.951,usable central bright contrast candidate,research/ufo-derived/video-motion-pass/pr48-track-review/DOD_111689167/annotated-frames/frame_0009_annotated.jpg,research/ufo-derived/video-motion-pass/pr48-track-review/DOD_111689167/target-patches/frame_0009_patch.jpg
DOD_111689167.mp4,DOW-UAP-PR48,10,10.0,300,initial centered track,DVIDS 00:00-01:39: sensor tracks an area of contrast generally near center,high,18,1114.8,324.9,1111,320,8,10,64,0.8,249,146,191.38,147.0,102.0,265.0,204.91,separate from dark structure,343.82,18.0,648.779,compact bright contrast candidate in central field,research/ufo-derived/video-motion-pass/pr48-track-review/DOD_111689167/annotated-frames/frame_0010_annotated.jpg,research/ufo-derived/video-motion-pass/pr48-track-review/DOD_111689167/target-patches/frame_0010_patch.jpg
DOD_111689167.mp4,DOW-UAP-PR48,11,11.0,330,initial centered track,DVIDS 00:00-01:39: sensor tracks an area of contrast generally near center,high,18,1103.8,377.0,1100,372,8,11,72,0.818,253,145,187.1,139.0,114.0,217.34,257.04,separate from dark structure,262.35,18.0,735.328,compact bright contrast candidate in central field,research/ufo-derived/video-motion-pass/pr48-track-review/DOD_111689167/annotated-frames/frame_0011_annotated.jpg,research/ufo-derived/video-motion-pass/pr48-track-review/DOD_111689167/target-patches/frame_0011_patch.jpg
