video,release_id,sample_index,approx_second,source_frame_index,dvids_phase,dvids_anchor,required_area_count,review_quality,detection_mode,candidate_group_count,target_center_x,target_center_y,bbox_x0,bbox_y0,bbox_w,bbox_h,component_count,two_area_proxy,component_area,component_max_luma,contrast_delta,distance_from_reticle_px,edge_margin_px,max_component_separation_px,raw_score,caveat,annotated_frame_path,zoom_patch_path
DOD_111689168.mp4,DOW-UAP-PR49,0,0.0,0,initial area of interest,DVIDS 00:00-00:08: sensor tracks an initial area of interest,1,medium,reticle-adjacent-fallback,1,953.2,536.5,910,499,93,86,12,yes,376,252,252.0,7.66,453.45,97.69,12483.222,target group is reticle-adjacent; support capped because overlay and target overlap,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/annotated-frames/frame_0000_annotated.jpg,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/target-patches/frame_0000_patch.jpg
DOD_111689168.mp4,DOW-UAP-PR49,1,1.0,30,initial area of interest,DVIDS 00:00-00:08: sensor tracks an initial area of interest,1,low,overlay-suppressed,1,1576.1,939.9,1575,939,3,3,1,no,8,36,35.0,734.51,50.12,0.0,154.293,weak or partially obscured initial area of interest,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/annotated-frames/frame_0001_annotated.jpg,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/target-patches/frame_0001_patch.jpg
DOD_111689168.mp4,DOW-UAP-PR49,2,2.0,60,initial area of interest,DVIDS 00:00-00:08: sensor tracks an initial area of interest,1,medium,overlay-suppressed,1,1430.3,350.7,1403,342,49,19,1,yes,478,255,255.0,506.95,270.71,0.0,1510.937,"initial area of interest recovered, but phase precedes DVIDS two-area tracking",research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/annotated-frames/frame_0002_annotated.jpg,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/target-patches/frame_0002_patch.jpg
DOD_111689168.mp4,DOW-UAP-PR49,3,3.0,90,initial area of interest,DVIDS 00:00-00:08: sensor tracks an initial area of interest,1,medium,overlay-suppressed,1,817.7,407.3,806,406,23,4,2,yes,39,82,79.0,194.55,327.28,14.99,921.327,"initial area of interest recovered, but phase precedes DVIDS two-area tracking",research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/annotated-frames/frame_0003_annotated.jpg,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/target-patches/frame_0003_patch.jpg
DOD_111689168.mp4,DOW-UAP-PR49,4,4.0,120,initial area of interest,DVIDS 00:00-00:08: sensor tracks an initial area of interest,1,low,overlay-suppressed,1,232.5,449.5,232,448,2,4,1,no,8,23,20.0,733.11,52.5,0.0,77.136,weak or partially obscured initial area of interest,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/annotated-frames/frame_0004_annotated.jpg,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/target-patches/frame_0004_patch.jpg
DOD_111689168.mp4,DOW-UAP-PR49,5,5.0,150,initial area of interest,DVIDS 00:00-00:08: sensor tracks an initial area of interest,1,medium,overlay-suppressed,1,1148.1,522.3,1117,520,85,5,2,yes,130,136,131.0,188.96,442.27,63.07,1342.421,"initial area of interest recovered, but phase precedes DVIDS two-area tracking",research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/annotated-frames/frame_0005_annotated.jpg,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/target-patches/frame_0005_patch.jpg
DOD_111689168.mp4,DOW-UAP-PR49,6,6.0,180,initial area of interest,DVIDS 00:00-00:08: sensor tracks an initial area of interest,1,medium,reticle-adjacent-fallback,1,960.5,519.5,959,499,4,85,3,yes,83,255,254.0,20.47,439.54,71.83,4151.812,target group is reticle-adjacent; support capped because overlay and target overlap,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/annotated-frames/frame_0006_annotated.jpg,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/target-patches/frame_0006_patch.jpg
DOD_111689168.mp4,DOW-UAP-PR49,7,7.0,210,initial area of interest,DVIDS 00:00-00:08: sensor tracks an initial area of interest,1,medium,overlay-suppressed,1,566.7,504.2,541,485,52,30,5,yes,424,251,249.0,394.94,386.69,41.77,3515.033,"initial area of interest recovered, but phase precedes DVIDS two-area tracking",research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/annotated-frames/frame_0007_annotated.jpg,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/target-patches/frame_0007_patch.jpg
DOD_111689168.mp4,DOW-UAP-PR49,8,8.0,240,initial area of interest,DVIDS 00:00-00:08: sensor tracks an initial area of interest,1,medium,reticle-adjacent-fallback,1,943.4,524.6,919,495,44,89,5,yes,423,254,249.0,22.66,444.58,82.23,4650.501,target group is reticle-adjacent; support capped because overlay and target overlap,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/annotated-frames/frame_0008_annotated.jpg,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/target-patches/frame_0008_patch.jpg
DOD_111689168.mp4,DOW-UAP-PR49,9,9.0,270,two-area acquisition and zoom-in,DVIDS 00:09-00:16: sensor pans right-to-left to track two areas of contrast while narrowing FOV,2,high,overlay-suppressed,1,1218.9,480.8,1197,474,47,23,5,yes,383,255,240.0,265.6,400.8,33.71,5360.78,two-area contrast group recovered in central field,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/annotated-frames/frame_0009_annotated.jpg,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/target-patches/frame_0009_patch.jpg
DOD_111689168.mp4,DOW-UAP-PR49,10,10.0,300,two-area acquisition and zoom-in,DVIDS 00:09-00:16: sensor pans right-to-left to track two areas of contrast while narrowing FOV,2,high,overlay-suppressed,1,1399.5,493.3,1379,486,43,15,2,yes,237,255,243.0,442.02,380.46,29.93,2804.505,two-area contrast group recovered in central field,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/annotated-frames/frame_0010_annotated.jpg,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/target-patches/frame_0010_patch.jpg
DOD_111689168.mp4,DOW-UAP-PR49,11,11.0,330,two-area acquisition and zoom-in,DVIDS 00:09-00:16: sensor pans right-to-left to track two areas of contrast while narrowing FOV,2,high,overlay-suppressed,1,1544.7,502.8,1525,496,41,14,2,yes,247,254,244.0,585.9,235.28,28.92,2804.901,two-area contrast group recovered in central field,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/annotated-frames/frame_0011_annotated.jpg,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/target-patches/frame_0011_patch.jpg
DOD_111689168.mp4,DOW-UAP-PR49,12,12.0,360,two-area acquisition and zoom-in,DVIDS 00:09-00:16: sensor pans right-to-left to track two areas of contrast while narrowing FOV,2,medium,overlay-suppressed,1,1694.2,517.6,1682,513,39,10,3,yes,94,255,243.0,734.57,85.78,32.67,3828.424,"usable bright group, but two-area evidence is weaker (components=3)",research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/annotated-frames/frame_0012_annotated.jpg,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/target-patches/frame_0012_patch.jpg
DOD_111689168.mp4,DOW-UAP-PR49,13,13.0,390,two-area acquisition and zoom-in,DVIDS 00:09-00:16: sensor pans right-to-left to track two areas of contrast while narrowing FOV,2,high,overlay-suppressed,1,1553.2,529.5,1532,523,45,14,2,yes,227,255,244.0,593.3,226.79,31.33,2776.539,two-area contrast group recovered in central field,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/annotated-frames/frame_0013_annotated.jpg,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/target-patches/frame_0013_patch.jpg
DOD_111689168.mp4,DOW-UAP-PR49,14,14.0,420,two-area acquisition and zoom-in,DVIDS 00:09-00:16: sensor pans right-to-left to track two areas of contrast while narrowing FOV,2,high,overlay-suppressed,1,1528.4,542.0,1506,537,40,11,2,yes,152,255,247.0,568.4,251.61,29.07,2708.399,two-area contrast group recovered in central field,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/annotated-frames/frame_0014_annotated.jpg,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/target-patches/frame_0014_patch.jpg
DOD_111689168.mp4,DOW-UAP-PR49,15,15.0,450,two-area acquisition and zoom-in,DVIDS 00:09-00:16: sensor pans right-to-left to track two areas of contrast while narrowing FOV,2,high,overlay-suppressed,1,1457.3,559.5,1435,553,48,14,2,yes,351,255,240.0,497.66,322.72,29.72,2897.965,two-area contrast group recovered in central field,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/annotated-frames/frame_0015_annotated.jpg,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/target-patches/frame_0015_patch.jpg
DOD_111689168.mp4,DOW-UAP-PR49,16,16.0,480,two-area acquisition and zoom-in,DVIDS 00:09-00:16: sensor pans right-to-left to track two areas of contrast while narrowing FOV,2,medium,reticle-adjacent-fallback,1,980.3,558.1,959,498,49,87,7,yes,331,255,251.0,27.22,431.89,74.84,7252.48,target group is reticle-adjacent; support capped because overlay and target overlap,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/annotated-frames/frame_0016_annotated.jpg,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/target-patches/frame_0016_patch.jpg
DOD_111689168.mp4,DOW-UAP-PR49,17,17.0,510,zoomed-out two-area tracking,DVIDS 00:17-01:03: sensor widens FOV and keeps areas generally centered,2,low,overlay-suppressed,1,1030.8,565.1,1027,563,9,5,1,no,36,42,38.0,75.1,424.89,0.0,283.397,"weak, distant, or partially overlay-confounded bright group",research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/annotated-frames/frame_0017_annotated.jpg,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/target-patches/frame_0017_patch.jpg
DOD_111689168.mp4,DOW-UAP-PR49,18,18.0,540,zoomed-out two-area tracking,DVIDS 00:17-01:03: sensor widens FOV and keeps areas generally centered,2,medium,reticle-adjacent-fallback,1,957.7,569.3,930,498,55,96,3,yes,595,255,251.0,29.38,420.71,72.77,4281.89,target group is reticle-adjacent; support capped because overlay and target overlap,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/annotated-frames/frame_0018_annotated.jpg,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/target-patches/frame_0018_patch.jpg
DOD_111689168.mp4,DOW-UAP-PR49,19,19.0,570,zoomed-out two-area tracking,DVIDS 00:17-01:03: sensor widens FOV and keeps areas generally centered,2,high,overlay-suppressed,1,893.0,583.8,879,569,22,28,2,yes,215,252,247.0,80.07,406.17,15.05,1729.252,two-area contrast group recovered in central field,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/annotated-frames/frame_0019_annotated.jpg,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/target-patches/frame_0019_patch.jpg
DOD_111689168.mp4,DOW-UAP-PR49,20,20.0,600,zoomed-out two-area tracking,DVIDS 00:17-01:03: sensor widens FOV and keeps areas generally centered,2,high,overlay-suppressed,1,854.7,582.5,830,567,50,27,3,yes,484,255,248.0,113.59,407.47,14.9,1920.588,two-area contrast group recovered in central field,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/annotated-frames/frame_0020_annotated.jpg,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/target-patches/frame_0020_patch.jpg
DOD_111689168.mp4,DOW-UAP-PR49,21,21.0,630,zoomed-out two-area tracking,DVIDS 00:17-01:03: sensor widens FOV and keeps areas generally centered,2,high,overlay-suppressed,1,841.7,589.0,827,568,28,26,3,yes,141,104,96.0,128.04,400.96,22.61,1028.684,two-area contrast group recovered in central field,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/annotated-frames/frame_0021_annotated.jpg,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/target-patches/frame_0021_patch.jpg
DOD_111689168.mp4,DOW-UAP-PR49,22,22.0,660,zoomed-out two-area tracking,DVIDS 00:17-01:03: sensor widens FOV and keeps areas generally centered,2,high,overlay-suppressed,1,869.8,575.7,842,560,58,30,3,yes,543,255,248.0,97.05,414.31,15.6,1987.528,two-area contrast group recovered in central field,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/annotated-frames/frame_0022_annotated.jpg,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/target-patches/frame_0022_patch.jpg
DOD_111689168.mp4,DOW-UAP-PR49,23,23.0,690,zoomed-out two-area tracking,DVIDS 00:17-01:03: sensor widens FOV and keeps areas generally centered,2,high,overlay-suppressed,2,891.1,573.3,877,558,24,27,4,yes,237,255,248.0,76.57,416.68,24.55,2145.177,two-area contrast group recovered in central field,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/annotated-frames/frame_0023_annotated.jpg,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/target-patches/frame_0023_patch.jpg
DOD_111689168.mp4,DOW-UAP-PR49,24,24.0,720,zoomed-out two-area tracking,DVIDS 00:17-01:03: sensor widens FOV and keeps areas generally centered,2,medium,reticle-adjacent-fallback,1,942.7,554.4,908,499,55,86,4,yes,326,255,251.0,22.56,435.57,69.37,5671.588,target group is reticle-adjacent; support capped because overlay and target overlap,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/annotated-frames/frame_0024_annotated.jpg,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/target-patches/frame_0024_patch.jpg
DOD_111689168.mp4,DOW-UAP-PR49,25,25.0,750,zoomed-out two-area tracking,DVIDS 00:17-01:03: sensor widens FOV and keeps areas generally centered,2,medium,reticle-adjacent-fallback,1,948.7,551.7,922,498,41,86,4,yes,380,255,251.0,16.28,438.28,71.81,4896.119,target group is reticle-adjacent; support capped because overlay and target overlap,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/annotated-frames/frame_0025_annotated.jpg,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/target-patches/frame_0025_patch.jpg
DOD_111689168.mp4,DOW-UAP-PR49,26,26.0,780,zoomed-out two-area tracking,DVIDS 00:17-01:03: sensor widens FOV and keeps areas generally centered,2,medium,reticle-adjacent-fallback,1,963.4,552.0,947,498,38,86,5,yes,318,255,251.0,12.5,437.96,65.93,4731.099,target group is reticle-adjacent; support capped because overlay and target overlap,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/annotated-frames/frame_0026_annotated.jpg,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/target-patches/frame_0026_patch.jpg
DOD_111689168.mp4,DOW-UAP-PR49,27,27.0,810,zoomed-out two-area tracking,DVIDS 00:17-01:03: sensor widens FOV and keeps areas generally centered,2,medium,reticle-adjacent-fallback,1,982.6,560.9,959,498,58,87,3,yes,507,255,250.0,30.79,429.11,70.97,4391.527,target group is reticle-adjacent; support capped because overlay and target overlap,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/annotated-frames/frame_0027_annotated.jpg,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/target-patches/frame_0027_patch.jpg
DOD_111689168.mp4,DOW-UAP-PR49,28,28.0,840,zoomed-out two-area tracking,DVIDS 00:17-01:03: sensor widens FOV and keeps areas generally centered,2,medium,overlay-suppressed,1,1033.6,567.5,1028,565,14,6,1,no,51,106,103.0,78.52,422.55,0.0,622.472,"usable bright group, but two-area evidence is weaker (components=1)",research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/annotated-frames/frame_0028_annotated.jpg,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/target-patches/frame_0028_patch.jpg
DOD_111689168.mp4,DOW-UAP-PR49,29,29.0,870,zoomed-out two-area tracking,DVIDS 00:17-01:03: sensor widens FOV and keeps areas generally centered,2,medium,reticle-adjacent-fallback,1,951.5,564.0,927,498,37,90,4,yes,386,254,250.0,25.42,426.04,72.16,4801.584,target group is reticle-adjacent; support capped because overlay and target overlap,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/annotated-frames/frame_0029_annotated.jpg,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/target-patches/frame_0029_patch.jpg
DOD_111689168.mp4,DOW-UAP-PR49,30,30.0,900,zoomed-out two-area tracking,DVIDS 00:17-01:03: sensor widens FOV and keeps areas generally centered,2,high,overlay-suppressed,1,838.8,580.3,824,561,33,28,5,yes,217,123,116.0,127.68,409.75,24.83,1916.114,two-area contrast group recovered in central field,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/annotated-frames/frame_0030_annotated.jpg,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/target-patches/frame_0030_patch.jpg
DOD_111689168.mp4,DOW-UAP-PR49,31,31.0,930,zoomed-out two-area tracking,DVIDS 00:17-01:03: sensor widens FOV and keeps areas generally centered,2,high,overlay-suppressed,1,857.3,568.0,848,550,20,25,2,yes,141,135,130.0,106.44,421.95,19.48,1034.546,two-area contrast group recovered in central field,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/annotated-frames/frame_0031_annotated.jpg,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/target-patches/frame_0031_patch.jpg
DOD_111689168.mp4,DOW-UAP-PR49,32,32.0,960,zoomed-out two-area tracking,DVIDS 00:17-01:03: sensor widens FOV and keeps areas generally centered,2,high,overlay-suppressed,1,864.6,565.0,849,545,34,27,4,yes,165,144,137.0,98.61,424.96,33.93,1560.533,two-area contrast group recovered in central field,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/annotated-frames/frame_0032_annotated.jpg,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/target-patches/frame_0032_patch.jpg
DOD_111689168.mp4,DOW-UAP-PR49,33,33.0,990,zoomed-out two-area tracking,DVIDS 00:17-01:03: sensor widens FOV and keeps areas generally centered,2,high,overlay-suppressed,1,870.5,561.4,849,547,43,26,2,yes,403,254,250.0,91.99,428.61,14.07,1707.625,two-area contrast group recovered in central field,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/annotated-frames/frame_0033_annotated.jpg,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/target-patches/frame_0033_patch.jpg
DOD_111689168.mp4,DOW-UAP-PR49,34,34.0,1020,zoomed-out two-area tracking,DVIDS 00:17-01:03: sensor widens FOV and keeps areas generally centered,2,high,overlay-suppressed,1,892.6,563.8,879,549,22,28,3,yes,151,252,247.0,71.5,426.19,22.32,1824.26,two-area contrast group recovered in central field,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/annotated-frames/frame_0034_annotated.jpg,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/target-patches/frame_0034_patch.jpg
DOD_111689168.mp4,DOW-UAP-PR49,35,35.0,1050,zoomed-out two-area tracking,DVIDS 00:17-01:03: sensor widens FOV and keeps areas generally centered,2,none,overlay-suppressed,1,1086.4,706.5,1084,705,6,4,1,no,19,50,26.0,209.0,283.53,0.0,188.146,group is too weak or too far from the tracked center field,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/annotated-frames/frame_0035_annotated.jpg,research/ufo-derived/video-motion-pass/pr49-two-area-review/DOD_111689168/target-patches/frame_0035_patch.jpg
