"name","duration_seconds","center_crop_sheet","timed_frame_count","timed_frame_dir"
"DOD_111688825.mp4","297","research\ufo-derived\video-second-pass\center-crop-sheets\DOD_111688825-center.jpg","8","research\ufo-derived\video-second-pass\timed-frames\DOD_111688825"
"DOD_111688964.mp4","21","research\ufo-derived\video-second-pass\center-crop-sheets\DOD_111688964-center.jpg","8","research\ufo-derived\video-second-pass\timed-frames\DOD_111688964"
"DOD_111689011.mp4","177","research\ufo-derived\video-second-pass\center-crop-sheets\DOD_111689011-center.jpg","8","research\ufo-derived\video-second-pass\timed-frames\DOD_111689011"
"DOD_111689022-1920x1080-9000k.mp4","24","research\ufo-derived\video-second-pass\center-crop-sheets\DOD_111689022-1920x1080-9000k-center.jpg","8","research\ufo-derived\video-second-pass\timed-frames\DOD_111689022-1920x1080-9000k"
"DOD_111689030.mp4","137","research\ufo-derived\video-second-pass\center-crop-sheets\DOD_111689030-center.jpg","8","research\ufo-derived\video-second-pass\timed-frames\DOD_111689030"
"DOD_111689083.mp4","94","research\ufo-derived\video-second-pass\center-crop-sheets\DOD_111689083-center.jpg","8","research\ufo-derived\video-second-pass\timed-frames\DOD_111689083"
"DOD_111689090.mp4","293","research\ufo-derived\video-second-pass\center-crop-sheets\DOD_111689090-center.jpg","8","research\ufo-derived\video-second-pass\timed-frames\DOD_111689090"
"DOD_111689115.mp4","312","research\ufo-derived\video-second-pass\center-crop-sheets\DOD_111689115-center.jpg","8","research\ufo-derived\video-second-pass\timed-frames\DOD_111689115"
"DOD_111689123.mp4","58","research\ufo-derived\video-second-pass\center-crop-sheets\DOD_111689123-center.jpg","8","research\ufo-derived\video-second-pass\timed-frames\DOD_111689123"
"DOD_111689142.mp4","119","research\ufo-derived\video-second-pass\center-crop-sheets\DOD_111689142-center.jpg","8","research\ufo-derived\video-second-pass\timed-frames\DOD_111689142"
