asset_url,asset_filename,asset_extension,manifest_types,record_ids,record_count,agencies,local_exact_filename_match,local_bytes,local_source_path,titles
https://www.war.gov/medialink/ufo/release_1/nasa-uap-vm1-apollo-12-1969.jpg,nasa-uap-vm1-apollo-12-1969.jpg,.jpg,IMG,,1,NASA,yes,2526206,I:\My Drive\UFO\nasa-uap-vm1-apollo-12-1969.jpg,"NASA-UAP-VM001, Apollo 12, 1969"
https://www.war.gov/medialink/ufo/release_1/nasa-uap-vm2-apollo-12-1969.jpg,nasa-uap-vm2-apollo-12-1969.jpg,.jpg,IMG,,1,NASA,yes,2630734,I:\My Drive\UFO\nasa-uap-vm2-apollo-12-1969.jpg,"NASA-UAP-VM002, Apollo 12, 1969"
https://www.war.gov/medialink/ufo/release_1/nasa-uap-vm3-apollo-12-1969.jpg,nasa-uap-vm3-apollo-12-1969.jpg,.jpg,IMG,,1,NASA,yes,2534744,I:\My Drive\UFO\nasa-uap-vm3-apollo-12-1969.jpg,"NASA-UAP-VM003, Apollo 12, 1969"
https://www.war.gov/medialink/ufo/release_1/nasa-uap-vm4-apollo-12-1969.jpg,nasa-uap-vm4-apollo-12-1969.jpg,.jpg,IMG,,1,NASA,yes,2444608,I:\My Drive\UFO\nasa-uap-vm4-apollo-12-1969.jpg,"NASA-UAP-VM004, Apollo 12, 1969"
https://www.war.gov/medialink/ufo/release_1/nasa-uap-vm5-apollo-12-1969.jpg,nasa-uap-vm5-apollo-12-1969.jpg,.jpg,IMG,,1,NASA,yes,2590279,I:\My Drive\UFO\nasa-uap-vm5-apollo-12-1969.jpg,"NASA-UAP-VM005, Apollo 12, 1969"
https://www.war.gov/medialink/ufo/release_1/nasa-uap-vm6-apollo-17-1972.jpg,nasa-uap-vm6-apollo-17-1972.jpg,.jpg,IMG,,1,NASA,yes,1778754,I:\My Drive\UFO\nasa-uap-vm6-apollo-17-1972.jpg,"NASA-UAP-VM006, Apollo 17, 1972"
https://www.war.gov/medialink/ufo/release_1/059uap00011.pdf,059uap00011.pdf,.pdf,PDF,,1,Department of State,yes,830359,I:\My Drive\UFO\059uap00011.pdf,"State Department UAP Cable 003, Tbilisi, Georgia, October 30, 2001"
https://www.war.gov/medialink/ufo/release_1/059uap00012.pdf,059uap00012.pdf,.pdf,PDF,,1,Department of State,yes,656720,I:\My Drive\UFO\059uap00012.pdf,"State Department UAP Cable 004, Ashgabat, Turkmenistan, November 5, 2004"
https://www.war.gov/medialink/ufo/release_1/059uap00013.pdf,059uap00013.pdf,.pdf,PDF,,1,Department of State,yes,1221743,I:\My Drive\UFO\059uap00013.pdf,"State Department UAP Cable 005, Mexico, September 16, 2003"
https://www.war.gov/medialink/ufo/release_1/18_100754_ general 1946-7_vol_2.pdf,18_100754_ general 1946-7_vol_2.pdf,.pdf,PDF,,1,Department of War,yes,61464225,I:\My Drive\UFO\18_100754_ general 1946-7_vol_2.pdf,18_100754_ General 1946-7_Vol_2
https://www.war.gov/medialink/ufo/release_1/18_6369445_general_1948_vol_1.pdf,18_6369445_general_1948_vol_1.pdf,.pdf,PDF,,1,Department of War,yes,65878977,I:\My Drive\UFO\18_6369445_general_1948_vol_1.pdf,18_6369445_General_1948_Vol_1
https://www.war.gov/medialink/ufo/release_1/2024-04-30-composite-sketch.pdf,2024-04-30-composite-sketch.pdf,.pdf,PDF,,1,FBI,yes,109275,I:\My Drive\UFO\2024-04-30-composite-sketch.pdf,FBI September 2023 Sighting - Composite Sketch
https://www.war.gov/medialink/ufo/release_1/255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,.pdf,PDF,,1,NASA,no,,,255_413270_UFO's_and_Defense_What_Should_we_Prepare_For
https://www.war.gov/medialink/ufo/release_1/255_t_763_r1b_transcripts.pdf,255_t_763_r1b_transcripts.pdf,.pdf,PDF,NASA-UAP-D003,1,NASA,yes,328211,I:\My Drive\UFO\255_t_763_r1b_transcripts.pdf,"NASA-UAP-D003, Gemini 7 Transcript, 1965"
https://www.war.gov/medialink/ufo/release_1/331_120752_numeric_files_1944–1945_37153_german_armament_equipment_documents.pdf,331_120752_numeric_files_1944–1945_37153_german_armament_equipment_documents.pdf,.pdf,PDF,,1,Department of War,yes,15892720,I:\My Drive\UFO\331_120752_numeric_files_1944–1945_37153_german_armament_equipment_documents.pdf,331_120752_Numeric_Files_1944–1945_37153_German_Armament_Equipment_Documents
https://www.war.gov/medialink/ufo/release_1/341_110448_records_relating_to_the_collection_and_dissemination_of_intelligence_1948-1955-ts_cont_no.2_2-5300-2-5399.pdf,341_110448_records_relating_to_the_collection_and_dissemination_of_intelligence_1948-1955-ts_cont_no.2_2-5300-2-5399.pdf,.pdf,PDF,,1,Department of War,yes,9888054,I:\My Drive\UFO\341_110448_records_relating_to_the_collection_and_dissemination_of_intelligence_1948-1955-ts_cont_no.2_2-5300-2-5399.pdf,341_110448_Records_Relating_to_the_Collection_and_Dissemination_of_Intelligence_1948-1955-TS_CONT_No.2_2-5300-2-5399
https://www.war.gov/medialink/ufo/release_1/341_110677_numerical_file_5-2500.pdf,341_110677_numerical_file_5-2500.pdf,.pdf,PDF,,1,Department of War,yes,57343984,I:\My Drive\UFO\341_110677_numerical_file_5-2500.pdf,"341_110677_Numerical_File,_5-2500"
