source_row,manifest_retrieval_source,manifest_retrieval_note,record_id,title,type,family,agency,release_date,incident_date,incident_location,redaction_flag,video_pairing,pdf_pairing,dvids_video_id,dvids_url,dvids_video_title,asset_url,asset_filename,asset_extension,thumbnail_url,thumbnail_filename,local_exact_filename_match,local_bytes,local_source_path,description_blurb
8,https://www.war.gov/Portals/1/Interactive/2026/UFO/uap-data.csv,official War.gov CSV endpoint,,18_100754_ General 1946-7_Vol_2,PDF,historical archive file,Department of War,5/8/26,12/30/47,N/A,,,,,,,https://www.war.gov/medialink/ufo/release_1/18_100754_ general 1946-7_vol_2.pdf,18_100754_ general 1946-7_vol_2.pdf,.pdf,https://www.war.gov/medialink/ufo/release_1/thumbnail/18_100754_ general 1946-7_vol_2.jpg,18_100754_ general 1946-7_vol_2.jpg,yes,61464225,I:\My Drive\UFO\18_100754_ general 1946-7_vol_2.pdf,This file contains memorandums and correspondence related to flying disc/saucer sightings and that those are a matter of concern for the Air Materiel Command.
9,https://www.war.gov/Portals/1/Interactive/2026/UFO/uap-data.csv,official War.gov CSV endpoint,,18_6369445_General_1948_Vol_1,PDF,historical archive file,Department of War,5/8/26,6/15/48,N/A,,,,,,,https://www.war.gov/medialink/ufo/release_1/18_6369445_general_1948_vol_1.pdf,18_6369445_general_1948_vol_1.pdf,.pdf,https://www.war.gov/medialink/ufo/release_1/thumbnail/18_6369445_general_1948_vol_1.jpg,18_6369445_general_1948_vol_1.jpg,yes,65878977,I:\My Drive\UFO\18_6369445_general_1948_vol_1.pdf,"This file contains memorandums, correspondence, and forms related to the reporting of information on flying discs and investigations into sightings."
11,https://www.war.gov/Portals/1/Interactive/2026/UFO/uap-data.csv,official War.gov CSV endpoint,,331_120752_Numeric_Files_1944–1945_37153_German_Armament_Equipment_Documents,PDF,other,Department of War,5/8/26,3/18/45,Germany,,,,,,,https://www.war.gov/medialink/ufo/release_1/331_120752_numeric_files_1944–1945_37153_german_armament_equipment_documents.pdf,331_120752_numeric_files_1944–1945_37153_german_armament_equipment_documents.pdf,.pdf,https://www.war.gov/medialink/ufo/release_1/thumbnail/331_120752_numeric_files_1944–1945_37153_german_armament_equipment_documents.jpg,331_120752_numeric_files_1944–1945_37153_german_armament_equipment_documents.jpg,yes,15892720,I:\My Drive\UFO\331_120752_numeric_files_1944–1945_37153_german_armament_equipment_documents.pdf,"This file contains SHAEF messages and memorandums related to ""night phenomena (foofighters),"" flak rockets, unidentified cylindrical objects, and blinking lights. The documents include multiple references to the observations of the 415th Night Fighter Squadron."
12,https://www.war.gov/Portals/1/Interactive/2026/UFO/uap-data.csv,official War.gov CSV endpoint,,341_110448_Records_Relating_to_the_Collection_and_Dissemination_of_Intelligence_1948-1955-TS_CONT_No.2_2-5300-2-5399,PDF,other,Department of War,5/8/26,11/8/48,Netherlands,,,,,,,https://www.war.gov/medialink/ufo/release_1/341_110448_records_relating_to_the_collection_and_dissemination_of_intelligence_1948-1955-ts_cont_no.2_2-5300-2-5399.pdf,341_110448_records_relating_to_the_collection_and_dissemination_of_intelligence_1948-1955-ts_cont_no.2_2-5300-2-5399.pdf,.pdf,https://www.war.gov/medialink/ufo/release_1/thumbnail/341_110448_records_relating_to_the_collection_and_dissemination_of_intelligence_1948-1955-ts_cont_no.2_2-5300-2-5399.jpg,341_110448_records_relating_to_the_collection_and_dissemination_of_intelligence_1948-1955-ts_cont_no.2_2-5300-2-5399.jpg,yes,9888054,I:\My Drive\UFO\341_110448_records_relating_to_the_collection_and_dissemination_of_intelligence_1948-1955-ts_cont_no.2_2-5300-2-5399.pdf,An Air Force intelligence report from November 1948 relating to unidentified flying objects and flying saucers.
13,https://www.war.gov/Portals/1/Interactive/2026/UFO/uap-data.csv,official War.gov CSV endpoint,,"341_110677_Numerical_File,_5-2500",PDF,historical archive file,Department of War,5/8/26,10/14/55,Azerbaijan,,,,,,,https://www.war.gov/medialink/ufo/release_1/341_110677_numerical_file_5-2500.pdf,341_110677_numerical_file_5-2500.pdf,.pdf,https://www.war.gov/medialink/ufo/release_1/thumbnail/341_110677_numerical_file_5-2500.jpg,341_110677_numerical_file_5-2500.jpg,yes,57343984,I:\My Drive\UFO\341_110677_numerical_file_5-2500.pdf,"Air Intelligence Information Report, 14 October 1955, Report of eye witness account of the ascent and flight of a unconventional aircraft in the trans-Caucasus region on the USSR."
14,https://www.war.gov/Portals/1/Interactive/2026/UFO/uap-data.csv,official War.gov CSV endpoint,,342_HS1-416511228_319.1 Flying Discs 1949,PDF,historical archive file,Department of War,5/8/26,1/9/50,N/A,,,,,,,https://www.war.gov/medialink/ufo/release_1/342_hs1-416511228_box186_319.1-flying-discs-1949.pdf,342_hs1-416511228_box186_319.1-flying-discs-1949.pdf,.pdf,https://www.war.gov/medialink/ufo/release_1/thumbnail/342_hs1-416511228_box186_319.1-flying-discs-1949.jpg,342_hs1-416511228_box186_319.1-flying-discs-1949.jpg,yes,123253043,I:\My Drive\UFO\342_hs1-416511228_box186_319.1-flying-discs-1949.pdf,"This file primarily contains incident reports on Unidentified Flying Objects (UFOs) written in compliance with the 1948 Flight Service Regulation (FSR) 200-4. The incidents were witnessed by military sources, as well as by some Civilian Aviation Authority (CAA) ones. The reports typically include information such as dates, locations, weather, and altitude, plus detailed descriptions of appearance and movement. Some messages from the Military Air Transport Service (MATS) and Army Airways Communications System (AACS) are also included, as well as additional military intelligence reports, several diagrams, and a report from a weather station in Japan."
15,https://www.war.gov/Portals/1/Interactive/2026/UFO/uap-data.csv,official War.gov CSV endpoint,,38_143685_box_Incident_Summaries_101-172,PDF,other,Department of War,5/8/26,N/A,N/A,,,,,,,https://www.war.gov/medialink/ufo/release_1/38_143685_box7_incident_summaries_101-172.pdf,38_143685_box7_incident_summaries_101-172.pdf,.pdf,https://www.war.gov/medialink/ufo/release_1/thumbnail/38_143685_box7_incident_summaries_101-172.jpg,38_143685_box7_incident_summaries_101-172.jpg,yes,242733260,I:\My Drive\UFO\38_143685_box7_incident_summaries_101-172.pdf,"Each of these incident summaries includes a ""Check-List - Unidentified Flying Objects"" that contains details about the incident. Many summaries also include witness lists or statements and other narrative reports or descriptions."
16,https://www.war.gov/Portals/1/Interactive/2026/UFO/uap-data.csv,official War.gov CSV endpoint,,38_143685_box_Incident_Summaries_173-233,PDF,other,Department of War,5/8/26,N/A,N/A,,,,,,,https://www.war.gov/medialink/ufo/release_1/38_143685_box7_incident_summaries_173-233.pdf,38_143685_box7_incident_summaries_173-233.pdf,.pdf,https://www.war.gov/medialink/ufo/release_1/thumbnail/38_143685_box7_incident_summaries_173-233.jpg,38_143685_box7_incident_summaries_173-233.jpg,yes,49382924,I:\My Drive\UFO\38_143685_box7_incident_summaries_173-233.pdf,"Each of these incident summaries includes a ""Check-List - Unidentified Flying Objects"" that contains details about the incident. Many summaries also include witness lists or statements and other narrative reports or descriptions."
17,https://www.war.gov/Portals/1/Interactive/2026/UFO/uap-data.csv,official War.gov CSV endpoint,,38_143685_box7_Incident_Summaries_1-100,PDF,other,Department of War,5/8/26,N/A,N/A,,,,,,,https://www.war.gov/medialink/ufo/release_1/38_143685_box7_incident_summaries_1-100.pdf,38_143685_box7_incident_summaries_1-100.pdf,.pdf,https://www.war.gov/medialink/ufo/release_1/thumbnail/38_143685_box7_incident_summaries_1-100.jpg,38_143685_box7_incident_summaries_1-100.jpg,no,,,"Each of these incident summaries includes a ""Check-List - Unidentified Flying Objects"" that contains details about the incident. Many summaries also include witness lists or statements and other narrative reports or descriptions."
42,https://www.war.gov/Portals/1/Interactive/2026/UFO/uap-data.csv,official War.gov CSV endpoint,DOW-UAP-D003,"DOW-UAP-D003, Mission Report, Arabian Gulf, 2020",PDF,mission report,Department of War,5/8/26,N/A,N/A,TRUE,,,,,,https://www.war.gov/medialink/ufo/release_1/dow-uap-d3-mission-report-arabian-gulf-2020.pdf,dow-uap-d3-mission-report-arabian-gulf-2020.pdf,.pdf,https://www.war.gov/medialink/ufo/release_1/thumbnail/dow-uap-d3-mission-report-arabian-gulf-2020.jpg,dow-uap-d3-mission-report-arabian-gulf-2020.jpg,yes,101111,I:\My Drive\UFO\dow-uap-d3-mission-report-arabian-gulf-2020.pdf,"This document is a Mission Report (MISREP), a standardized reporting form the U.S. Military uses to record the circumstances surrounding its operations. U.S. military services often use MISREPs to report Unidentified Anomalous Phenomena (UAP) to AARO. The GENTEXT, or “general text” section of these reports often contains important qualitative, contextual information, distinguishing it from the more quantitative, or numerical, data found elsewhere in the report. A U.S. military operator reported observing a “line of dots followed by a trailing dot.” All descriptive and estimative language contained in this report reflects the reporter’s subjective interpretation at the time of the event. Such characterizations should not be interpreted as a conclusive indication of the presence or absence of any intrinsic object features or performance characteristics."
