record_id,title,agency,type,release_date,status,asset_url,asset_filename,dvids_video_id,local_exact_filename_match
DOW-UAP-PR050,"DOW-UAP-PR050, ""4 UAP Formation Iran 26 Aug 2022 over water [CALLSIGN]""",Department of War,VID,5/22/26,new,,,1007706,
DOW-UAP-PR051,"DOW-UAP-PR051, ""Syrian UAP instant acceleration""",Department of War,VID,5/22/26,new,,,1007707,
DOW-UAP-D017,"DOW-UAP-D017, UAP Reported at Sandia Base, 1948-1950",Department of War,PDF,5/22/26,new,https://www.war.gov/medialink/ufo/052226/release_02/documents/DOW-UAP-D017_General_Correspondence_Of_Sandia.pdf,DOW-UAP-D017_General_Correspondence_Of_Sandia.pdf,,no
CIA-UAP-D001,"CIA-UAP-D001, Intelligence Information Report, USSR, 1973",Central Intelligence Agency,PDF,5/22/26,new,https://www.war.gov/medialink/ufo/052226/release_02/documents/CIA-UAP-D001_Intelligence_Information_Report_USSR_1973.pdf,CIA-UAP-D001_Intelligence_Information_Report_USSR_1973.pdf,,no
ODNI-UAP-D001,"ODNI-UAP-D001, USPER Narrative, Senior USIC Official",Office of the Director of National Intelligence,PDF,5/22/26,new,https://www.war.gov/medialink/ufo/052226/release_02/documents/ODNI-UAP-D001_USPER_Narrative_Senior_USIC.pdf,ODNI-UAP-D001_USPER_Narrative_Senior_USIC.pdf,,no
NASA-UAP-D008,"NASA-UAP-D008, Apollo 12 Medical Debriefing - Tape 12, 1969",NASA,AUD,5/22/26,new,,,1007870,
DOE-UAP-D001,"DOE-UAP-D001, Enhanced PANTEX Imagery",Department of Energy,PDF,5/22/26,new,https://www.war.gov/medialink/ufo/052226/release_02/documents/DOE-UAP-D001_PANTEX_Image.pdf,DOE-UAP-D001_PANTEX_Image.pdf,,no
DOE-UAP-D002,"DOE-UAP-D002, James Tuck Correspondence, 1970s",Department of Energy,PDF,5/22/26,new,https://www.war.gov/medialink/ufo/052226/release_02/documents/DOE-UAP-D002_JamesTuck_Correspondence.pdf,DOE-UAP-D002_JamesTuck_Correspondence.pdf,,no
DOE-UAP-D003,"DOE-UAP-D003, Pajarito Astronomers Invitation, 1986",Department of Energy,PDF,5/22/26,new,https://www.war.gov/medialink/ufo/052226/release_02/documents/DOE-UAP-D003_Pajarito_Astronomers.pdf,DOE-UAP-D003_Pajarito_Astronomers.pdf,,no
DOW-UAP-PR052,"DOW-UAP-PR052, ""UAP USO Formation [CALLSIGN] (Mission)""",Department of War,VID,5/22/26,new,,,1007708,
DOW-UAP-PR053,"DOW-UAP-PR053, ""Cigar Shaped or Fast Sherical UAP clip 15 OCT 22""",Department of War,VID,5/22/26,new,,,1007709,
DOW-UAP-PR054,"DOW-UAP-PR054, ""Spherical UAP Erratic movement [CALLSIGN] (Mission) 2022""",Department of War,VID,5/22/26,new,,,1007711,
DOW-UAP-PR055,"DOW-UAP-PR055, ""Spherical UAP over AFG in and out of clouds 23 Nov 2020""",Department of War,VID,5/22/26,new,,,1007713,
DOW-UAP-PR056,"DOW-UAP-PR056, ""Spherical UAP pulsing over water [CALLSIGN]""",Department of War,VID,5/22/26,new,,,1007718,
DOW-UAP-PR057A,"DOW-UAP-PR057a, ""Spherical UAP in clouds""",Department of War,VID,5/22/26,new,,,1007720,
DOW-UAP-PR057B,"DOW-UAP-PR057b, ""[Platform] Observes UAP in East China Sea 05 JAN 2023 INDOPACOM""",Department of War,VID,5/22/26,new,,,1007720,
DOW-UAP-PR058,"DOW-UAP-PR058, ""[CALLSIGN] (Mission) UAP""",Department of War,VID,5/22/26,new,,,1007723,
DOW-UAP-PR059,"DOW-UAP-PR059, ""NAG UAP 1 Jun 20""",Department of War,VID,5/22/26,new,,,1007727,
DOW-UAP-PR060,"DOW-UAP-PR060, ""Spherical UAP [CALLSIGN] 2021/04/12 obj 2""",Department of War,VID,5/22/26,new,,,1007734,
DOW-UAP-PR061,"DOW-UAP-PR061, ""Spherical UAP [CALLSIGN] 2021/04/12 vid 0""",Department of War,VID,5/22/26,new,,,1007735,
DOW-UAP-PR062,"DOW-UAP-PR062, ""Spherical UAP [CALLSIGN] 2021/04/12 vid 1""",Department of War,VID,5/22/26,new,,,1007739,
DOW-UAP-PR063,"DOW-UAP-PR063, ""Spherical UAP [CALLSIGN] 2021/04/12 vid 2""",Department of War,VID,5/22/26,new,,,1007740,
DOW-UAP-PR064,"DOW-UAP-PR064, ""AFSOC Kabul UAP Jul 2017""",Department of War,VID,5/22/26,new,,,1007741,
DOW-UAP-PR065,"DOW-UAP-PR065, ""USCG C-144 Tyndall UAP 2 TIC TAC IR hot 24 April 2024""",Department of War,VID,5/22/26,new,,,1007777,
DOW-UAP-PR066,"DOW-UAP-PR066, ""USCG C-144 Tyndall UAP 1 TIC TAC IR hot 24 April 2024""",Department of War,VID,5/22/26,new,,,1007778,
DOW-UAP-PR067,"DOW-UAP-PR067, ""Multiple Spherical UAP USO near Sub. [CALLSIGN] 2022/03/25 in and out of water""",Department of War,VID,5/22/26,new,,,1007779,
DOW-UAP-PR068,"DOW-UAP-PR068, ""IIR 1 666 S0151 23/Video Footage of Unidentified Aerial Phenomenon (UAP) captured by fifth generation aircraft on 20 Jan 23""",Department of War,VID,5/22/26,new,,,1007780,
