source_row,manifest_retrieval_source,manifest_retrieval_note,record_id,title,type,family,agency,release_date,incident_date,incident_location,redaction_flag,video_pairing,pdf_pairing,dvids_video_id,dvids_url,dvids_video_title,asset_url,asset_filename,asset_extension,thumbnail_url,thumbnail_filename,local_exact_filename_match,local_bytes,local_source_path,description_blurb
1,https://www.war.gov/Portals/1/Interactive/2026/UFO/uap-data.csv,official War.gov CSV endpoint,DOW-UAP-PR050,"DOW-UAP-PR050, ""4 UAP Formation Iran 26 Aug 2022 over water [CALLSIGN]""",VID,video,Department of War,5/22/26,2022,CENTCOM,TRUE,,,1007706,https://www.dvidshub.net/video/1007706,,,,,,,,,,"On March 6, 2026, eight members of the U.S. House of Representatives requested access to 51 potentially UAP-related records allegedly held by the Department of War and the Intelligence Community. The All-domain Anomaly Resolution Office (AARO) identified a collection of responsive materials held on a classified network. Many of these materials lack a substantiated chain-of-custody. AARO assesses that this video, whose uploader-defined title is, “4 UAP Formation Iran 26 Aug 2022 over water [CALLSIGN],” is likely derived from an infrared sensor aboard a U.S. military platform operating within the United States Central Command area of responsibility in 2022. A user uploaded this video to a classified network in June 2024. Video Duration: 00:00:20 Video Description: 00:01-00:04: Four areas of contrast transit the sensor field-of-view, entering from the lower third of the left side of the screen and exiting near the center of the bottom of the frame. 00:05-00:06: An area of contrast enters the sensor field-of-view from the top left corner of the screen. This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described event’s validity, nature, or significance."
2,https://www.war.gov/Portals/1/Interactive/2026/UFO/uap-data.csv,official War.gov CSV endpoint,DOW-UAP-PR051,"DOW-UAP-PR051, ""Syrian UAP instant acceleration""",VID,video,Department of War,5/22/26,2021,CENTCOM,TRUE,,,1007707,https://www.dvidshub.net/video/1007707,,,,,,,,,,"On March 6, 2026, eight members of the U.S. House of Representatives requested access to 51 potentially UAP-related records allegedly held by the Department of War and the Intelligence Community. The All-domain Anomaly Resolution Office (AARO) identified a collection of responsive materials held on a classified network. Many of these materials lack a substantiated chain-of-custody. AARO assesses that this video, whose uploader-defined title is, “Syrian UAP instant acceleration,” is likely derived from an infrared sensor aboard a U.S. military platform operating within the United States Central Command area of responsibility in 2021. A user uploaded this video to a classified network in June 2024. Video Duration: 00:05:02 Video Description: This media was digitally altered prior to its upload to a classified network, and is presented as received. 00:01-00:19: The sensor pans to maintain the position of an area of contrast within the center of the frame. 00:20-00:21: The sensor stops tracking the area of contrast, causing it to rapidly exit the right side of the frame. 00:22-00:27: No content. 00:27-00:29 A black screen appears featuring the phrase “white edge threshold enhancement in attempt to highlight UAP shape. Original clip excerpt at 100% speed.” 00:30-00:50: The video replays with digital alterations applied. 00:51-00:53: A black screen appears featuring the phrase “50% speed.” 00:54-01:05: The video replays with digital alterations applied. 01:06-01:08: A black screen appears featuring the phrase “25% speed.” 01:09-01:35: The video replays with digital alterations applied. 01:36-01:41: A black screen appears featuring the phrase “B/W values inverted, picture zoomed” 01:42-02:03: The video replays with digital alterations applied. 02:04-02:09: A black screen appears featuring the phrase “full original clip TRT: 2:52” 02:10-03:49: The video replays, showing additional footage of the area of contrast at its original resolution on a far zoom. 03:50-04:02: The sensor rapidly zooms in and out. 04:03-04:28: The sensor focuses and zooms in, locking a reticle around the area of contrast. 04:29-5:01: The video replays 00:20-00:21, the period in which the sensor stops tracking the area of contrast, causing it to rapidly exit the right side of the frame. This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described event’s validity, nature, or significance."
3,https://www.war.gov/Portals/1/Interactive/2026/UFO/uap-data.csv,official War.gov CSV endpoint,DOW-UAP-D017,"DOW-UAP-D017, UAP Reported at Sandia Base, 1948-1950",PDF,other,Department of War,5/22/26,1948-1950,New Mexico,,,,,,,https://www.war.gov/medialink/ufo/052226/release_02/documents/DOW-UAP-D017_General_Correspondence_Of_Sandia.pdf,DOW-UAP-D017_General_Correspondence_Of_Sandia.pdf,.pdf,https://www.war.gov/medialink/ufo/052226/release_02/thumbnails/DOW-UAP-D017_General_Correspondence_Of_Sandia.jpg,DOW-UAP-D017_General_Correspondence_Of_Sandia.jpg,no,,,"This file contains 116 pages of documentation from the Armed Forces Special Weapons Program (AFSWP) – the direct, post-World War II successor to the Manhattan Project – and from the U.S. Air Force – relating to a series of sightings and investigations in Sandia, New Mexico, from 1948-1950. This file contains 209 sightings of “green orbs,” “discs,” and “fireballs” reported near the military base. Witnesses reported unidentified anomalous phenomena (UAP) maneuvering, flying out of sight, disappearing, or exploding. The documents also include the results of contemporary investigations into residual copper powder found in some areas where sightings were reported. A few of these investigations became the basis for Project Grudge, which collected reports of unidentified flying objects from various other military installations – also included in this collection."
4,https://www.war.gov/Portals/1/Interactive/2026/UFO/uap-data.csv,official War.gov CSV endpoint,CIA-UAP-D001,"CIA-UAP-D001, Intelligence Information Report, USSR, 1973",PDF,other,Central Intelligence Agency,5/22/26,12/20/73,USSR,TRUE,,,,,,https://www.war.gov/medialink/ufo/052226/release_02/documents/CIA-UAP-D001_Intelligence_Information_Report_USSR_1973.pdf,CIA-UAP-D001_Intelligence_Information_Report_USSR_1973.pdf,.pdf,https://www.war.gov/medialink/ufo/052226/release_02/thumbnails/CIA-UAP-D001_Intelligence_Information_Report_USSR_1973.jpg,CIA-UAP-D001_Intelligence_Information_Report_USSR_1973.jpg,no,,,"This document is a Central Intelligence Agency (CIA) intelligence information report (IIR) that describes human intelligence gathering activities in the Union of Soviet Socialist Republics (USSR). This report characterizes its content as informational, not as finally evaluated intelligence. In section 14 of this document, the source describes an incident occurring in summer of 1973, where he allegedly observed an airborne, luminous, bright green, unidentified object. The source described concentric circles forming around the phenomenon over a period of several minutes, before it dissipated. The source also stated that no sound attended the observation. The source offered no opinion on the nature of the phenomenon and was unable to provide further details regarding the incident."
5,https://www.war.gov/Portals/1/Interactive/2026/UFO/uap-data.csv,official War.gov CSV endpoint,ODNI-UAP-D001,"ODNI-UAP-D001, USPER Narrative, Senior USIC Official",PDF,other,Office of the Director of National Intelligence,5/22/26,2025,Western United States,,,FBI Photo A001 | FBI Photo A002 | FBI Photo A003 | FBI Photo A004 | FBI Photo A005 | FBI Photo A006 | FBI Photo A007 | FBI Photo A008 | FBI Photo B001 | FBI Photo B002 | FBI Photo B003 | FBI Photo B004 | FBI Photo B005 | FBI Photo B006 | FBI Photo B007 | FBI Photo B008 | FBI Photo B009 | FBI Photo B010 | FBI Photo B011 | FBI Photo B012 | FBI Photo B013 | FBI Photo B014 | FBI Photo B015 | FBI Photo B016 | FBI Photo B017 | FBI Photo B018 | FBI Photo B019 | FBI Photo B020 | FBI Photo B021 | FBI Photo B022 | FBI Photo B023 | FBI Photo B024 | USPER Statement about UAP Sighting,,,,https://www.war.gov/medialink/ufo/052226/release_02/documents/ODNI-UAP-D001_USPER_Narrative_Senior_USIC.pdf,ODNI-UAP-D001_USPER_Narrative_Senior_USIC.pdf,.pdf,https://www.war.gov/medialink/ufo/052226/release_02/thumbnails/ODNI-UAP-D001_USPER_Narrative_Senior_USIC.jpg,ODNI-UAP-D001_USPER_Narrative_Senior_USIC.jpg,no,,,"This document is a first-hand account written by a currently serving (May 2026) senior U.S. intelligence official. The official was part of a team investigating reports of unusual noises and sightings of unidentified anomalous phenomena in and near a sensitive U.S. military facility in late 2025. From the official’s vantage point as a helicopter passenger, the official recounts encountering unidentified “glowing orbs” both at close range and at a distance. The account describes an apparent high-speed object moving low to the ground, which appeared to split in two and accelerate away in two different directions. It also describes numerous higher-altitude “orbs,” some of which the official assessed to be in close proximity to the helicopter. This account is accompanied by infrared imagery taken during the same exercise by other federal officials from the ground, originally released on war.gov/UFO on May 8, 2026."
6,https://www.war.gov/Portals/1/Interactive/2026/UFO/uap-data.csv,official War.gov CSV endpoint,NASA-UAP-D008,"NASA-UAP-D008, Apollo 12 Medical Debriefing - Tape 12, 1969",AUD,other,NASA,5/22/26,1969,Texas,,,,1007870,https://www.dvidshub.net/video/1007870,,,,,,,,,,"During a medical debriefing of the crew of the Apollo 12 mission, Commander Charles “Pete” Conrad, Command Module Pilot Richard “Dick” F. Gordon, and Lunar Module Pilot Alan L. Bean describe their observations of instances of light flashes or “streaks of lights.” The astronauts each reported that these experiences occurred in the dark as they tried to sleep. The NASA medical team considered whether similar phenomena reported by Apollo 11 Lunar Module Pilot Buzz Aldrin had been attributable to exposure of the retina by cosmic rays. NASA later determined that the phenomena reported by the Apollo 12 flight crew were internal to the astronauts’ vision rather than external light sources."
7,https://www.war.gov/Portals/1/Interactive/2026/UFO/uap-data.csv,official War.gov CSV endpoint,DOE-UAP-D001,"DOE-UAP-D001, Enhanced PANTEX Imagery",PDF,other,Department of Energy,5/22/26,,,TRUE,,,,,,https://www.war.gov/medialink/ufo/052226/release_02/documents/DOE-UAP-D001_PANTEX_Image.pdf,DOE-UAP-D001_PANTEX_Image.pdf,.pdf,https://www.war.gov/medialink/ufo/052226/release_02/thumbnails/DOE-UAP-D001_PANTEX_Image.jpg,DOE-UAP-D001_PANTEX_Image.jpg,no,,,A Pantex Unidentified Object Incident Report that includes an enhanced image from ground surveillance radar tower.
40,https://www.war.gov/Portals/1/Interactive/2026/UFO/uap-data.csv,official War.gov CSV endpoint,DOE-UAP-D002,"DOE-UAP-D002, James Tuck Correspondence, 1970s",PDF,other,Department of Energy,5/22/26,1970s,,TRUE,,,,,,https://www.war.gov/medialink/ufo/052226/release_02/documents/DOE-UAP-D002_JamesTuck_Correspondence.pdf,DOE-UAP-D002_JamesTuck_Correspondence.pdf,.pdf,https://www.war.gov/medialink/ufo/052226/release_02/thumbnails/DOE-UAP-D002_JamesTuck_Correspondence.jpg,DOE-UAP-D002_JamesTuck_Correspondence.jpg,no,,,"Personal correspondence to and from James Tuck, a Los Alamos National Laboratory-affiliated physicist, regarding his interest in unidentified anomalous phenomena circa 1970s."
41,https://www.war.gov/Portals/1/Interactive/2026/UFO/uap-data.csv,official War.gov CSV endpoint,DOE-UAP-D003,"DOE-UAP-D003, Pajarito Astronomers Invitation, 1986",PDF,other,Department of Energy,5/22/26,5/20/86,New Mexico,TRUE,,,,,,https://www.war.gov/medialink/ufo/052226/release_02/documents/DOE-UAP-D003_Pajarito_Astronomers.pdf,DOE-UAP-D003_Pajarito_Astronomers.pdf,.pdf,https://www.war.gov/medialink/ufo/052226/release_02/thumbnails/DOE-UAP-D003_Pajarito_Astronomers.jpg,DOE-UAP-D003_Pajarito_Astronomers.jpg,no,,,"A letter to the members of the Pajarito Astronomers club regarding an upcoming meeting featuring a presentation from a Los Alamos National Laboratory-affiliated physicist, Dr. John Warren, titled “Why Should a Scientist be Concerned about UFOs?” The referenced event was not officially hosted by Los Alamos. The laboratory has no record of the subject matter discussed at the meeting."
111,https://www.war.gov/Portals/1/Interactive/2026/UFO/uap-data.csv,official War.gov CSV endpoint,DOW-UAP-PR052,"DOW-UAP-PR052, ""UAP USO Formation [CALLSIGN] (Mission)""",VID,video,Department of War,5/22/26,,,TRUE,,,1007708,https://www.dvidshub.net/video/1007708,,,,,,,,,,"On March 6, 2026, eight members of the U.S. House of Representatives requested access to 51 potentially UAP-related records allegedly held by the Department of War and the Intelligence Community. The All-domain Anomaly Resolution Office (AARO) identified a collection of responsive materials held on a classified network. Many of these materials lack a substantiated chain-of-custody. AARO assesses that this video, whose uploader-defined title is, “UAP USO Formation [CALLSIGN] (Mission),” is likely derived from an infrared sensor aboard a U.S. military platform. A user uploaded this video to a classified network in June 2024. Video Duration: 00:08:16 Video Description: This media was digitally altered prior to its upload to a classified network, and is presented as received. 00:00-00:05: Four areas of contrast transit the frame from the bottom third of the left side to the bottom third of the right side of the frame. 00:06-00:38: The video appears to cut, refocusing on four areas of contrast. Visual elements of the sensor display enter and exit the frame. 00:39-06:08: The video seems to cut multiple times, applying various contrast filters and zoom levels. Visual elements of the sensor display enter and exit the frame. 06:09-06:50: The sensor zooms in on four areas of contrast. 06:51-08:10: The areas of contrast become increasingly indistinct over time as the video quality degrades. 08:11-08:15: Video appears to cut, or zoom out, likely cutting to an earlier portion of the video, with the areas of contrast more visible. This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described event’s validity, nature, or significance."
