record_id,title,dvids_id,og_title,derived,upload,duration,altered,pairing,first_description
"DOW-UAP-PR050","DOW-UAP-PR050, ""4 UAP Formation Iran 26 Aug 2022 over water [CALLSIGN]""","1007706","DOW-UAP-PR050, ""4 UAP Formation Iran 26 Aug 2022 over water [CALLSIGN]""","4 UAP Formation Iran 26 Aug 2022 over water [CALLSIGN],","June 2024","00:00:20","no","none","00:01-00:04: Four areas of contrast transit the sensor field-of-view, entering from the lower third of the left side of the screen and exiting near the center of the bottom of the frame. 00:05-00:06: An area of contrast enters the sensor field-of-view from the top left corner of the screen. This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described eventâ€™s validity, nature, or significance."
"DOW-UAP-PR051","DOW-UAP-PR051, ""Syrian UAP instant acceleration""","1007707","DOW-UAP-PR051, ""Syrian UAP instant acceleration""","Syrian UAP instant acceleration,","June 2024","00:05:02","yes","none","This media was digitally altered prior to its upload to a classified network, and is presented as received. 00:01-00:19: The sensor pans to maintain the position of an area of contrast within the center of the frame. 00:20-00:21: The sensor stops tracking the area of contrast, causing it to rapidly exit the right side of the frame. 00:22-00:27: No content. 00:27-00:29 A black screen appears featuring the phrase â€œwhite edge threshold enhancement in attempt to highlight UAP shape. Original clip excerpt at 100% speed.â€ 00:30-00:50: The video replays with digital alterations applied. 00:51-00:53:"
"DOW-UAP-PR052","DOW-UAP-PR052, ""UAP USO Formation [CALLSIGN] (Mission)""","1007708","DOW-UAP-PR052, ""UAP USO Formation [CALLSIGN] (Mission)""","UAP USO Formation [CALLSIGN] (Mission),","June 2024","00:08:16","yes","none","This media was digitally altered prior to its upload to a classified network, and is presented as received. 00:00-00:05: Four areas of contrast transit the frame from the bottom third of the left side to the bottom third of the right side of the frame. 00:06-00:38: The video appears to cut, refocusing on four areas of contrast. Visual elements of the sensor display enter and exit the frame. 00:39-06:08: The video seems to cut multiple times, applying various contrast filters and zoom levels. Visual elements of the sensor display enter and exit the frame. 06:09-06:50: The sensor zooms in on fou"
"DOW-UAP-PR053","DOW-UAP-PR053, ""Cigar Shaped or Fast Sherical UAP clip 15 OCT 22""","1007709","DOW-UAP-PR053, ""Cigar Shaped or Fast Sherical UAP clip 15 OCT 22""","Cigar Shaped or Fast Spherical UAP clip 15 OCT 22,","June 2024","00:00:21","yes","none","This media was digitally altered prior to its upload to a classified network, and is presented as received. 00:01-00:04: An area of contrast transits the sensor field-of-view from left to right. 00:06-00:14: The video replays at a slower speed. 00:15-00:21: The video replays again at an even slower speed. This video description is provided for informational purposes only. Readers should not interpret any part of this description as reflecting an analytical judgment, investigative conclusion, or factual determination regarding the described eventâ€™s validity, nature, or significance."
"DOW-UAP-PR054","DOW-UAP-PR054, ""Spherical UAP Erratic movement [CALLSIGN] (Mission) 2022""","1007711","DOW-UAP-PR054, ""Spherical UAP Erratic movement [CALLSIGN] (Mission) 2022""","","June 2024","00:03:57","yes","none","This media was digitally altered prior to its upload to a classified network, and is presented as received. 00:00-00:45: The video features an area of contrast generally within the center the frame. The sensor pans to track the area of contrast. Digital alterations to the video footage significantly influence the area of contrastâ€™s apparent performance characteristics. 00:46-03:57: The video appears to cut, refocusing on an area of contrast generally within the center of the frame. The area of contrast intermittently passes in and out of frame as the sensor pans to track it. This video descrip"
"DOW-UAP-PR055","DOW-UAP-PR055, ""Spherical UAP over AFG in and out of clouds 23 Nov 2020""","1007713","DOW-UAP-PR055, ""Spherical UAP over AFG in and out of clouds 23 Nov 2020""","Spherical UAP over AFG in and out of clouds 23 Nov 2020,","June 2024","00:00:47","yes","none","This media was digitally altered prior to its upload to a classified network, and is presented as received. 00:00-00:02: A black screen appears featuring the phrase â€œzoomed in.â€ 00:03-00:10: An area of contrast becomes visible near the top left corner of the screen, transiting from left to right before losing distinctiveness against the background. 00:11-00:12: A black screen appears featuring the phrase â€œsharpened, zoomed motion tracked contrast enhanced slow to 60% speed.â€ 00:12-00:28: The video replays at reduced speed and increased zoom level. 00:28-00:29: A black screen appears featuring"
"DOW-UAP-PR056","DOW-UAP-PR056, ""Spherical UAP pulsing over water [CALLSIGN]""","1007718","DOW-UAP-PR056, ""Spherical UAP pulsing over water [CALLSIGN]""","Spherical UAP pulsing over water [CALLSIGN],","June 2024","00:03:32","yes","none","This media was digitally altered prior to its upload to a classified network, and is presented as received. 00:01-0:47: The video features an area of contrast generally within the center of the frame. 00:48-00:52: The sensor briefly switches contrast modes, with the area of contrast remaining generally within the center of the frame. 00:53-03:32: The sensor returns to its original contrast mode, with the area of contrast remaining generally within the center of the frame. This video description is provided for informational purposes only. Readers should not interpret any part of this descripti"
"DOW-UAP-PR057A","DOW-UAP-PR057a, ""Spherical UAP in clouds""","1007720","DOW-UAP-PR057a, ""Spherical UAP in clouds""","Spherical UAP in clouds,","June 2024","1:10","no","none","00:00-00:06: No content. 00:07-00:08: An area of contrast enters the sensor field-of-view from left and exits near the center of the right side of the frame. 00:09-00:20: The sensor pans and cycles zoom levels multiple times. 00:21-00:31: An area of contrast enters the frame from the left side of the screen. The area of contrast becomes indistinguishable against the background. 00:32-00:34: The sensor zooms in. An area of contrast becomes distinguishable against the background near the center of the frame. 00:35-00:52: The sensor pans to track the area of contrast from left to right. 00:53-00:"
"DOW-UAP-PR057B","DOW-UAP-PR057b, ""[Platform] Observes UAP in East China Sea 05 JAN 2023 INDOPACOM""","1007720","DOW-UAP-PR057a, ""Spherical UAP in clouds""","Spherical UAP in clouds,","June 2024","1:10","no","none","00:00-00:06: No content. 00:07-00:08: An area of contrast enters the sensor field-of-view from left and exits near the center of the right side of the frame. 00:09-00:20: The sensor pans and cycles zoom levels multiple times. 00:21-00:31: An area of contrast enters the frame from the left side of the screen. The area of contrast becomes indistinguishable against the background. 00:32-00:34: The sensor zooms in. An area of contrast becomes distinguishable against the background near the center of the frame. 00:35-00:52: The sensor pans to track the area of contrast from left to right. 00:53-00:"
"DOW-UAP-PR058","DOW-UAP-PR058, ""[CALLSIGN] (Mission) UAP""","1007723","DOW-UAP-PR058, ""[CALLSIGN] (Mission) UAP""","[CALLSIGN] (Mission) UAP,","June 2024","00:10:48","yes","none","This media was digitally altered prior to its upload to a classified network, and is presented as received. 00:01-00:04: A black screen appears featuring the phrase, â€œ[CALLSIGN] recording - 8x speed possible changes of shape stabilized and enhanced 38 secs.â€ 00:05-00:41: An area of contrast remains centered within the frame. Visual elements of the sensor display enter and exit the frame intermittently throughout. 00:42-00:45: A black screen appears featuring the phrase, â€œUAP recording original speed stabilized, sharpened, contrast enhanced 5 min.â€ 00:46-05:45: An area of contrast remains gener"
